Education,Income,Own_Home,Debt,Car,Loan
Vocational,94297.39,Yes,382077.67,22716.75,No
College,72643.14,No,448995.65,15981.50,No
Primary,35370.87,Yes,432953.46,27101.17,Yes
Primary,119980.23,No,51768.72,13924.15,Yes
Vocational,85750.14,No,362701.90,26386.84,No
College,154815.09,No,261504.35,35879.59,Yes
College,125503.47,No,322696.01,19411.31,Yes
Vocational,62373.40,Yes,249953.12,30145.94,Yes
College,185688.85,No,32034.75,14864.93,Yes
Vocational,149631.99,Yes,413895.75,12443.33,Yes
College,52031.74,Yes,321688.04,25666.02,No
Primary,165158.44,No,223146.09,11329.50,Yes
Vocational,136153.67,No,491345.20,24125.18,Yes
Primary,189722.51,Yes,384118.81,26667.06,Yes
Primary,39753.22,No,450965.12,42918.68,Yes
Primary,95045.54,No,291529.06,45028.46,No
College,106938.22,No,361481.73,21786.78,Yes
Vocational,57629.19,Yes,77749.46,24765.05,Yes
College,37283.49,No,22885.59,7021.66,No
College,59853.77,Yes,378490.56,49359.94,Yes
College,48975.04,No,201950.47,45493.02,No
Primary,67670.23,No,172990.47,2029.93,No
Vocational,98656.73,Yes,4446.09,39521.23,No
Primary,166938.08,No,37596.06,10963.69,Yes
Primary,80811.56,Yes,61964.42,40489.89,No
College,109655.53,No,377009.18,25829.51,Yes
Vocational,188815.54,Yes,206193.80,7456.23,Yes
Vocational,173358.88,No,60123.03,7223.09,Yes
College,149750.32,Yes,315788.45,1809.15,Yes
College,165518.23,Yes,339536.98,7027.85,Yes
Primary,159142.04,Yes,151404.42,20559.76,Yes
Primary,149882.53,No,134590.12,42609.68,No
College,191499.63,No,312512.03,10499.23,Yes
Vocational,173698.77,No,428799.90,33554.90,Yes
Vocational,197151.93,No,321687.51,17265.22,Yes
Primary,52020.64,Yes,123255.34,14485.59,Yes
College,145316.35,Yes,483114.68,47091.15,Yes
Primary,180317.33,Yes,9962.14,34901.68,Yes
Primary,158570.91,No,486711.42,40010.79,Yes
College,176188.60,Yes,469136.15,45308.52,Yes
College,148215.52,No,217474.24,32423.16,Yes
College,174073.58,No,11782.83,9433.52,No
Primary,33970.42,No,499313.25,9724.39,Yes
Vocational,184498.01,No,126882.80,40745.95,No
Vocational,100481.82,No,159025.94,31236.06,Yes
College,38075.64,No,437972.25,21772.04,Yes
Vocational,170466.20,Yes,242172.11,48810.12,Yes
College,38378.37,Yes,112618.53,24840.04,Yes
College,139365.73,Yes,264498.80,3550.03,Yes
Primary,144812.18,No,45426.62,4989.93,Yes
Vocational,31457.75,Yes,388143.15,25571.79,Yes
College,84553.29,No,303433.78,20310.19,No
Primary,35867.20,No,58276.58,31204.75,Yes
Primary,165650.95,No,66361.61,42935.18,Yes
Vocational,124559.99,Yes,454686.46,25313.99,Yes
College,60616.56,No,386626.44,36482.82,No
Primary,169288.27,Yes,498255.33,34331.98,Yes
College,186696.95,No,9131.99,17841.58,Yes
College,198251.36,Yes,426085.32,37333.04,Yes
College,98113.96,Yes,446794.95,12796.06,No
Vocational,106934.70,No,449838.52,43847.50,Yes
Primary,151029.98,Yes,421447.42,40277.46,Yes
Primary,48058.43,Yes,34732.43,15003.55,No
Vocational,110521.47,No,374570.67,41790.76,Yes
Vocational,60234.12,Yes,111880.37,3935.37,Yes
College,87363.00,Yes,99158.95,5280.90,Yes
College,160293.07,Yes,132158.19,37022.49,Yes
Vocational,115746.07,Yes,471184.21,13207.03,Yes
Vocational,79292.15,Yes,287193.83,10665.60,No
Primary,97316.24,Yes,253471.07,23556.52,No
College,60018.67,Yes,363367.66,34516.13,No
Vocational,110363.51,No,116175.34,6783.80,Yes
Primary,191799.56,Yes,33706.94,13344.33,Yes
College,116883.17,No,74939.39,36217.57,Yes
Vocational,43485.95,Yes,387026.17,4845.34,Yes
Vocational,74487.78,Yes,306244.59,35786.49,Yes
College,172247.77,Yes,396174.16,46714.68,Yes
Vocational,85903.74,No,190203.48,38050.82,No
Vocational,108444.61,Yes,290629.20,530.46,Yes
Vocational,52617.32,No,223039.68,28383.38,No
College,60147.18,Yes,38708.59,22537.03,No
Primary,54877.59,Yes,136755.01,32750.24,Yes
Vocational,122310.86,No,363767.12,42555.09,Yes
College,32680.18,Yes,59613.12,16336.74,Yes
College,179489.07,Yes,469215.52,77.12,Yes
Primary,65630.62,Yes,353933.85,11999.03,No
Primary,146843.77,No,83547.08,2438.14,Yes
Vocational,110952.35,Yes,32211.27,14955.78,Yes
College,109847.36,Yes,454350.35,17300.89,Yes
Vocational,65948.27,No,220049.72,1067.27,No
Primary,46911.27,Yes,247823.42,28265.58,Yes
College,46325.80,Yes,312805.15,42208.63,Yes
College,81245.33,No,33003.60,18718.69,No
College,108476.10,No,333807.05,12396.12,Yes
Primary,193461.39,Yes,159726.79,16583.01,Yes
Vocational,58746.01,No,430050.40,49829.82,No
Vocational,53398.41,No,287274.60,26011.62,No
Primary,51171.80,No,490122.74,33433.90,No
College,39768.70,No,214847.91,41535.36,No
Primary,139213.59,No,84988.20,24577.65,Yes
Vocational,155347.93,Yes,487498.71,30043.77,Yes
College,41706.29,No,33309.93,22754.52,No
Primary,48248.27,No,7496.20,29684.46,Yes
College,185090.52,Yes,129810.66,42797.79,Yes
Vocational,144710.82,No,481129.15,36592.34,Yes
Vocational,55817.91,Yes,202535.10,44987.77,Yes
Primary,56319.31,No,225305.00,41391.73,No
Primary,96435.25,No,153063.76,30553.10,No
Primary,30142.97,No,252589.53,11337.29,No
Vocational,128972.88,No,287034.67,17288.78,Yes
Primary,170175.69,Yes,251180.05,40222.15,Yes
Primary,107335.50,No,20075.14,44718.41,Yes
Vocational,34576.25,No,21387.99,14807.91,No
Vocational,150906.38,Yes,230579.36,18655.08,Yes
College,90532.24,No,312207.60,22058.95,No
Vocational,165361.93,No,356104.90,16071.02,Yes
Vocational,127511.96,Yes,291075.95,14648.40,Yes
College,189321.78,No,474785.20,14076.56,Yes
Vocational,139175.05,Yes,237871.94,15257.71,Yes
Primary,34651.29,No,411326.47,38206.62,Yes
Primary,109581.18,No,230960.24,8103.79,Yes
College,100143.95,Yes,366801.41,9601.87,Yes
College,195927.89,Yes,214998.59,415.83,Yes
College,108261.55,No,387368.93,26585.95,Yes
Primary,127910.34,No,325788.66,24148.64,Yes
Primary,139417.87,No,455393.83,13681.29,Yes
Primary,94193.79,Yes,476849.89,16652.52,No
College,132171.31,Yes,149912.52,31668.36,Yes
College,183574.85,Yes,498168.60,48492.47,Yes
Vocational,30405.00,No,391143.27,48149.67,Yes
College,95630.86,Yes,279031.93,26791.17,No
Vocational,147467.90,Yes,334672.71,19751.14,Yes
College,157056.08,Yes,14536.67,10673.89,No
Primary,67523.71,Yes,369748.33,40813.11,Yes
Primary,141013.55,Yes,151927.21,38393.77,Yes
Vocational,65851.94,No,346813.63,37401.03,No
Vocational,178690.32,No,282193.42,34190.74,Yes
Primary,95936.66,No,480551.09,38990.78,No
Vocational,43415.18,Yes,54612.83,49573.79,Yes
College,50613.54,Yes,202431.88,35711.14,Yes
Primary,92356.48,Yes,5094.97,44573.90,No
Primary,93272.80,No,348297.36,11240.46,No
Primary,174160.97,No,274100.42,3028.30,Yes
Primary,63979.93,Yes,230357.00,15638.57,No
Primary,58590.44,No,438426.21,46420.57,No
Primary,35829.66,No,53230.98,32945.57,Yes
College,104085.64,Yes,430214.92,13163.54,Yes
Vocational,175113.20,No,456537.65,12027.89,Yes
Primary,131102.13,Yes,161089.87,16937.33,Yes
Primary,145589.65,Yes,293381.16,9127.04,Yes
Primary,63105.77,Yes,333343.51,29205.77,No
Primary,186485.03,No,195038.63,39484.22,Yes
Primary,147899.52,No,208467.20,45178.83,Yes
College,37320.76,No,400182.26,33168.86,Yes
Primary,148556.57,Yes,409313.22,13331.07,Yes
College,186266.79,Yes,89922.53,1070.97,Yes
Primary,105121.11,Yes,252825.66,47223.90,Yes
Primary,142861.99,Yes,401917.40,29656.89,Yes
Vocational,75300.49,No,442931.06,26248.09,No
Primary,182779.57,Yes,108949.59,16014.29,Yes
College,176570.98,Yes,397017.02,32344.34,Yes
College,120030.78,Yes,282439.74,5780.14,Yes
Primary,79796.68,No,40856.05,35505.07,No
College,155647.79,No,445065.61,21637.66,Yes
Primary,133604.63,No,486320.18,22554.44,Yes
Vocational,126431.41,Yes,300174.73,28075.46,Yes
College,128068.81,No,132294.67,3625.74,Yes
Primary,147093.56,Yes,437801.08,26516.48,Yes
College,48770.23,Yes,401718.26,44817.84,Yes
Vocational,121758.81,No,65068.97,39424.82,Yes
Vocational,151939.24,Yes,172042.05,39868.13,Yes
College,118483.99,No,232233.89,25239.83,Yes
Primary,81219.88,No,360789.09,8773.64,No
College,199385.52,Yes,308363.99,41509.27,Yes
Vocational,152606.94,Yes,353288.83,17836.38,Yes
Vocational,94112.55,Yes,480945.75,28590.31,No
Vocational,137796.08,Yes,116490.18,29899.06,Yes
Primary,178239.47,Yes,195374.34,29491.23,Yes
Vocational,37194.51,Yes,222891.64,36324.48,Yes
Primary,102212.39,No,492665.24,9757.03,Yes
College,47913.53,Yes,203868.42,22654.79,Yes
Primary,79409.25,Yes,392977.33,17388.31,No
Vocational,99643.01,Yes,188447.96,35119.70,Yes
Primary,95564.99,No,216425.15,23095.09,No
Vocational,168470.92,No,170869.73,23365.78,Yes
Vocational,62984.00,Yes,475636.54,6204.11,Yes
Primary,45397.20,No,286603.36,27498.42,No
College,123319.30,No,96910.37,30559.52,Yes
Primary,51802.75,No,323051.46,14321.97,No
College,100613.67,Yes,38890.90,22082.55,Yes
Primary,106695.39,Yes,107557.61,48952.39,Yes
Vocational,33885.49,Yes,186034.98,23734.21,Yes
Vocational,53458.03,No,468190.50,15213.03,No
Primary,90222.93,No,359846.53,35827.89,No
College,189675.00,Yes,47788.74,33355.79,Yes
Vocational,148317.85,Yes,132616.91,24750.26,Yes
Primary,166342.60,Yes,412429.23,43953.71,Yes
College,111306.12,No,79545.43,20954.35,Yes
Primary,188719.71,Yes,392468.36,18765.53,Yes
Primary,31534.61,No,61177.49,34660.81,Yes
College,104010.81,No,219882.89,37712.07,Yes
College,161536.18,Yes,488878.39,4672.45,Yes
Vocational,176374.63,No,375138.49,11457.73,Yes
Vocational,107937.31,No,330119.26,22250.27,Yes
Primary,32737.94,Yes,204651.84,8630.30,Yes
Vocational,67492.12,No,32941.22,22416.61,No
Vocational,91789.20,No,338107.01,18505.23,No
Vocational,134049.19,Yes,226155.86,10955.16,Yes
Vocational,131140.75,No,367639.10,28509.13,Yes
Primary,168261.08,No,207429.08,49124.10,Yes
Vocational,65162.25,No,219504.94,28606.21,No
Vocational,190665.27,No,221771.13,42808.89,Yes
Vocational,188883.38,No,122215.83,41415.56,No
Primary,84270.07,No,458760.11,24143.75,No
Primary,39918.78,Yes,41884.08,18599.11,Yes
Vocational,190870.61,No,217339.30,43617.27,Yes
College,191392.81,No,244673.91,26875.10,Yes
Primary,116831.48,Yes,154265.39,18428.49,Yes
College,191810.08,No,462119.31,14933.74,Yes
Vocational,198540.67,Yes,474871.72,24325.13,Yes
College,30686.16,Yes,266344.52,45366.37,Yes
Primary,133223.63,Yes,362543.19,20427.71,Yes
College,70829.00,No,232064.06,2566.62,No
College,143313.97,Yes,231868.43,19990.53,Yes
Primary,195552.83,No,147602.86,42424.65,No
Primary,152324.60,No,43770.75,21001.72,Yes
Vocational,103077.61,Yes,418529.20,22421.39,Yes
College,154602.87,Yes,400255.58,22127.61,Yes
College,159512.43,Yes,328798.95,22357.86,Yes
College,176968.78,Yes,319197.73,36875.60,Yes
Primary,184739.94,No,461855.93,16473.17,Yes
College,59420.02,Yes,452237.78,29201.44,No
Vocational,156949.52,Yes,193131.61,43623.94,Yes
College,125211.98,Yes,114163.87,383.46,Yes
Vocational,105716.66,Yes,459454.27,28089.82,Yes
Vocational,57213.79,No,341703.49,46207.84,No
Primary,89012.60,No,340638.96,15366.03,No
College,88690.19,Yes,415260.36,39187.37,No
College,150803.36,No,246825.64,15876.02,Yes
Primary,142954.21,Yes,172793.79,18265.63,Yes
College,96500.43,Yes,439310.42,40892.21,No
Primary,127264.70,No,145639.85,36548.08,Yes
Vocational,101682.61,No,373218.90,9415.40,Yes
College,49836.87,Yes,72496.47,46232.83,Yes
Vocational,127141.68,No,186143.84,21278.18,Yes
Vocational,159554.99,Yes,481805.50,39908.59,Yes
Primary,83661.94,No,490688.47,41181.52,No
Primary,103234.19,Yes,375996.17,2405.82,Yes
Primary,125200.25,Yes,104915.01,16662.06,Yes
Vocational,186669.25,No,485194.78,40906.13,Yes
Vocational,122156.63,Yes,182006.29,38721.21,Yes
Primary,80854.61,No,230192.76,35183.83,No
Vocational,31706.66,No,26846.92,46334.61,No
College,143731.02,No,133560.91,13176.21,No
College,39413.81,No,134631.51,38409.11,No
Vocational,171326.20,No,334758.37,35184.68,Yes
Primary,189191.29,No,287019.05,1023.71,Yes
College,118459.23,No,385726.43,26231.96,Yes
Vocational,35482.79,No,143433.84,425.04,No
College,84852.93,No,263049.15,14648.18,No
College,157810.56,No,206426.39,45532.78,Yes
Primary,111470.96,Yes,489474.57,13284.00,Yes
Primary,169563.15,Yes,91655.43,40982.10,Yes
Vocational,95449.31,Yes,66773.06,20230.75,No
Primary,74196.97,No,222690.76,38160.12,No
College,142483.91,No,435886.66,9662.00,Yes
Vocational,84626.51,Yes,99163.25,37347.23,Yes
Vocational,98663.70,Yes,246498.95,48405.35,Yes
Vocational,68084.48,Yes,74392.82,7245.02,Yes
Primary,43750.31,No,367300.99,4391.68,No
Primary,194527.69,Yes,16136.86,15341.22,No
College,119606.68,No,114184.86,4258.19,No
Vocational,167529.12,No,201606.48,5791.72,Yes
Primary,111227.10,No,281725.79,4741.75,Yes
College,42130.00,No,434587.14,34307.54,Yes
Primary,110574.19,Yes,171020.99,23729.85,Yes
Vocational,38220.09,No,440465.22,16424.25,Yes
College,58496.19,No,498271.18,25525.62,No
Vocational,176091.24,No,491682.15,20145.88,Yes
Primary,180793.08,No,81335.21,46833.62,Yes
College,139772.77,Yes,461378.88,735.76,Yes
Primary,119540.62,No,298584.38,10127.80,Yes
Vocational,182890.44,No,181570.56,15502.20,No
College,108913.18,No,11379.60,2810.70,Yes
Vocational,52304.10,No,110399.95,32800.46,No
Primary,121627.04,No,123911.75,48575.81,Yes
College,153128.10,Yes,90175.72,41391.43,Yes
Primary,155270.48,No,263160.87,31753.85,Yes
Vocational,110461.68,Yes,43080.28,40182.54,Yes
College,126529.42,Yes,231169.98,47727.88,Yes
Primary,70377.84,Yes,227332.30,21776.25,No
College,163956.05,No,434048.52,7258.20,Yes
Vocational,163078.75,No,395700.33,3129.74,Yes
College,92137.04,No,477826.77,1476.21,No
Vocational,142849.55,Yes,17022.07,46962.68,Yes
Primary,150568.48,No,9848.66,49489.39,Yes
College,57372.83,Yes,44981.37,931.98,Yes
Primary,40652.50,No,378730.62,1143.20,No
Vocational,120156.18,Yes,415608.43,32698.28,Yes
College,75348.60,No,244322.88,36938.91,No
Vocational,79134.99,No,445006.92,43303.43,No
Vocational,187811.45,Yes,494814.58,7007.59,Yes
College,126818.96,Yes,430204.57,2882.75,Yes
Primary,94555.51,Yes,88196.34,4724.70,No
Vocational,125497.28,No,402050.12,10266.77,Yes
Primary,79511.88,No,364147.44,12050.67,No
Vocational,40464.37,Yes,153102.95,27059.69,Yes
College,132015.20,No,451361.24,3642.83,Yes
College,142969.35,No,10924.06,24907.15,No
College,78141.73,No,110004.65,37817.26,No
Vocational,187391.50,No,50035.86,30274.69,Yes
College,172988.59,No,328669.43,32587.97,Yes
Primary,133563.22,No,240727.25,35476.84,Yes
Vocational,136686.29,No,67868.42,24208.95,Yes
College,69639.46,No,321023.43,45784.89,No
College,135876.51,No,490680.39,12103.15,Yes
Vocational,65140.35,Yes,344846.12,30526.28,No
College,140520.81,No,344909.17,8346.29,Yes
Vocational,100249.11,No,322007.84,17639.82,Yes
College,121435.79,No,183407.73,26672.79,Yes
College,78921.76,Yes,303353.95,33516.67,Yes
College,189126.15,No,91308.49,14593.21,Yes
College,79721.51,No,236726.68,27585.14,No
Vocational,90484.08,Yes,93611.19,18822.62,Yes
College,109880.85,No,225077.18,20738.17,Yes
Primary,190331.14,Yes,22268.99,31934.45,Yes
College,70722.31,Yes,416091.61,30527.66,No
Vocational,128793.18,No,143511.79,29902.88,Yes
Primary,54316.06,Yes,444307.24,2995.63,No
College,122581.95,No,198606.21,18057.18,Yes
Vocational,171869.98,Yes,433066.62,32956.78,Yes
College,197332.00,Yes,199805.65,44882.87,Yes
Vocational,63299.50,No,251242.76,3079.43,No
Primary,191898.65,Yes,396639.28,3689.22,Yes
Primary,65158.75,Yes,308944.22,9053.40,Yes
College,87561.44,Yes,207039.49,19549.90,No
Primary,65896.28,Yes,184569.13,36077.05,Yes
College,160265.88,Yes,272128.17,11924.55,Yes
Vocational,115487.86,No,19632.31,34180.23,Yes
Primary,148884.15,No,321340.12,34690.90,Yes
Vocational,95044.91,Yes,188498.58,1669.67,No
College,171048.29,No,417461.08,26639.53,Yes
College,64228.10,Yes,171050.88,19081.92,Yes
Vocational,128790.95,No,177674.06,30328.57,Yes
Vocational,51892.72,Yes,406785.70,10172.41,No
College,92276.81,No,111362.55,35877.33,No
Primary,130066.06,No,206080.69,25084.56,Yes
College,99401.94,Yes,185229.06,13802.13,No
College,137289.80,No,253801.33,34510.70,Yes
Primary,128123.85,No,75991.82,9191.98,Yes
Primary,108252.05,No,340193.17,37621.33,Yes
College,111196.58,No,151104.55,13886.41,Yes
Vocational,111845.90,No,264039.82,36357.28,Yes
Vocational,157735.61,No,35895.91,38452.54,Yes
Vocational,148712.48,Yes,16732.62,42657.71,Yes
Primary,119900.27,Yes,323402.90,3026.95,Yes
College,83082.98,No,238607.68,2083.95,No
Primary,151055.75,No,420491.80,27512.07,Yes
College,53182.25,No,371379.21,33212.57,No
College,176818.38,No,67168.96,37993.40,Yes
Vocational,145513.93,Yes,367727.47,10150.89,Yes
College,105018.20,No,404490.08,40467.71,Yes
Primary,35262.78,Yes,391435.73,531.43,Yes
College,40638.62,Yes,109122.41,45650.69,Yes
College,107795.79,No,428043.98,4656.95,Yes
Primary,92963.00,No,360049.09,24670.84,No
Primary,182952.14,No,417128.78,25567.41,Yes
Vocational,82369.59,No,345171.22,8475.50,No
Primary,71850.18,No,421573.36,45978.42,No
College,56196.51,Yes,488580.03,44992.85,No
Primary,142615.07,No,357131.82,16692.43,Yes
Vocational,42626.75,No,318107.87,15982.27,No
College,158918.94,No,112470.93,33041.54,No
Primary,36618.55,No,277782.87,27135.60,No
Vocational,104559.56,No,425053.62,48086.60,Yes
Vocational,163941.35,No,131031.93,42576.17,No
Vocational,146767.66,No,120565.89,40208.18,No
College,52319.24,No,214662.30,12608.38,No
College,172713.81,Yes,24981.54,28817.46,Yes
Primary,144756.04,Yes,284089.47,37020.54,Yes
College,111267.50,No,496729.14,32340.73,Yes
Primary,183735.55,No,373540.16,41356.82,Yes
