GroomMB,BrideMB,GroomInc,BrideInc,Outcome
ISFP,ESTJ,82260.73,61964.23,Failure
ISFP,ENFP,40446.47,42726.93,Failure
ENTP,ENFJ,81843.55,87366.79,Success
ESTJ,INTJ,98544.63,54601.35,Failure
ESFJ,ISFJ,88380.79,69333.63,Failure
INFJ,ESTP,96959.71,96063.27,Success
ENTP,ENTP,44477.59,32984.71,Success
INTP,ESTP,86507.05,37871.12,Success
ENTP,ENFJ,86686.79,40952.23,Success
ISTJ,ENFP,88835.2,96971.29,Success
ENFJ,ISFP,78872.46,67157.54,Failure
ISTJ,ENFJ,68025.76,99110.66,Failure
ENFJ,ESFJ,78168.55,74585.43,Success
INTJ,ENTJ,59012.2,67622.72,Success
INTJ,ESFJ,85006.95,30828.54,Failure
ENTJ,ESTJ,80445.23,48545.62,Success
ENFP,ISTJ,86186.6,65860.92,Success
ESFJ,ENTP,46306.02,58615.96,Success
INTP,ENFJ,41971.36,86577.72,Success
ISTP,ISFP,92258.63,41240.23,Failure
ISFJ,ESTP,96013.35,95641.71,Success
ISTP,ENTJ,87679.01,63188.32,Failure
ISFP,ISTP,72857.65,38520.35,Failure
INTJ,ISFP,90792.05,73731.72,Success
ENTJ,INFJ,94002.16,69960.8,Failure
ESFJ,ESFJ,80254.02,46061.13,Success
ESFJ,ENFJ,93721.64,61713.11,Failure
ESTP,INFJ,99468.72,97510.59,Failure
ISTP,ENTJ,39160.1,30540.76,Success
ENFP,ENFP,36934.25,50812.94,Success
ISFJ,INTP,55017.8,72865.23,Failure
ISFJ,INTP,63770.72,34940.07,Success
INTP,ESFP,43286.54,80946.15,Success
ISTP,INTJ,80734.97,84520.31,Success
ESTJ,ISFJ,41395.62,78430.38,Failure
ESTJ,ENTP,88775.54,99748.17,Success
INFP,ENTP,47029.87,71926.8,Success
ISFP,ISFJ,72864.9,44008.88,Failure
INFP,ENTP,89574.66,54981.27,Success
ENFJ,ISFJ,34016.44,46292.3,Failure
ISTJ,ESTP,98105.33,72954.65,Failure
ESTP,ISFP,42664.78,57894.23,Failure
INTP,INFP,80256.38,50499.6,Success
INTJ,ESFP,76128.82,33106.72,Failure
INFP,ESFP,56052.17,31890,Failure
ENTJ,ESTJ,68936.08,42766.28,Failure
ESTJ,ENTJ,78974.33,95316.98,Success
ENFJ,ESTJ,41219.8,49551.17,Success
ENTJ,ENTJ,79722.81,53651.74,Failure
ISTP,ESTJ,41820.5,31157.23,Failure
ISTJ,INFP,99902.31,97912.14,Failure
ISFP,ESTP,93708.04,35292.24,Failure
ESTJ,ESTJ,53628.94,54923.37,Failure
ISFP,INFP,92294.95,95405.96,Success
ENFP,ENFP,79305.31,98683.79,Failure
ENTP,ISFJ,70130.47,47357.27,Failure
ESTP,ESTJ,73276.2,88713.18,Failure
ESTJ,ISFJ,50636.11,94691.7,Success
INFP,ESFJ,34878.72,36022.72,Failure
INFP,ESFP,65193.51,34986.65,Success
ESFP,INTP,53830.13,47080.62,Success
INFP,INTP,70238.19,40728.33,Failure
INTP,ENTP,37665.61,44569.21,Success
ENFP,ISFP,93075.43,64237.02,Failure
INTJ,ESFP,51464.39,43797.22,Failure
ESFJ,INFJ,66295.65,94629.37,Failure
ENTJ,INTP,80859.44,92579.39,Success
ENFJ,ESFP,35056.1,60426.91,Success
ESTJ,ENFJ,68750.6,58279.26,Failure
ISFJ,ISFJ,47643.66,96062.2,Success
ISTP,ISTJ,81856.64,69790.25,Failure
INTJ,ENFP,66747.91,76974.91,Success
ISTJ,INFJ,85421.78,84201.24,Success
ESTJ,INTJ,60509.02,45855.38,Failure
ISFJ,ESFP,45354.99,92385.38,Success
INFP,INFJ,56422.11,47400.27,Success
ENTJ,INTP,99626.43,65485.54,Failure
INFJ,ESTP,81953.05,40392.59,Success
ENTP,ESFJ,34179.1,49252.63,Success
INTJ,ISTJ,42163.6,62681.88,Failure
INFJ,INTP,72256.98,52405.12,Success
ENTP,ESFJ,86094.72,59739.81,Failure
ESFP,INFP,36852.5,60130.36,Failure
ISFP,ENFJ,35552.99,51917.1,Failure
ESFP,ESTP,80354.61,94261.38,Failure
ENTJ,INFJ,74031.37,46570.46,Failure
ESFP,ESTJ,41547.85,39986.24,Failure
INTJ,ESFP,80561.14,66927.69,Failure
ESTP,ISTJ,97131.15,65939.24,Failure
ESTP,ESFJ,41229.72,82775.7,Failure
ESTP,ESTJ,89632.43,86628.65,Success
ISTJ,ENFP,48058.4,99866.91,Failure
ENFP,ESTP,68203.38,73806.18,Success
ENFJ,INTJ,47105.73,36240.03,Success
ISTJ,ESFJ,96209.38,85161.65,Success
ESFJ,ISFJ,62613.42,73286.66,Success
ESFJ,ESFP,73037.03,46581.9,Failure
ISTJ,INTJ,38334.22,55409.01,Success
ENTJ,INFJ,40993.9,95614.83,Success
ISTP,ENFJ,31775.06,71992.2,Success
INTJ,ENFJ,84598.81,50110.94,Failure
INFP,INTJ,57244.81,95570.7,Success
INFJ,INFJ,92534.86,32869.09,Failure
ISTP,INTP,89175.7,84048.26,Success
ESTP,ESTP,33013.61,86302.78,Success
ISTJ,INTP,92658.85,90437.82,Failure
ISTJ,ENTP,80073.04,48934.43,Failure
ENTJ,ISTP,31854.01,79076.25,Success
INFJ,INFP,71447.89,38241.01,Success
ESTJ,ISTJ,34616.77,67042.94,Failure
ENFP,INFJ,71032.9,86013.02,Failure
ENTP,ENFJ,70504.53,31915.9,Success
ENTP,ISFP,34525.73,32712.6,Failure
ISTJ,ESFP,43634.85,64047.83,Failure
INTP,ISFP,76482.49,38526.75,Failure
ENTJ,ISTP,39394.38,38462.28,Failure
ISTJ,ISTP,31789.92,46874.89,Failure
INTP,INTP,90027.52,41962.73,Success
ISTP,INTJ,49709.26,59077.8,Success
ESFP,INFJ,42454.84,41035.31,Success
ESTJ,ENTP,89488.42,58122.68,Failure
ISTP,ISFJ,89493.24,51014.62,Failure
ENTP,INTP,55451.52,48867.87,Failure
ISFJ,ENFP,58481.61,59374.69,Failure
ESTJ,ESFJ,54693.88,41896.04,Success
ESFP,INTJ,95834.09,84568.73,Success
ESTJ,ENTJ,90019.07,73482.28,Success
INFJ,ENFP,98388.76,55374.22,Failure
INTP,INFP,50169.83,66938.86,Success
ESTP,ENTJ,30008.56,73783.93,Failure
ESTP,ESTJ,97278.59,84055.09,Failure
ENFJ,INFJ,31009.57,58540.52,Success
ESFJ,INFJ,70829.48,37369.08,Failure
ESTJ,ISFP,63003.49,74702.62,Success
INFP,INTJ,54837.96,30262.37,Failure
ESFP,ISFP,60027.51,39202.35,Failure
ISTJ,ENFJ,41463.03,78498.13,Success
ESTP,ESFJ,62352.98,94343.81,Failure
ENFP,ESFJ,46474.46,61162.93,Success
ENTP,INFJ,46228.6,59679.29,Failure
INFP,INFP,73533.17,54706.51,Failure
INFP,INFP,30120,79942.52,Success
ENFJ,ESTP,34909.74,72241.2,Success
ESFP,INFJ,88362.61,51213.06,Failure
ENFJ,INFP,99630.41,74682.16,Success
ESTJ,ESTJ,56449.28,57019.64,Success
ENTP,ISFJ,69641.81,74940.08,Failure
ISTP,ESTJ,49386.26,49256.5,Failure
INTJ,ISFJ,66853.79,77505.75,Success
ESTP,INTJ,81616.67,97409.03,Failure
ESFJ,ISTP,40289.15,34418.07,Success
ENTP,ESTP,69641.18,57912.87,Success
ISFJ,ESFJ,66969.93,47437.5,Failure
ESTP,ESTP,39012.8,88708.87,Failure
INTP,ESFP,49424.06,71211.5,Success
ESFP,ISFJ,32467.05,65324.27,Failure
ENFP,INTP,49763.89,80487.88,Success
ISFP,ISFJ,41585.02,39047.58,Failure
ESFJ,INTJ,80276.09,55133.27,Failure
ENTJ,ENFJ,69168.17,50533.71,Failure
ENTP,ESFP,41091.04,33680.24,Success
ISTJ,INTJ,94409.76,30521.9,Failure
ENFJ,ENTP,70939.11,73881.66,Failure
INTP,ESFJ,58265.62,41182.77,Failure
INTP,ESFJ,52897.99,39135.46,Success
ESTJ,ESTP,30901.22,45497.64,Success
ISTJ,ESFP,57422.6,55915.37,Failure
ENFJ,ENFP,43638.53,52811.81,Success
INFJ,ISFJ,77720.56,35816.68,Success
INFJ,INTP,30586.22,43184.12,Failure
INFJ,ENTJ,40188.54,56321.57,Success
ISFJ,ENTJ,38913.63,33603.12,Failure
ENFP,ENFP,50792.08,80985.03,Failure
ISTP,ISFP,51039.16,45504.51,Failure
ESTJ,ISFJ,95686.4,76084.74,Failure
INFJ,INFJ,39819.89,65892.94,Failure
INFP,ESTP,77009.07,75621.41,Success
ENTJ,ESFP,43413.67,49909.18,Failure
INFP,ENTP,88229.26,40092.53,Success
ISFJ,ISTP,80376.96,51508.16,Failure
ENFJ,ENTJ,73566.37,56212.37,Success
ESTJ,ESFJ,66760.13,85688.82,Failure
ISFJ,ISTP,36947.47,76928.27,Success
ESTP,ENFP,73457.54,78409.64,Failure
INFJ,ENFJ,76731.47,35597.41,Failure
INFP,INTP,64733.69,61625.87,Success
ENTP,ENFJ,35333.9,59056.33,Success
ENFP,ESTP,53987.57,32482.59,Success
ENFJ,INTJ,87423.39,82457.97,Failure
ESFJ,ISTP,77909.19,65789.37,Success
ENTJ,ESTP,72030.61,35080.91,Failure
ENFJ,ISFP,86368.82,96773.44,Failure
ISFJ,ISTJ,85355.28,74020.49,Failure
ENTP,ENFJ,99468.02,73108.58,Failure
ISTP,ENTJ,53598.48,78474.11,Success
INTP,ISFJ,52188.59,62629.13,Success
INTJ,ISTJ,50380.01,54685.19,Failure
ISTP,ENTJ,77771.37,38915.01,Success
INFJ,ISFP,65397.16,79662.92,Success
ISTJ,INFP,78782.78,99681.09,Success
ENTP,ESTP,57534.68,85884.59,Failure
ESFJ,ESFP,78771.26,95249.15,Success
ESFJ,ESTP,89276.86,69395.74,Success
ESTJ,ENFJ,50980.2,58452.7,Failure
ESTP,ISTJ,45386.25,79125.7,Success
ISTP,INTJ,77579.84,42949.23,Failure
INFJ,ISFJ,39293.5,88150.59,Success
INTJ,ISFJ,60770.03,42040.25,Failure
ENTP,INFJ,67220.24,38916.2,Success
ISTJ,ISFP,89383.53,77016.87,Failure
ENTJ,ENTJ,67060.43,70597.07,Failure
ISFJ,INTJ,93254.7,92511.76,Failure
INTP,ISTP,88353.76,63821.92,Failure
ESFP,ISTP,66662.56,78888.9,Failure
INTP,ESFJ,61612.12,61779.4,Failure
ENFJ,INTP,51584.94,62889.21,Success
ESFJ,ISFP,66590.95,51262.79,Success
ESTJ,ENFP,77235.94,74939.75,Success
INFJ,ESTJ,34127.66,36677.91,Success
ISTJ,ENFP,71115.8,85619.08,Failure
INTP,INTP,69967.28,47628.21,Failure
ISTJ,ENFP,93452.01,69250.21,Success
INFP,ISFP,50692.82,76256.93,Failure
ISTP,ENTJ,93178.57,54599.72,Failure
ISTJ,ESTP,94472.01,97268.7,Failure
ENFJ,INFJ,39931.85,50358.8,Failure
INFJ,ESFP,47074.2,46277.26,Success
ENTJ,ESFP,56148.16,35136.44,Failure
ISTP,ENTJ,95917.92,59472.85,Failure
ESFJ,ESFJ,50932.92,48487.56,Success
ISTJ,ESTJ,76987.08,91301.32,Failure
ESTP,ISTP,63095.28,45302.63,Success
ESTP,ENFJ,50141.57,59939.04,Success
INTJ,ESTJ,42075.31,51139.43,Failure
ISFP,ISFP,44899.33,70917.64,Success
INTJ,ISFP,65588.98,60816.03,Failure
ENFJ,ESTJ,60384.56,47508.08,Success
INFJ,ENFJ,69402.18,61254.29,Failure
ESFP,ESFJ,40267.53,45771.03,Success
ISTP,ISFJ,70139.48,85092.95,Failure
ENTP,ENFP,31380.76,81725.9,Failure
ENFJ,ESFJ,70246.87,34396.52,Success
ISTJ,ENFP,82514.39,38973.58,Success
ESTP,ESFJ,83591.63,72301.74,Success
ISTJ,ENFJ,48979.5,55484.49,Failure
INTP,ESTJ,85667.07,98962.13,Success
ESFP,INFP,87450.62,63263.45,Success
INFP,ESTJ,55437.14,76050.93,Failure
INFP,ENTJ,92306.85,54486.34,Failure
ISFJ,ENFJ,90512.74,89225.78,Failure
ENTJ,ENFJ,67065.51,86660.42,Success
ISFJ,ESTP,79475.45,94484.24,Success
ESTP,ISTJ,30804.36,97990.93,Success
ENFP,INFJ,36569.76,46681.56,Success
ISFP,INTP,68602.02,92493.94,Success
ENTJ,INTJ,60298.96,99712.8,Failure
ENFJ,INFP,42321.52,53428.41,Success
INTP,INTJ,39621.29,37351.1,Failure
INFP,ISTP,36154.42,55403.14,Failure
ISTJ,ISFP,62579.24,98529.35,Success
ISTP,INTJ,80067.08,83532.77,Success
ESTP,ISFJ,75186.78,87969.04,Failure
ESFP,ENFP,31402.54,77151.29,Success
INFJ,ENTJ,61149.54,59753.22,Failure
ISFP,ISTP,62928.03,55266.6,Failure
ISTJ,ISTP,66997.2,36818.22,Failure
ENFP,ESTJ,47735.85,71050.71,Success
ENTJ,ESFJ,58636.96,32335.5,Failure
ENTP,ESTP,40056.88,63063.83,Failure
ESFP,ESFP,76014.19,79661.43,Failure
ENTP,ENFJ,73859.57,55881.34,Failure
ESTP,ISTJ,69920.02,68481.99,Failure
ESFJ,ISTP,80278.57,78365.85,Failure
ESFP,INFJ,86251.12,75175.32,Success
ISFP,ISFJ,41789.38,57193.62,Success
ESTP,ISFP,84490.41,87450.86,Failure
ENTJ,INTP,64897.98,64427.56,Success
ISFJ,INTP,72917.04,99340.3,Failure
ENTP,ENFJ,93252.58,40629.98,Success
ENFP,ESTJ,37308.14,53501,Success
ENTP,ESTJ,80406.48,76038.18,Failure
ISTP,ISTP,54833.05,84845.77,Success
ENFP,ESFP,84775.58,34813.98,Failure
ENFJ,ESTJ,87772.64,69048.09,Success
ISFJ,ESTP,91658.2,54200.58,Failure
ESTJ,ENFP,73796.81,66397.49,Success
ENFP,ISTJ,32676.19,70098.24,Failure
ENFJ,INTJ,82475.59,72339.99,Success
ISFP,ENFP,89876.2,33095.22,Failure
ENFP,ESTJ,71964.07,48748.45,Success
INTP,ISTP,67436.6,80723.84,Success
ENTP,ENTJ,94423.81,57804.05,Success
INTP,ESFJ,55682.91,46860.56,Success
ENFP,ESFP,30825.76,98141.37,Failure
ESTP,ESFP,72169.27,53972.83,Failure
ESFJ,ISTP,84419.39,61985.93,Failure
INFJ,INFJ,51949.11,73889.73,Success
ISFJ,ESTJ,96174.2,42067.34,Failure
ENTP,INFJ,70878.45,95107.68,Failure
ENFJ,INFP,61625.74,31609.83,Success
INFJ,ENFJ,34653.19,80562.63,Failure
INFJ,ESTP,56978.19,72001.48,Success
ESFJ,ESFJ,39588.35,39102.38,Failure
ESFJ,ESFJ,39969.63,70474.71,Success
INTJ,ISFP,82881.79,36658.32,Failure
ESFP,ISTJ,88475.62,67109.21,Failure
ENFP,ISTP,52880.62,36820.64,Failure
ESTP,ENFJ,91608.73,76212.13,Failure
ESFP,ENFP,74701.12,55740.39,Failure
INFP,ESTJ,78029.06,70386.96,Success
ISFJ,ISTJ,89970.41,94188.76,Success
ISFP,INFP,52270.75,78909.1,Failure
ESTJ,ENTP,98630.59,84657.73,Failure
ENTJ,ISTP,42106.55,59762.53,Success
ESFJ,ESTJ,61616.56,46572.25,Success
ENTJ,ENTP,95081.75,98993.89,Success
ENFP,ENFP,91667.21,90788.11,Success
INTJ,ISFJ,78379.54,47677.54,Success
ESTJ,INTP,85329.03,79503.59,Failure
INTJ,ENTP,34798.9,97832.91,Failure
ISTP,ISTP,89612.11,91272.21,Success
ESTP,ENTP,32375.43,51608.09,Success
ESTP,INTP,68755.81,51039.41,Success
ESFJ,ENFP,49718.25,46601.94,Failure
ISFP,INFP,42138.76,97554.71,Success
ISTP,ENTP,38854.83,68100.98,Success
INFJ,ISTJ,50439.03,45288.28,Success
ISTJ,ESFJ,71598.92,68018.96,Success
INFP,INTJ,71412.44,37772.01,Failure
ENTP,ESFP,31124.63,84520.42,Success
ENTP,ENTJ,99404.67,68792.46,Failure
ESFP,ISFJ,41544.95,45273.07,Failure
ISFJ,ESTP,41261.6,55684.46,Failure
INFP,ENTJ,82669.75,48156.21,Success
ENFJ,ENTP,35958.77,35178.21,Failure
ENTP,ESFJ,73882.9,54523.62,Failure
ISTJ,ENFP,48098.68,45864.25,Failure
ESTJ,ISFJ,77638.96,77689.33,Failure
ISTP,INFJ,47980.05,89061.33,Failure
INTJ,INFP,52115.72,52990.64,Success
ENFP,ESTP,80328.31,57024.66,Success
ENFP,ISTP,57179.93,80054.39,Success
ESTP,ENTJ,75385.16,60834.15,Success
ISFP,ISTP,95901.03,49015.89,Failure
ENTJ,ESTP,82798.12,75831.25,Success
ESTP,ISTJ,93977.81,89585.84,Failure
ISFP,INTP,40654,58207.3,Success
ISFJ,ENFJ,83059.14,80930.59,Failure
INFJ,ISTJ,73176.3,86152.79,Success
ISTP,ENTJ,53829.26,54842.07,Failure
ISTP,ENFJ,96442.1,61380.4,Failure
ESTP,INFP,83541.02,88802.28,Failure
ISTJ,INFP,77354.44,82379.31,Success
ESFJ,ISTJ,74257.23,81562.86,Failure
ENTP,ENTP,88361.58,92142.49,Failure
ENFJ,ENFP,95888.92,83657.28,Success
ISFP,ESFJ,62420.49,77553.61,Failure
INFP,ENTJ,43315.81,38126.95,Success
ISTJ,INFP,96119.99,59064.83,Success
ISFJ,ISTP,42859.02,55436.9,Failure
ISFJ,ENTP,41578.04,68735.93,Failure
ISFP,INTP,97350.16,77042.13,Failure
ESTP,ENFP,88485.67,31257.12,Success
ENTJ,ISFP,83572.61,46396.35,Failure
ESFJ,ESTP,49838.96,46935.68,Success
ENFP,ESTP,51512.2,39588.87,Failure
ESTP,ENFJ,84643.2,74856.41,Failure
ESTP,INFP,82286.77,76425.31,Failure
ENFP,ESFP,77874.61,68509.65,Success
ISFJ,ENTJ,72031.31,59700.28,Failure
ENFJ,ESFP,54957.98,95492.96,Failure
ESTP,ENFP,36506.91,51182.54,Success
ISFJ,INTP,46098.26,68848.98,Success
INTJ,ENFP,42840.69,79044.23,Success
ENTP,INTP,53431.78,68815.97,Success
ENTJ,ISTP,36783.47,86784.87,Failure
INFJ,ESFJ,82752.61,38496.62,Failure
ISTJ,ISTJ,70428.51,67661.47,Failure
ESTP,ISTJ,96266.56,35828.75,Failure
ENTJ,INTP,52980.12,54884.15,Failure
ENFP,ESTP,68475.09,31363.57,Success
ENFP,ENFP,91009.95,90368.39,Failure
INFJ,ISFP,63443.64,66680.99,Failure
INFP,ESFP,56355.48,74011.37,Success
INTJ,INFJ,42589.12,56497.29,Success
ESFP,ESFP,86222.18,60646.62,Success
INFP,ENTJ,85480.84,83740.51,Success
ESTJ,ENFP,31358.83,58967.5,Failure
ENTJ,INFJ,84693.84,63809.55,Success
ISFP,ISTP,54157.83,48425.16,Success
ISFP,ENFP,70509.71,69714.26,Failure
INFP,INFP,95209.59,93415.41,Failure
INTJ,ISFP,67845.65,90157.46,Failure
INTP,ESFP,41428.11,85249.66,Failure
ESFP,ENTJ,77446.09,70222.16,Success
ENTJ,ENFP,37233.03,93557.81,Failure
INFP,ESTJ,41126.72,43874.86,Success
ISTP,ESTJ,50423.65,44344.4,Success
ISFJ,INFJ,58617.16,70439.9,Success
ENFJ,INTJ,88061.02,69168.38,Success
ESTP,ISTJ,37250.78,96482.08,Success
ENTP,INTP,96352.67,44623.11,Success
ISTJ,ENTJ,55597.75,95797.46,Success
ENTP,ESTJ,42382.81,60780.23,Success
ENFP,ESTJ,72482.5,46646.59,Failure
ESTJ,ENFP,51681.05,57394.35,Failure
ENTP,ESTP,68582.12,71359.55,Success
ENFP,ENTP,42707.28,30778.15,Success
ENTP,INFP,87580.71,80758.36,Failure
ENTJ,INTP,63979.56,71363.42,Failure
ESFJ,INFP,80184.29,70795.18,Failure
INTP,ENFP,47750.14,33515.77,Failure
INFP,ENFP,57661.8,49534.09,Failure
ESTJ,INTP,50356.99,68419.71,Success
INTJ,ENFJ,47266.81,69885.65,Failure
INFP,ISTP,40595.52,67627.57,Failure
INTJ,INFP,53552.79,55391,Failure
INTP,INTP,41464.11,71238.25,Failure
ESTP,INFJ,46307.74,72738.2,Success
ENFP,ESTJ,36711.97,77649.47,Failure
ENTJ,ENFJ,40720.46,64714.4,Failure
ISTP,ENTP,42145.54,45709.14,Success
ENFJ,ISFJ,86387.87,90943.03,Failure
ENFJ,ESTJ,79968.79,83038.82,Success
ENTJ,ENFP,99580.5,34144.9,Failure
ENFJ,ESTP,69244.59,86003.44,Failure
ESFP,ENTP,36476.44,97316.04,Failure
ISFP,ESFJ,99766.22,69939.78,Failure
INTP,ESFJ,35580.06,74180.77,Success
INFP,INFP,32951.79,31997.58,Failure
ENTP,ENTJ,42310.33,59079.03,Success
ISFP,ENTP,81489.17,84337.43,Success
ISTP,INTJ,61590.22,68476.88,Success
ESTP,ISTJ,99596.55,41117.72,Failure
ESFP,ESTP,64213.8,81518.38,Failure
ESFJ,ENTJ,59248.66,48083.47,Failure
ESTP,ISTJ,58874.12,62154.02,Failure
ISTJ,ESFJ,69143.8,43996.03,Success
ISTP,ISFJ,92313.32,93114.88,Success
INTJ,ENFJ,39664.38,58351.21,Success
ENTP,INFP,52865.59,89993,Success
ESFJ,ISTJ,89802.62,34002.66,Failure
ESFP,INFJ,48512.22,76017.51,Success
ENTJ,ENFP,33000.03,48868.34,Failure
ESFP,ENTJ,58077.19,87320.16,Failure
ISTP,ESTP,88427.51,86013.75,Failure
ENTP,INFJ,62644.44,36396.01,Failure
INTJ,ENFP,97629.51,32581.27,Failure
ENFJ,ENTP,36470.36,74478.97,Success
INFP,ENFP,78063.44,65820.75,Success
INTP,ESTJ,48791.61,65629.13,Failure
ESTJ,ENTP,35197.97,59994.54,Success
ESFJ,INTP,86481.62,73621.33,Success
ENFJ,ENFJ,33262.65,63148.4,Success
ISTJ,ESTJ,79322.74,32591.95,Failure
ISFP,ESFJ,72105.17,76793.35,Success
ENFJ,ESTP,69706.65,83130.1,Failure
ESTJ,ENFP,47480.44,54125.81,Success
ESTJ,INTP,49513.67,81556.15,Success
ISTP,ISFJ,41896.92,55826.7,Success
ENTJ,ENFP,79549.06,57827.03,Failure
ENFP,ISFJ,35721.23,62179.98,Success
ISTP,ISTJ,62204.91,41542.67,Success
INTP,ESTJ,93164.7,49109.65,Failure
INTP,ESTP,31528.66,32090.56,Failure
INFJ,ESFP,47109.74,39893.74,Success
ENFP,ENFJ,77192.39,88775.43,Success
ENFP,ISFP,58548.07,40898.99,Success
ISTP,ISTJ,80685.17,57188.98,Failure
ENTJ,ESFJ,66070.58,52462.67,Success
ENTP,ESFJ,63757.33,37205.04,Failure
ENFJ,ISTJ,46298.64,82326.54,Success
ENFP,ISTJ,73832.76,74419.07,Failure
ENFJ,INTJ,55474.92,37977.4,Success
INFP,INFP,99634.85,61788.62,Failure
ENTJ,ISFP,90879.86,83783.19,Failure
ENTP,ESFJ,60446.05,68890.23,Success
ESTP,ENTP,96465.44,57009.75,Failure
ESTJ,ENTJ,90349.07,96247.92,Success
ENTP,ISTJ,60015.96,38612.49,Failure
INTJ,ENTP,61045.63,96345.71,Failure
ENFP,ENTJ,73431.82,72922.33,Failure
ESFP,ENTJ,85718.27,77065.05,Failure
INFP,INTJ,31995.74,95284.06,Failure
ENTP,ISFJ,34416.1,45120.17,Success
INFJ,ESFP,40951.91,48501.33,Success
INTJ,ESFJ,81918.94,54236.56,Failure
ESFJ,ESTP,83361.32,40468.64,Success
ENFJ,ISFP,74831.89,30302.67,Success
ISTP,ISFJ,66345.76,31783.33,Failure
ENFJ,ESTP,33152.14,76702.99,Failure
ISTP,INFJ,84588.27,30005.18,Failure
ISFP,ENTJ,68518.2,74386.25,Failure
ISFP,ENFP,64650.87,36670.2,Failure
ESTP,ISFJ,69866.14,97895.87,Success
INTJ,INFJ,99133.67,45669.25,Failure
ESFJ,INFJ,38054.36,50463.14,Success
INTP,ISTP,66529.32,91517.35,Failure
ENTP,INFJ,56566.77,53394.8,Failure
ESFJ,ESFP,97286.52,67092.13,Failure
ISTP,ESFP,80365.35,49238.85,Success
ISFJ,ESFJ,75863.78,89459.14,Success
ISTJ,ESTP,44855.41,47838.14,Success
ESFP,ISTP,49848.98,30174.23,Failure
INFP,ENFJ,81243.61,83980.93,Failure
ENTP,ESFJ,78092.6,37148.47,Failure
