"NetWorth","Age","Education","Location","Party"
"Low",58.25,"PrimarySchool","EastCoast","Republican"
"High",37.32,"College","WestCoast","Republican"
"High",41.17,"College","EastCoast","Republican"
"High",92.68,"College","Central","Republican"
"Medium",96.3,"HighSchool","Central","Republican"
"High",71.05,"PrimarySchool","EastCoast","Republican"
"High",96.16,"HighSchool","WestCoast","Republican"
"Medium",54.7,"HighSchool","WestCoast","Democrat"
"High",41.88,"College","Central","Republican"
"Medium",28.74,"HighSchool","WestCoast","Democrat"
"Medium",82.92,"PrimarySchool","Central","Republican"
"Medium",63.94,"PrimarySchool","WestCoast","Republican"
"Low",97.61,"PrimarySchool","EastCoast","Republican"
"Low",57.03,"College","WestCoast","Democrat"
"High",66.1,"HighSchool","WestCoast","Republican"
"High",32.47,"PrimarySchool","Central","Republican"
"Medium",45.69,"PrimarySchool","EastCoast","Republican"
"Low",83.69,"HighSchool","EastCoast","Democrat"
"Medium",53.11,"HighSchool","EastCoast","Republican"
"Medium",86.3,"HighSchool","WestCoast","Democrat"
"Medium",64.89,"HighSchool","EastCoast","Democrat"
"Medium",18.28,"HighSchool","WestCoast","Republican"
"Low",75.6,"PrimarySchool","WestCoast","Republican"
"Low",62.01,"College","Central","Republican"
"Low",18.04,"College","EastCoast","Democrat"
"High",98.17,"College","WestCoast","Republican"
"Low",83.94,"HighSchool","WestCoast","Republican"
"High",98.22,"HighSchool","EastCoast","Republican"
"Low",61,"HighSchool","WestCoast","Republican"
"High",48.28,"HighSchool","EastCoast","Republican"
"Medium",24.12,"PrimarySchool","EastCoast","Democrat"
"High",98.15,"College","Central","Republican"
"High",71.37,"HighSchool","Central","Republican"
"Low",53.45,"College","Central","Republican"
"High",32.79,"College","EastCoast","Republican"
"Low",96.65,"HighSchool","EastCoast","Democrat"
"Low",23.51,"College","Central","Democrat"
"High",89.16,"College","EastCoast","Republican"
"Medium",37.19,"College","EastCoast","Democrat"
"High",41.84,"College","Central","Republican"
"High",27.89,"HighSchool","WestCoast","Republican"
"Medium",58.15,"PrimarySchool","Central","Republican"
"Medium",61.22,"PrimarySchool","WestCoast","Republican"
"Medium",53.23,"PrimarySchool","EastCoast","Republican"
"High",39.32,"HighSchool","Central","Republican"
"Medium",41.34,"PrimarySchool","Central","Republican"
"High",82.48,"PrimarySchool","Central","Republican"
"Medium",33.74,"PrimarySchool","Central","Republican"
"Low",55.36,"PrimarySchool","WestCoast","Republican"
"Medium",60.24,"HighSchool","EastCoast","Democrat"
"Low",70,"PrimarySchool","Central","Republican"
"High",47.77,"HighSchool","WestCoast","Republican"
"Low",70.22,"College","WestCoast","Republican"
"High",47.99,"College","Central","Republican"
"Low",68.69,"PrimarySchool","Central","Republican"
"Medium",69.12,"PrimarySchool","EastCoast","Republican"
"Low",69.19,"HighSchool","EastCoast","Democrat"
"High",56.48,"PrimarySchool","EastCoast","Republican"
"High",67.63,"HighSchool","Central","Republican"
"Low",64.79,"HighSchool","WestCoast","Republican"
"Low",89.95,"PrimarySchool","Central","Republican"
"Medium",60.43,"College","Central","Democrat"
"High",94.04,"College","WestCoast","Republican"
"Low",68.75,"College","WestCoast","Democrat"
"Medium",37.16,"HighSchool","EastCoast","Republican"
"Medium",47.54,"PrimarySchool","WestCoast","Republican"
"Low",49.01,"HighSchool","EastCoast","Democrat"
"Low",49.06,"College","Central","Democrat"
"Medium",63.6,"PrimarySchool","WestCoast","Republican"
"High",71.9,"PrimarySchool","EastCoast","Republican"
"Low",70.72,"HighSchool","WestCoast","Republican"
"High",81.01,"HighSchool","EastCoast","Republican"
"High",97.8,"College","Central","Republican"
"Low",43.79,"College","WestCoast","Republican"
"Low",44.36,"College","Central","Republican"
"Medium",84.47,"PrimarySchool","Central","Republican"
"Medium",78.34,"HighSchool","WestCoast","Democrat"
"Medium",45.33,"HighSchool","Central","Democrat"
"Low",39.33,"HighSchool","WestCoast","Republican"
"Medium",89.31,"College","EastCoast","Republican"
"Medium",60.81,"PrimarySchool","WestCoast","Republican"
"High",20.97,"College","Central","Republican"
"Medium",52.86,"HighSchool","WestCoast","Democrat"
"Low",53.85,"HighSchool","WestCoast","Republican"
"Medium",47.79,"PrimarySchool","WestCoast","Republican"
"Low",84.14,"College","EastCoast","Democrat"
"Low",56.33,"College","WestCoast","Republican"
"Low",64.42,"College","WestCoast","Democrat"
"High",62.2,"HighSchool","Central","Republican"
"High",80.08,"PrimarySchool","WestCoast","Republican"
"Low",71.7,"College","EastCoast","Democrat"
"High",56.71,"College","EastCoast","Republican"
"High",25.66,"HighSchool","WestCoast","Republican"
"High",98.98,"PrimarySchool","Central","Republican"
"Low",38.69,"PrimarySchool","EastCoast","Democrat"
"Medium",18.96,"HighSchool","WestCoast","Democrat"
"High",75.04,"HighSchool","EastCoast","Republican"
"Medium",50.14,"PrimarySchool","WestCoast","Republican"
"High",97.05,"HighSchool","Central","Republican"
"Low",39.43,"HighSchool","EastCoast","Democrat"
"High",26.92,"HighSchool","EastCoast","Republican"
"Low",57.34,"HighSchool","WestCoast","Republican"
"Low",18.88,"PrimarySchool","WestCoast","Republican"
"High",36.87,"HighSchool","WestCoast","Republican"
"Medium",51.84,"HighSchool","EastCoast","Republican"
"Medium",49.52,"PrimarySchool","EastCoast","Republican"
"High",56.81,"College","WestCoast","Republican"
"Medium",96.71,"HighSchool","EastCoast","Democrat"
"High",24.89,"HighSchool","WestCoast","Republican"
"Medium",46.23,"PrimarySchool","EastCoast","Republican"
"High",91.47,"PrimarySchool","Central","Republican"
"High",26.68,"College","EastCoast","Republican"
"Medium",59.58,"HighSchool","WestCoast","Republican"
"Low",25.88,"College","Central","Democrat"
"High",46.88,"HighSchool","EastCoast","Republican"
"Low",44.98,"HighSchool","WestCoast","Democrat"
"Low",79.92,"HighSchool","WestCoast","Democrat"
"Low",44.1,"College","Central","Republican"
"Low",77.44,"HighSchool","Central","Democrat"
"Medium",53.87,"College","WestCoast","Republican"
"High",86.63,"HighSchool","EastCoast","Republican"
"Medium",53.05,"HighSchool","WestCoast","Republican"
"Low",49.16,"HighSchool","Central","Democrat"
"Medium",63.05,"PrimarySchool","Central","Republican"
"High",29.79,"HighSchool","WestCoast","Republican"
"High",29.57,"College","Central","Republican"
"High",29.6,"PrimarySchool","Central","Republican"
"Medium",76.46,"PrimarySchool","EastCoast","Republican"
"High",52.41,"HighSchool","Central","Republican"
"High",68.76,"College","WestCoast","Republican"
"Low",43.83,"College","EastCoast","Democrat"
"Medium",95.45,"HighSchool","EastCoast","Republican"
"Low",73.38,"College","EastCoast","Democrat"
"Medium",81.14,"College","WestCoast","Republican"
"Low",79.95,"College","EastCoast","Republican"
"High",70.24,"College","EastCoast","Republican"
"High",96.67,"PrimarySchool","EastCoast","Republican"
"Low",65.34,"College","Central","Democrat"
"High",88.74,"HighSchool","WestCoast","Republican"
"High",37.38,"HighSchool","EastCoast","Republican"
"Medium",21.1,"College","WestCoast","Democrat"
"Low",73.72,"PrimarySchool","Central","Republican"
"Medium",54.85,"College","Central","Republican"
"Medium",91.11,"HighSchool","WestCoast","Republican"
"Medium",51.68,"HighSchool","WestCoast","Democrat"
"High",58.63,"College","Central","Republican"
"Medium",53.37,"HighSchool","Central","Republican"
"Low",83.12,"PrimarySchool","WestCoast","Republican"
"Low",79.37,"PrimarySchool","EastCoast","Republican"
"Medium",33.42,"HighSchool","EastCoast","Republican"
"Medium",44.23,"PrimarySchool","EastCoast","Republican"
"Medium",98.18,"PrimarySchool","WestCoast","Republican"
"Medium",69.9,"HighSchool","EastCoast","Republican"
"Low",62.99,"PrimarySchool","Central","Republican"
"High",67.1,"College","WestCoast","Republican"
"High",62.23,"PrimarySchool","Central","Republican"
"Medium",95.57,"HighSchool","WestCoast","Republican"
"High",37.6,"PrimarySchool","Central","Republican"
"High",26.74,"College","EastCoast","Republican"
"Medium",42.34,"PrimarySchool","EastCoast","Republican"
"Medium",18.24,"College","EastCoast","Democrat"
"Low",82.37,"PrimarySchool","Central","Republican"
"Low",51.66,"PrimarySchool","Central","Republican"
"Medium",24.39,"PrimarySchool","EastCoast","Democrat"
"High",86.97,"PrimarySchool","Central","Republican"
"Medium",26.73,"College","WestCoast","Democrat"
"Medium",33.52,"HighSchool","EastCoast","Republican"
"Low",89.9,"PrimarySchool","WestCoast","Republican"
"Medium",28.97,"PrimarySchool","Central","Republican"
"Low",69.39,"PrimarySchool","EastCoast","Republican"
"High",70.89,"PrimarySchool","Central","Republican"
"High",68.43,"College","Central","Republican"
"Medium",82.15,"HighSchool","Central","Democrat"
"Medium",35.24,"HighSchool","WestCoast","Republican"
"Low",98.54,"PrimarySchool","Central","Republican"
"Medium",25.11,"HighSchool","WestCoast","Republican"
"Low",89.67,"PrimarySchool","WestCoast","Republican"
"Medium",58.09,"College","EastCoast","Republican"
"Low",60.95,"HighSchool","Central","Republican"
"Medium",29.96,"College","Central","Democrat"
"Low",69.89,"PrimarySchool","WestCoast","Republican"
"Medium",75.98,"PrimarySchool","WestCoast","Republican"
"High",18.02,"HighSchool","Central","Republican"
"Medium",41.33,"PrimarySchool","EastCoast","Republican"
"Medium",34.91,"College","EastCoast","Democrat"
"Medium",40.25,"HighSchool","Central","Democrat"
"High",86.22,"HighSchool","WestCoast","Republican"
"Medium",43.34,"HighSchool","WestCoast","Democrat"
"Low",37.81,"PrimarySchool","EastCoast","Republican"
"Medium",80.84,"College","EastCoast","Democrat"
"Medium",73.67,"College","WestCoast","Democrat"
"Medium",53.1,"College","WestCoast","Democrat"
"High",63.09,"PrimarySchool","WestCoast","Republican"
"Medium",61.53,"HighSchool","WestCoast","Republican"
"Low",63.99,"College","Central","Democrat"
"Medium",66.27,"PrimarySchool","EastCoast","Republican"
"Low",86.06,"HighSchool","Central","Republican"
"High",32.25,"PrimarySchool","Central","Republican"
"Medium",81.37,"College","Central","Democrat"
"Medium",39.72,"HighSchool","WestCoast","Republican"
"High",21.51,"HighSchool","WestCoast","Republican"
"Low",96.23,"PrimarySchool","WestCoast","Republican"
"Medium",99.52,"PrimarySchool","EastCoast","Republican"
"Medium",28.83,"College","EastCoast","Democrat"
"High",39.27,"PrimarySchool","EastCoast","Republican"
"High",91.91,"PrimarySchool","WestCoast","Republican"
"Medium",20.87,"HighSchool","WestCoast","Democrat"
"Low",26.89,"HighSchool","Central","Democrat"
"Low",66.33,"HighSchool","EastCoast","Democrat"
"Low",65.73,"College","Central","Democrat"
"Low",82.73,"PrimarySchool","Central","Republican"
"High",99.92,"PrimarySchool","EastCoast","Republican"
"Low",86.79,"College","WestCoast","Republican"
"High",72.6,"HighSchool","WestCoast","Republican"
"Low",43.11,"HighSchool","WestCoast","Democrat"
"High",32.94,"College","WestCoast","Republican"
"Low",53.65,"College","WestCoast","Democrat"
"Medium",55.6,"College","EastCoast","Republican"
"Medium",72.93,"HighSchool","WestCoast","Democrat"
"High",92.66,"PrimarySchool","Central","Republican"
"Medium",37.79,"PrimarySchool","EastCoast","Republican"
"High",64.45,"HighSchool","Central","Republican"
"High",73.08,"HighSchool","WestCoast","Republican"
"High",89,"College","WestCoast","Republican"
"Low",58.79,"HighSchool","Central","Republican"
"Medium",20.87,"PrimarySchool","WestCoast","Democrat"
"High",83.1,"College","Central","Republican"
"Low",35.75,"PrimarySchool","Central","Republican"
"Low",99.99,"PrimarySchool","EastCoast","Republican"
"Low",79.13,"PrimarySchool","Central","Republican"
"Low",93.18,"PrimarySchool","WestCoast","Republican"
"Low",99.5,"PrimarySchool","WestCoast","Republican"
"High",99.39,"PrimarySchool","EastCoast","Republican"
"Low",48.55,"HighSchool","WestCoast","Democrat"
"High",81.44,"College","WestCoast","Republican"
"Low",45.77,"HighSchool","WestCoast","Republican"
"High",56.26,"College","EastCoast","Republican"
"Medium",38.74,"HighSchool","Central","Democrat"
"Low",85.31,"HighSchool","EastCoast","Democrat"
"Medium",34.05,"College","EastCoast","Democrat"
"High",96.53,"HighSchool","Central","Republican"
"Medium",84.91,"PrimarySchool","Central","Republican"
"Low",99,"College","WestCoast","Republican"
"Low",74.55,"PrimarySchool","EastCoast","Republican"
"Low",88.42,"HighSchool","Central","Republican"
"Low",72.11,"College","Central","Republican"
"Medium",81.66,"PrimarySchool","WestCoast","Republican"
"High",73.88,"College","Central","Republican"
"High",36.86,"College","Central","Republican"
"High",92.53,"PrimarySchool","Central","Republican"
"High",33.77,"HighSchool","Central","Republican"
"Medium",38.7,"HighSchool","WestCoast","Republican"
"Low",21.26,"College","WestCoast","Democrat"
"Medium",88.02,"HighSchool","WestCoast","Democrat"
"Low",52.84,"College","WestCoast","Republican"
"High",35.05,"HighSchool","WestCoast","Republican"
"High",99.66,"PrimarySchool","WestCoast","Republican"
"Medium",38.27,"College","Central","Democrat"
"High",99.44,"PrimarySchool","EastCoast","Republican"
"High",50.58,"PrimarySchool","WestCoast","Republican"
"Medium",66.93,"College","WestCoast","Republican"
"High",68.36,"College","WestCoast","Republican"
"High",48.33,"College","Central","Republican"
"Low",41.95,"HighSchool","Central","Republican"
"Low",98.54,"HighSchool","Central","Republican"
"Low",29.4,"College","Central","Democrat"
"Low",83.89,"HighSchool","WestCoast","Democrat"
"Low",94.02,"College","Central","Democrat"
"Medium",67.74,"PrimarySchool","Central","Republican"
"Low",95.19,"College","Central","Democrat"
"High",86.65,"HighSchool","EastCoast","Republican"
"Medium",83.03,"PrimarySchool","WestCoast","Republican"
"Low",27.41,"PrimarySchool","Central","Republican"
"Medium",56.42,"College","Central","Democrat"
"Low",60.62,"HighSchool","EastCoast","Republican"
"Low",49.7,"PrimarySchool","Central","Republican"
"High",36.29,"PrimarySchool","EastCoast","Republican"
"Low",36.51,"HighSchool","WestCoast","Republican"
"Low",28.59,"College","WestCoast","Democrat"
"Low",77.34,"PrimarySchool","WestCoast","Republican"
"Medium",92.43,"College","Central","Democrat"
"Medium",82.8,"College","Central","Democrat"
"Low",75.79,"HighSchool","Central","Democrat"
"Medium",60.78,"HighSchool","WestCoast","Democrat"
"Low",19.14,"College","EastCoast","Democrat"
"High",96,"HighSchool","EastCoast","Republican"
"High",93.97,"HighSchool","Central","Republican"
"Medium",88.29,"College","EastCoast","Democrat"
"Low",36.14,"HighSchool","Central","Democrat"
"Medium",21.75,"College","WestCoast","Democrat"
"Medium",80.55,"College","EastCoast","Democrat"
"Low",97.78,"College","EastCoast","Democrat"
"Medium",36.36,"College","WestCoast","Democrat"
"High",76.29,"PrimarySchool","EastCoast","Republican"
"Low",45.18,"PrimarySchool","Central","Republican"
"Medium",77.98,"HighSchool","Central","Republican"
"Medium",18.43,"PrimarySchool","EastCoast","Democrat"
"Low",91.72,"PrimarySchool","WestCoast","Republican"
"Medium",78.96,"HighSchool","WestCoast","Republican"
"Low",59.69,"PrimarySchool","EastCoast","Republican"
"High",87.71,"HighSchool","Central","Republican"
"Low",72.87,"HighSchool","WestCoast","Democrat"
"Medium",37.45,"HighSchool","EastCoast","Republican"
"Medium",56.22,"HighSchool","EastCoast","Democrat"
"Medium",80.64,"College","Central","Democrat"
"High",34.75,"College","Central","Republican"
"High",97.3,"PrimarySchool","Central","Republican"
"Medium",76.03,"PrimarySchool","WestCoast","Republican"
"High",95.76,"College","WestCoast","Republican"
"High",68.71,"PrimarySchool","Central","Republican"
"Medium",74.74,"PrimarySchool","EastCoast","Republican"
"Medium",72.55,"PrimarySchool","Central","Republican"
"Medium",64.79,"PrimarySchool","WestCoast","Republican"
"High",78.91,"HighSchool","Central","Republican"
"Low",33.15,"HighSchool","Central","Republican"
"Medium",70.28,"PrimarySchool","Central","Republican"
"Low",41.78,"PrimarySchool","WestCoast","Republican"
"High",26.05,"College","WestCoast","Republican"
"Low",99.08,"PrimarySchool","EastCoast","Republican"
"High",77.89,"College","WestCoast","Republican"
"Medium",55.75,"HighSchool","WestCoast","Republican"
"Low",56.25,"PrimarySchool","EastCoast","Republican"
"Low",23.31,"PrimarySchool","EastCoast","Republican"
"High",22.66,"HighSchool","EastCoast","Republican"
"Medium",96.38,"HighSchool","WestCoast","Democrat"
"Low",88.29,"HighSchool","Central","Democrat"
"High",71.85,"PrimarySchool","EastCoast","Republican"
"High",44.87,"HighSchool","EastCoast","Republican"
"Low",46.04,"College","EastCoast","Republican"
"Low",51.29,"HighSchool","WestCoast","Democrat"
"Medium",21.07,"HighSchool","WestCoast","Republican"
"High",40.69,"PrimarySchool","EastCoast","Republican"
"Medium",35.6,"HighSchool","WestCoast","Republican"
"High",48.14,"College","Central","Republican"
"High",54.77,"PrimarySchool","Central","Republican"
"High",71.36,"College","EastCoast","Republican"
"Medium",54.33,"College","EastCoast","Democrat"
"Low",51.87,"College","EastCoast","Democrat"
"Medium",79.21,"College","WestCoast","Democrat"
"Medium",88.45,"College","Central","Republican"
"Low",42.88,"PrimarySchool","EastCoast","Republican"
"High",45.59,"PrimarySchool","Central","Republican"
"Medium",32.68,"College","Central","Democrat"
"Medium",54.4,"HighSchool","Central","Republican"
"High",19.4,"HighSchool","Central","Republican"
"High",59.52,"College","WestCoast","Republican"
"Medium",18.97,"PrimarySchool","Central","Democrat"
"High",80.88,"PrimarySchool","WestCoast","Republican"
"Low",78.36,"College","Central","Democrat"
"Low",74.62,"College","Central","Republican"
"Medium",42.72,"College","WestCoast","Democrat"
"Low",81.22,"PrimarySchool","Central","Republican"
"Medium",83.12,"College","WestCoast","Republican"
"Medium",29.04,"HighSchool","WestCoast","Republican"
"Medium",98.65,"PrimarySchool","WestCoast","Republican"
"Low",63.7,"College","WestCoast","Democrat"
"High",55.67,"College","EastCoast","Republican"
"High",51.71,"HighSchool","WestCoast","Republican"
"Low",31.66,"College","WestCoast","Democrat"
"High",89.31,"PrimarySchool","Central","Republican"
"Low",37.25,"College","EastCoast","Democrat"
"High",58.89,"College","Central","Republican"
"Medium",91.01,"PrimarySchool","EastCoast","Republican"
"Low",70.59,"College","WestCoast","Democrat"
"Medium",72.68,"College","WestCoast","Democrat"
"High",78.28,"College","Central","Republican"
"High",93.62,"PrimarySchool","EastCoast","Republican"
"High",44.83,"HighSchool","WestCoast","Republican"
"Medium",35.63,"HighSchool","EastCoast","Democrat"
"High",21.9,"HighSchool","EastCoast","Republican"
"Low",20.04,"PrimarySchool","Central","Democrat"
"Low",22.84,"College","WestCoast","Democrat"
"Low",69.08,"HighSchool","WestCoast","Republican"
"Medium",65.73,"College","WestCoast","Republican"
"Low",43.11,"HighSchool","WestCoast","Democrat"
"High",28.87,"HighSchool","Central","Republican"
"Medium",60.18,"HighSchool","WestCoast","Democrat"
"High",89.91,"College","Central","Republican"
"Low",80.69,"PrimarySchool","Central","Republican"
"High",56.8,"PrimarySchool","EastCoast","Republican"
"Low",81.81,"College","Central","Republican"
"Medium",70.54,"PrimarySchool","WestCoast","Republican"
"Low",93.19,"PrimarySchool","EastCoast","Republican"
"Low",67.6,"College","EastCoast","Democrat"
"High",81.7,"College","Central","Republican"
"Medium",94.84,"College","EastCoast","Democrat"
"Medium",33.32,"College","EastCoast","Democrat"
"High",43.93,"College","EastCoast","Republican"
"Low",66.24,"College","Central","Republican"
"Low",57.2,"HighSchool","Central","Democrat"
"Medium",47.25,"College","Central","Republican"
"Medium",92.57,"College","Central","Democrat"
"Low",56.14,"PrimarySchool","WestCoast","Republican"
"Medium",24.22,"College","Central","Democrat"
"Low",53.05,"PrimarySchool","EastCoast","Republican"
"High",79.76,"College","WestCoast","Republican"
"Low",97.37,"PrimarySchool","Central","Republican"
"High",68.66,"College","Central","Republican"
"Medium",98.69,"College","WestCoast","Democrat"
"High",99.98,"PrimarySchool","WestCoast","Republican"
"High",61.98,"PrimarySchool","Central","Republican"
"Low",92.19,"HighSchool","EastCoast","Republican"
"High",56.56,"PrimarySchool","EastCoast","Republican"
"Medium",74.87,"College","EastCoast","Republican"
"High",31.72,"HighSchool","Central","Republican"
"Low",56.51,"HighSchool","EastCoast","Democrat"
"High",50.56,"PrimarySchool","WestCoast","Republican"
"Medium",95.77,"College","EastCoast","Republican"
"High",79.74,"PrimarySchool","EastCoast","Republican"
"High",52.36,"HighSchool","WestCoast","Republican"
"Medium",58.57,"HighSchool","Central","Republican"
"High",54.74,"College","WestCoast","Republican"
"Medium",96.07,"HighSchool","WestCoast","Republican"
"Low",85.03,"College","WestCoast","Republican"
"Low",34.2,"HighSchool","Central","Democrat"
"High",98.69,"PrimarySchool","Central","Republican"
"Medium",19.1,"PrimarySchool","WestCoast","Democrat"
"Low",64.32,"College","Central","Democrat"
"Medium",25.19,"HighSchool","Central","Republican"
"Medium",40.8,"HighSchool","WestCoast","Republican"
"Low",52.22,"College","WestCoast","Republican"
"Medium",65.61,"PrimarySchool","EastCoast","Republican"
"Medium",91.41,"HighSchool","EastCoast","Democrat"
"Medium",30.82,"College","WestCoast","Democrat"
"Medium",55.5,"HighSchool","Central","Democrat"
"High",44.57,"HighSchool","EastCoast","Republican"
"High",40.67,"College","Central","Republican"
"Medium",70.48,"HighSchool","WestCoast","Democrat"
"Low",33.59,"College","WestCoast","Democrat"
"High",58.47,"HighSchool","Central","Republican"
"Medium",21.8,"PrimarySchool","EastCoast","Democrat"
"Low",99.18,"HighSchool","Central","Democrat"
"High",70.42,"HighSchool","WestCoast","Republican"
"Medium",59.17,"PrimarySchool","EastCoast","Republican"
"Medium",81.98,"HighSchool","Central","Democrat"
"Low",85.1,"College","EastCoast","Republican"
"High",75.01,"HighSchool","EastCoast","Republican"
"Medium",96.88,"HighSchool","WestCoast","Republican"
"Low",68.71,"PrimarySchool","EastCoast","Republican"
"Low",55.51,"HighSchool","Central","Republican"
"Low",76.5,"HighSchool","Central","Democrat"
"High",97,"HighSchool","WestCoast","Republican"
"High",62.34,"College","EastCoast","Republican"
"Medium",44.82,"PrimarySchool","WestCoast","Republican"
