"Genre","Content","Audience","Income","RATING","ID"
"Comedy","PG",26729.41,1486.36,"Average",96
"Comedy","PG13",4589.55,45736.64,"Great",97
"Drama","PG",36981.23,1405.86,"Average",98
"Comedy","PG",8565.81,22280.58,"Great",99
"Comedy","PG13",33218.01,16779.07,"Average",100
"Action","PG",14884.55,2012.06,"Average",101
"Action","R",9345.29,26193.55,"Great",102
"Documentary","PG13",2230.14,32209.51,"Great",103
"Drama","R",39535.09,39648.8,"Great",104
"Documentary","R",20862.7,31137.11,"Average",105
"Comedy","R",35487.79,30333.03,"Average",106
"Drama","PG",35752.86,40511.05,"Average",107
"Comedy","R",29009.14,39795,"Great",108
"Action","PG",7123.59,6286.99,"Average",109
"Action","PG",19130.64,28416.15,"Average",110
"Comedy","PG",34787.99,5079,"Average",111
"Documentary","PG13",24801.77,7975.08,"Average",112
"Action","R",12107.78,23982.65,"Average",113
"Documentary","PG13",33082.58,8576.99,"Average",114
"Documentary","PG",25076.74,44783.73,"Average",115
"Documentary","R",20188.09,23833.37,"Average",116
"Comedy","PG13",7508.24,40470.16,"Great",117
"Documentary","PG13",22373.86,47512.83,"Great",118
"Comedy","R",11180.7,48843.91,"Great",119
"Action","PG13",19972.68,13126.98,"Average",120
"Action","PG13",36680.87,36843.67,"Average",121
"Action","R",9374.16,18642.6,"Average",122
"Drama","PG13",23345.35,28881.22,"Average",123
"Comedy","PG",25364.47,40608.16,"Average",124
"Documentary","R",34030.39,36240.05,"Average",125
"Action","R",22552.36,42345.8,"Average",126
"Comedy","PG",22200.1,45985.26,"Great",127
"Comedy","R",19654.79,16808.26,"Average",128
"Action","R",22753.01,44543.16,"Great",129
"Documentary","R",15535.36,9594.79,"Average",130
"Drama","R",16833.86,29296.66,"Great",131
"Comedy","R",39467.22,27327.18,"Average",132
"Drama","R",22992.46,37525.4,"Great",133
"Documentary","R",16617.17,48914.86,"Great",134
"Action","R",7902.31,800.99,"Average",135
"Comedy","PG",2992.76,12736.57,"Great",136
"Documentary","PG13",9858.77,8463.26,"Average",137
"Drama","PG13",33925.58,36656.93,"Average",138
"Comedy","PG13",22605.11,48285.22,"Great",139
"Documentary","PG13",29021.04,19154.95,"Average",140
"Drama","PG13",23226.77,34596.95,"Average",141
"Drama","R",3879.75,47417.71,"Great",142
"Comedy","PG",35424.87,39591.92,"Average",143
"Documentary","PG13",37791.58,21400.65,"Average",144
"Comedy","PG13",37872.58,22754.41,"Average",145
"Action","PG",15221.95,39664.17,"Great",146
"Documentary","PG",15787.93,25515.66,"Average",147
"Documentary","PG",9215.7,30616.47,"Great",148
"Documentary","R",38580.21,3944.15,"Average",149
"Action","R",37029.42,34485.14,"Average",150
"Drama","PG13",17083.69,21103.94,"Average",151
"Drama","PG",32979.89,19660.39,"Average",152
"Comedy","PG",26671.92,596.15,"Average",153
"Drama","PG13",19483.5,41076.5,"Great",154
"Comedy","R",11339.77,41949.69,"Great",155
"Documentary","PG13",5514.14,18556.98,"Great",156
"Documentary","PG13",17246.79,42047.26,"Great",157
"Action","PG",2722.4,8966.02,"Great",158
"Comedy","R",32015.16,41610.19,"Average",159
"Comedy","PG",14579.47,39179.08,"Great",160
"Drama","PG",22035.08,4978.67,"Average",161
"Drama","PG",27464.57,7551.84,"Average",162
"Comedy","PG",24824.12,35944.34,"Average",163
"Action","R",21317.33,20381.73,"Average",164
"Comedy","PG13",37477.91,19648.9,"Average",165
"Action","R",37601.49,49715.11,"Average",166
"Drama","PG",27805.54,19359.72,"Average",167
"Comedy","PG",19291.34,4300.52,"Average",168
"Action","PG",38204.26,5865.31,"Average",169
"Documentary","PG13",527.48,36709.58,"Great",170
"Drama","PG13",3599.12,48019.44,"Great",171
"Documentary","PG13",38369.85,45795.34,"Average",172
"Documentary","PG13",1180.77,48774.37,"Great",173
"Drama","PG",28653.12,39231.45,"Great",174
"Comedy","PG13",8012.22,23942.74,"Great",175
"Documentary","PG13",474.94,44959.47,"Great",176
"Drama","PG",11099.03,9323.64,"Average",177
"Comedy","PG",3428.46,8000.09,"Average",178
"Action","PG13",25772.91,27680.96,"Average",179
"Documentary","PG13",3664.16,4406.38,"Average",180
"Comedy","PG13",26577.35,11653.71,"Great",181
"Drama","PG13",1530.45,38004.91,"Great",182
"Action","R",7685.21,25902.86,"Great",183
"Drama","PG13",7592.75,25512.36,"Great",184
"Documentary","PG",28921.48,22274.17,"Average",185
"Comedy","R",26712.65,47075.07,"Average",186
"Documentary","PG",31365.85,33600.18,"Average",187
"Drama","PG13",22144.95,47060.35,"Great",188
"Action","PG",3007.19,21543.26,"Great",189
"Comedy","R",2850.58,17794.22,"Average",190
"Documentary","PG",26866.01,19722.4,"Average",191
"Action","R",38185.4,17873.66,"Average",192
"Documentary","PG",35210.1,970.91,"Average",193
"Comedy","R",948.16,49467.93,"Great",194
"Action","R",23893.28,40237.32,"Average",195
"Drama","PG",13948.33,30292.85,"Great",196
"Documentary","PG",11999.45,46787.32,"Great",197
"Documentary","PG13",4255.79,32455.12,"Great",198
"Comedy","PG",10235.26,43353.1,"Great",199
"Comedy","R",27457.01,40836.53,"Average",200
"Drama","PG13",33354.09,23760.09,"Great",201
"Comedy","PG13",38311.81,6725.6,"Average",202
"Action","PG",36277.76,15566.03,"Average",203
"Drama","PG",30017.15,46275.1,"Great",204
"Drama","PG13",9600.41,19582.5,"Great",205
"Drama","R",39580.74,27275.89,"Great",206
"Action","PG13",38345.08,38818.11,"Average",207
"Documentary","R",36353.77,45958.85,"Average",208
"Comedy","R",28490.41,24528.74,"Average",209
"Drama","PG",5141.95,46784.57,"Great",210
"Action","PG",771.13,46614.95,"Great",211
"Drama","PG13",19712.92,13012.12,"Average",212
"Drama","PG13",20324.02,8854.04,"Average",213
"Documentary","R",11062.93,18362.93,"Average",214
"Documentary","PG",20578.94,30838.51,"Great",215
"Drama","PG",29273.98,35664.19,"Average",216
"Comedy","PG13",32676.26,18375.03,"Average",217
"Drama","PG13",14209.49,41936.06,"Great",218
"Comedy","PG",11492.56,20896.88,"Average",219
"Comedy","R",30997.25,11070.62,"Average",220
"Drama","PG13",4003.33,37719.94,"Great",221
"Comedy","R",17808.15,46094.31,"Great",222
"Comedy","PG13",22364.19,14923.01,"Average",223
"Drama","R",1602.37,45156.96,"Great",224
"Action","PG",13576.89,38283.66,"Average",225
"Drama","PG",23683.25,17293.63,"Average",226
"Drama","PG",19674.18,7980.17,"Average",227
"Drama","R",12328.81,3846.98,"Great",228
"Action","PG13",14818.47,9111.26,"Average",229
"Documentary","R",14150.15,14564.93,"Great",230
"Documentary","PG",38628.59,15096.09,"Average",231
"Drama","PG",3495.45,4424.58,"Average",232
"Action","R",29556.81,14782.5,"Average",233
"Comedy","R",37222.86,44778.9,"Average",234
"Comedy","R",14402.68,33717.26,"Great",235
"Action","PG13",24426.38,47321.12,"Average",236
"Action","R",28006.22,46687.76,"Average",237
"Comedy","PG13",30508.11,39143.15,"Average",238
"Action","PG",36246.42,9137.99,"Average",239
"Comedy","PG13",27533.88,12829.58,"Average",240
"Documentary","PG",8998.68,6050,"Average",241
"Comedy","R",32968.4,45761.04,"Average",242
"Drama","R",14687.81,30387.38,"Great",243
"Comedy","PG13",37445.11,6249.12,"Average",244
"Action","PG",8309.33,41831.48,"Great",245
"Documentary","R",6680.79,14251.91,"Great",246
"Action","PG13",7037.34,37762.41,"Great",247
"Documentary","PG13",30085.11,25048.13,"Average",248
"Drama","R",35197.77,27533.37,"Great",249
"Action","PG",1300.14,7321.54,"Great",250
"Comedy","R",7945.06,18616.56,"Great",251
"Action","PG",25384.92,41199.37,"Average",252
"Documentary","PG",32642.48,39781.11,"Average",253
"Drama","PG13",1027.07,8913.97,"Great",254
"Drama","PG",11379.56,39880.07,"Great",255
"Action","R",9463.89,49664.2,"Great",256
"Documentary","PG",13577.01,29751.83,"Great",257
"Drama","PG13",16288.12,46336.76,"Great",258
"Comedy","PG",18041.03,6105.02,"Average",259
"Documentary","PG13",28760.75,21175.06,"Great",260
"Drama","PG13",21197.99,29470.08,"Average",261
"Action","PG",34643.69,26116.51,"Average",262
"Comedy","PG13",15993.25,41027.39,"Great",263
"Drama","PG",22930.26,1218.18,"Average",264
"Comedy","PG13",26355.88,11917.4,"Average",265
"Drama","R",28918.72,14416.6,"Great",266
"Drama","PG13",35927.55,31156.77,"Average",267
"Comedy","R",4378.24,34690.89,"Great",268
"Drama","PG",1617.84,30030.82,"Great",269
"Comedy","PG13",9382.26,33810.62,"Great",270
"Documentary","PG",38278.92,10106.66,"Average",271
"Documentary","PG13",17490.49,4893.28,"Average",272
"Comedy","PG13",22876.22,21635.22,"Average",273
"Action","R",32507.15,44133.76,"Average",274
"Drama","PG",28204.83,26065.75,"Average",275
"Comedy","PG13",14476.58,17521.15,"Average",276
"Drama","PG13",15271.82,26016.9,"Average",277
"Comedy","PG13",13799.13,43122.12,"Great",278
"Documentary","PG13",22173.79,27944.05,"Average",279
"Documentary","R",2297.54,32906.34,"Great",280
"Drama","R",37006.41,21938.35,"Great",281
"Comedy","R",33345.48,22520.42,"Average",282
"Comedy","R",32562.14,21594.2,"Average",283
"Drama","R",17770.38,38019.22,"Great",284
"Documentary","R",5064.3,46204.47,"Great",285
"Comedy","PG13",23994.5,25222.37,"Average",286
"Drama","PG13",29589.86,47545.34,"Average",287
"Comedy","R",22804.76,9263.49,"Average",288
"Action","R",32954.76,1192.87,"Average",289
"Action","R",36829.38,38622.91,"Average",290
"Comedy","R",8772.3,11157.65,"Average",291
"Comedy","R",27958.78,5870.22,"Average",292
"Drama","R",35213.93,28017.17,"Great",293
"Comedy","PG",325.23,5700.76,"Great",294
"Action","R",32816.52,49085.26,"Average",295
"Drama","PG13",21685.04,28231.57,"Average",296
"Action","PG",9375.12,20270.64,"Great",297
"Documentary","PG13",36666.08,5055.77,"Average",298
"Drama","R",8678.35,24149.27,"Great",299
"Drama","PG13",1647.18,10497.07,"Great",300
"Documentary","PG",8942.87,30015.61,"Great",301
"Drama","R",4961.19,49655.47,"Great",302
"Action","R",23927.94,18903.12,"Average",303
"Documentary","PG",908.79,43288.97,"Great",304
"Action","PG13",2228.68,11100.11,"Great",305
"Action","PG",14407.14,30007.16,"Great",306
"Action","R",32773.5,6014.46,"Average",307
"Action","PG13",38803.4,404.29,"Average",308
"Drama","PG",29548.36,32926.42,"Average",309
"Drama","PG",1640.11,37354.3,"Great",310
"Documentary","PG",8858.43,2568.31,"Average",311
"Documentary","PG",37157.13,11784.88,"Average",312
"Action","PG",20279.6,6114.25,"Average",313
"Comedy","PG13",18107.49,1089.72,"Average",314
"Documentary","R",3459.39,32360.46,"Great",315
"Comedy","PG",34824.1,20206.89,"Average",316
"Drama","PG",15935.66,48623.78,"Great",317
"Drama","PG",23836.06,14598.78,"Average",318
"Documentary","R",10617.18,32004.55,"Great",319
"Drama","PG",27986.16,32694.45,"Average",320
"Comedy","PG13",21334.38,37436.89,"Average",321
"Comedy","PG",36183.52,9737.07,"Average",322
"Action","R",15580.9,13768.55,"Average",323
"Action","PG",26789.81,14014.53,"Average",324
"Action","PG13",38924.77,36823.52,"Average",325
"Documentary","PG",37504.5,28798.57,"Average",326
"Drama","PG",25306.09,38180.26,"Average",327
"Action","PG",28435.21,46381.25,"Average",328
"Documentary","PG",5014.63,42252.58,"Great",329
"Drama","PG",32348.49,5589.51,"Average",330
"Documentary","PG",1658.36,11856.46,"Great",331
"Comedy","PG",15315.37,36048.97,"Great",332
"Comedy","R",30708.93,48075.74,"Average",333
"Documentary","R",7267.11,26238.59,"Average",334
"Documentary","R",33634.2,23009.48,"Average",335
"Action","PG",3300.91,42325.66,"Great",336
"Comedy","PG13",34387.17,39765.25,"Average",337
"Documentary","PG",17593.63,45020.31,"Great",338
"Comedy","R",2683.08,20242.45,"Great",339
"Drama","PG13",10287.73,45514.12,"Great",340
"Comedy","R",37209.25,47835.82,"Average",341
"Action","PG13",7517.83,28264.58,"Great",342
"Action","PG13",10792.5,43553.24,"Great",343
"Comedy","PG",11765.65,33383.6,"Great",344
"Drama","PG13",3444.04,20447.63,"Great",345
"Action","PG13",19851.55,38459.05,"Average",346
"Action","R",1073.71,39161.95,"Great",347
"Documentary","R",19470.44,44111.54,"Great",348
"Documentary","PG13",16885.27,9915.11,"Average",349
"Action","PG",15749.91,1342.51,"Average",350
"Drama","PG",5873.16,17824.12,"Great",351
"Comedy","R",7909.15,15135.49,"Average",352
"Action","R",30001.5,46316.07,"Average",353
"Documentary","PG13",5377.6,2915.05,"Great",354
"Comedy","PG13",33051.05,4572.22,"Average",355
"Documentary","R",36614.66,15407.37,"Average",356
"Comedy","R",29989.84,12492.27,"Average",357
"Comedy","PG13",11147.86,4082.04,"Average",358
"Documentary","PG",36011.54,6194.71,"Great",359
"Action","PG",7536.58,21120.48,"Great",360
"Comedy","PG13",15121.34,24606.92,"Average",361
"Documentary","PG",19432.9,1493.76,"Average",362
"Action","PG",16711.45,44925.76,"Great",363
"Comedy","R",13323.47,39166.52,"Great",364
"Drama","R",13749.11,11254.56,"Great",365
"Comedy","PG",19644.35,34613.01,"Average",366
"Documentary","PG13",26455.82,22884.78,"Average",367
"Action","R",24787.32,44022.33,"Average",368
"Comedy","R",1756.11,11842.62,"Great",369
"Drama","PG",37053.15,31964.75,"Average",370
"Comedy","PG",32326.7,27975.19,"Average",371
"Documentary","PG13",37883.08,28971.14,"Average",372
"Action","PG13",3020.8,22232.86,"Great",373
"Action","PG",36478.38,44884.61,"Average",374
"Comedy","PG13",14735.42,24973.11,"Average",375
"Comedy","PG",20337.35,49500.35,"Great",376
"Documentary","PG",18162.06,19844.57,"Average",377
"Drama","PG13",3155.02,23206.36,"Great",378
"Drama","R",7119.46,21290.78,"Great",379
"Drama","PG13",25343.15,48649.05,"Average",380
"Comedy","PG13",32530.86,40380.49,"Average",381
"Action","PG",38893.32,36453.18,"Average",382
"Action","PG13",1403.63,18218.95,"Great",383
"Documentary","PG",3005.26,8411.64,"Great",384
"Action","R",15954.75,18568.76,"Average",385
"Documentary","PG13",25328,15998.39,"Average",386
"Comedy","R",24639.94,13527.96,"Average",387
"Action","PG13",18247.56,44130,"Great",388
"Comedy","PG13",34998.68,34624.18,"Average",389
"Documentary","R",18955.19,13306.15,"Average",390
"Drama","R",17950,36374.82,"Great",391
"Comedy","PG13",20281.14,5057.96,"Great",392
"Drama","PG",4526.73,35709.41,"Average",393
"Documentary","R",7145.43,16402.77,"Great",394
"Action","PG",24937.47,25857.9,"Average",395
"Comedy","PG",10653.67,37182.81,"Great",396
"Comedy","R",25850.68,24565.76,"Average",397
"Action","PG",1285.62,22108.3,"Great",398
"Action","PG13",26417.92,36783.5,"Average",399
"Drama","PG",24090.47,8802.06,"Average",400
"Documentary","PG13",21602.18,45771.53,"Great",401
"Action","R",25308.86,5851.92,"Average",402
"Action","PG13",12995.45,17173.79,"Average",403
"Comedy","R",15973.48,41511.04,"Great",404
"Comedy","PG",10850.33,25688.73,"Great",405
"Action","PG13",15059.59,10105.72,"Average",406
"Drama","R",34661.18,31070.25,"Great",407
"Drama","PG13",13819.62,12140.2,"Average",408
"Drama","R",18412.59,26444.38,"Great",409
"Comedy","R",26708.61,14072.51,"Average",410
"Action","R",24497.7,30097.79,"Average",411
"Drama","PG13",31722.13,1665.86,"Average",412
"Documentary","PG",30290.18,28559.81,"Average",413
"Documentary","R",26870.94,21888.05,"Average",414
"Action","R",7638.07,13656.41,"Average",415
"Comedy","R",11703.46,17338.13,"Average",416
"Drama","PG",2401.4,27562.93,"Great",417
"Documentary","PG",17791.6,2228.4,"Average",418
"Action","PG",29544.45,37161.94,"Average",419
"Documentary","R",32820.89,21812.43,"Average",420
"Documentary","PG13",28677.18,27788.61,"Average",421
"Documentary","PG13",21260.57,26539.43,"Average",422
"Documentary","PG",830.52,19050.84,"Great",423
"Comedy","R",5143.35,39713.23,"Great",424
"Documentary","PG13",12129.34,36351.7,"Great",425
"Documentary","PG13",20923.54,45085.38,"Great",426
"Action","R",10823.99,3276.48,"Average",427
"Action","PG",12945.91,21486.99,"Average",428
"Action","PG13",1519.31,24118.28,"Great",429
"Documentary","PG",12674.28,918.68,"Great",430
"Drama","PG13",1725.41,7656.79,"Great",431
"Action","PG",7699.89,42807.12,"Great",432
"Action","PG13",37057.14,38283.12,"Average",433
"Documentary","PG",9770.23,8321.52,"Average",434
"Documentary","PG",28393.03,12204.33,"Great",435
"Comedy","PG13",38102.66,37824.01,"Average",436
"Action","PG13",11837.78,22809.67,"Average",437
"Comedy","PG13",33611.18,16180.84,"Average",438
"Comedy","PG",5149.69,46734.05,"Great",439
"Action","PG",31056.84,43983.88,"Average",440
"Action","PG",35334.49,3042.2,"Average",441
"Comedy","PG13",10876.99,45174.54,"Great",442
"Action","PG",35944.01,28153.09,"Average",443
"Drama","R",809.82,21041.17,"Great",444
"Drama","R",5649.07,44217.38,"Average",445
"Action","PG",24657.24,14774.98,"Average",446
"Comedy","R",2224.64,38327.06,"Great",447
"Comedy","PG",35478.85,13146.84,"Average",448
"Documentary","R",8241.27,30827.13,"Great",449
"Drama","PG",12105.31,22714.5,"Average",450
"Comedy","PG13",14016.4,38372.46,"Great",451
"Action","R",20805.81,13679.16,"Average",452
"Drama","R",23970.23,5105.88,"Great",453
"Drama","PG13",14217.12,41149.1,"Great",454
"Documentary","PG",14014.86,17616.09,"Great",455
"Comedy","PG",22667.49,33564.04,"Average",456
"Action","R",27913.69,43732.41,"Average",457
"Action","PG",21580.53,14023.4,"Average",458
"Documentary","PG13",29206.64,7597.47,"Average",459
"Action","R",20758.2,15466.28,"Average",460
"Documentary","PG",36351.9,5663.72,"Average",461
"Documentary","R",16546.28,13789.56,"Average",462
"Action","PG13",37876.42,15765.57,"Average",463
"Drama","R",13331.57,22028.27,"Great",464
"Comedy","PG",32127.38,1424.31,"Average",465
"Comedy","R",24850.21,40883.46,"Average",466
"Documentary","PG",13465.66,31930.72,"Great",467
"Comedy","PG",606.06,37779.88,"Great",468
"Drama","R",20734.56,12910.33,"Great",469
"Action","PG13",26158.55,48868.06,"Great",470
"Comedy","PG",10318.03,28813.04,"Great",471
"Action","PG",32958.96,44449.48,"Average",472
"Documentary","PG13",35208.95,9115.09,"Average",473
"Drama","PG",34182.75,26940.3,"Average",474
"Action","PG",7022.12,10265.63,"Average",475
"Comedy","R",33917.06,26538.71,"Average",476
"Documentary","R",8673.29,7251.6,"Average",477
"Comedy","R",9172.29,45305.21,"Great",478
"Action","PG",18766.75,44358.09,"Great",479
"Comedy","PG13",19933.61,49470.04,"Great",480
"Documentary","PG",25161.49,49656.9,"Average",481
"Drama","R",27067.04,5300.84,"Great",482
"Action","PG13",27705.64,20151.68,"Average",483
"Action","PG13",8875.67,3311.48,"Average",484
"Drama","PG13",35604.77,5763.74,"Average",485
"Drama","R",399.84,19196.47,"Great",486
"Action","R",25985.66,48167.11,"Average",487
"Drama","R",34503.08,15237.52,"Great",488
"Documentary","R",38168.62,42011.41,"Average",489
"Drama","PG",25899.18,8603.54,"Average",490
"Comedy","PG",3045.61,38011.74,"Great",491
"Comedy","PG",12663.33,930.87,"Average",492
"Drama","PG",23227.91,30623.87,"Average",493
"Drama","R",21247.93,17072.59,"Great",494
"Action","PG",21831.52,1784.43,"Average",495
"Comedy","R",8495.53,48730.71,"Great",496
"Action","PG13",38722.45,44890.28,"Average",497
"Action","PG",24860.96,34061.79,"Average",498
"Comedy","PG",10437.07,15016.69,"Average",499
"Drama","PG13",25337.95,32387.66,"Average",500
"Drama","PG13",21415.67,22086.29,"Average",501
"Documentary","R",12551.38,43160.95,"Great",502
"Comedy","PG13",20096.38,7638.96,"Average",503
"Drama","PG13",9993.82,12747.29,"Average",504
"Action","PG",19044.88,4249.54,"Average",505
"Documentary","PG",25313.34,13378.26,"Average",506
"Comedy","R",14948.14,36030.34,"Great",507
"Documentary","PG",18339.95,48420.42,"Great",508
"Action","PG13",22809.28,16347.79,"Average",509
"Action","R",10416.19,22130.1,"Great",510
"Drama","PG13",9260.49,45403.84,"Great",511
"Drama","PG13",458.92,12946.18,"Great",512
"Documentary","R",34777.11,24814.2,"Average",513
"Drama","PG13",9620.11,29784.71,"Great",514
"Documentary","PG13",8602.25,3226.4,"Average",515
"Action","R",8035.14,5159.37,"Average",516
"Documentary","R",3694.11,16285.35,"Great",517
"Comedy","PG13",35235.56,10920.99,"Average",518
"Drama","PG",13989.22,28505.06,"Great",519
"Action","R",17541.96,43178.7,"Great",520
"Documentary","PG",38415.18,42097.83,"Average",521
"Comedy","PG",9698.58,21686.15,"Great",522
"Drama","PG13",8888.22,13265.93,"Average",523
"Drama","R",28774.19,22316.21,"Great",524
"Action","R",7901.73,39724.52,"Great",525
"Comedy","R",8135.17,27220.59,"Great",526
"Documentary","PG13",13059.54,45715.93,"Great",527
"Comedy","PG13",15867.75,34050.55,"Great",528
"Documentary","R",3386.15,1855.24,"Average",529
"Documentary","PG",29485.4,4420.69,"Average",530
"Action","PG13",4228.06,43952.84,"Great",531
"Action","PG",5523.87,29932.7,"Great",532
"Action","PG13",34761.4,32976.15,"Average",533
"Action","R",23630.02,12689.31,"Average",534
"Action","R",16279.68,45537.46,"Great",535
"Comedy","R",32703.62,30655.99,"Average",536
"Drama","PG13",34372.89,12718.37,"Average",537
"Action","PG13",36623.27,3254.94,"Average",538
"Action","R",5121.59,6018.55,"Average",539
"Documentary","PG13",6037.12,44338.14,"Great",540
"Documentary","PG",38106.72,10107.86,"Average",541
"Action","PG",32847.86,1871.02,"Average",542
"Drama","PG",12927.86,17569.92,"Average",543
"Action","R",25010.58,6983.19,"Average",544
"Documentary","PG13",19027.4,26806.24,"Great",545
"Comedy","PG13",5536.54,26644.8,"Great",546
"Comedy","R",28214.42,15808.04,"Great",547
"Documentary","R",4608.09,22148.88,"Great",548
"Documentary","R",39958.64,447.34,"Average",549
"Action","R",11264.61,27649.63,"Great",550
"Comedy","PG13",34970.92,3593.02,"Average",551
"Documentary","PG13",12897.87,28177.73,"Average",552
"Drama","PG13",29095.46,18304.37,"Great",553
"Drama","PG13",1669.77,32309.85,"Great",554
"Documentary","R",5952.28,26586.25,"Great",555
"Action","PG",17401.86,15317.74,"Average",556
"Action","R",13336.35,20909.47,"Average",557
"Comedy","R",2192.94,35561.05,"Great",558
"Drama","PG13",10619.64,13168.97,"Average",559
"Action","R",6183.13,1848.89,"Average",560
"Comedy","PG",8279.14,43537.02,"Great",561
"Documentary","R",22936.84,13181.36,"Average",562
"Documentary","PG13",20391.32,35217.77,"Average",563
"Documentary","PG",22461.88,32971.24,"Average",564
"Comedy","PG13",3577.15,17467.94,"Great",565
"Comedy","PG13",23307.29,46419.44,"Average",566
"Drama","PG13",12626.12,35874.95,"Great",567
"Drama","R",21537.74,9303.26,"Great",568
"Comedy","PG13",18268.84,14922.91,"Average",569
"Action","R",37847.74,36105.41,"Average",570
"Drama","R",3572.15,32483.62,"Great",571
"Drama","R",2658.61,10245.75,"Great",572
"Comedy","R",25788.79,49048.29,"Average",573
"Drama","PG13",5374.72,44060.74,"Great",574
"Drama","PG13",7357.2,16441.33,"Great",575
"Comedy","PG13",18784.36,3889.58,"Average",576
