GrromMB,BrideMB,GroomInc,BrideInc,Outcome
ESFJ,INFP,47448.56,82190.1,Success
INFP,ESTP,95482.13,64595.76,Failure
ENFJ,ENFP,50603.19,60196.38,Success
ISTP,ISTP,68825.67,78200.7,Success
ISTP,ISFP,64801.93,88883.08,Success
ESTJ,ISFJ,70011.54,46723.28,Success
INTJ,ISTP,64638.88,47513.37,Success
INTP,ESFJ,42277.09,74138.01,Failure
INFJ,ESTJ,73094.26,39782.31,Failure
ESFJ,ESFJ,79542.14,41112.03,Failure
ISFJ,ISFP,39617.19,85925.64,Success
ENFP,ENFP,55490.65,84920.01,Success
ESFJ,ENTJ,58397.41,52049.38,Success
ESFJ,ENTJ,78138.08,35492.48,Success
ISTP,ENTJ,99871.27,54700.64,Success
ESTJ,ISFP,67148.52,45298.5,Success
INFP,ENFJ,57316.64,60482.54,Failure
ESTP,ESFP,89451.71,54170.46,Success
ISFJ,ESTP,45633.22,78129.07,Success
ISTP,INTJ,61644.62,58460.27,Success
ENFP,INFJ,83966.32,71129.41,Success
INFJ,ESFJ,85837.78,97957.18,Success
ESTJ,ESTP,69967.26,85079.69,Success
ENTP,ISTJ,54749.9,63839.1,Success
INTJ,INFJ,61750,66575.08,Success
ESFJ,ISTJ,71979.27,64791.6,Failure
ENFJ,INFP,36829.73,75807.91,Success
ISTJ,ESFJ,91167.71,46654.67,Success
ESTJ,ENFJ,34452.74,43346.21,Failure
ENFP,ESFP,57513.6,32358.94,Failure
ESTJ,INFP,82864.11,46636.29,Failure
ESFP,ESTJ,73102.24,79118.59,Failure
ENFJ,ENTJ,46452.67,63032.91,Failure
ESFJ,ENFP,47930.88,87266.72,Success
ESTJ,ENFP,91792.08,46397.61,Failure
INTP,ENFP,47084.99,79316.6,Failure
ENFJ,ISFP,86886.35,38653.89,Success
INFJ,ISTJ,66651.5,40208.19,Failure
ESFP,ISTP,97703.85,98199.79,Success
ESFJ,INTP,68258.25,30941.18,Success
INFP,INFP,83728.83,94976.55,Success
INTJ,INFP,31393.88,35087.29,Failure
ISFP,ISFP,43106.23,88204.49,Failure
ENFJ,ISTJ,31378.07,53662.73,Success
ESFJ,ENFJ,50139.8,67899.55,Failure
INTJ,ESFJ,85962.15,94555.69,Failure
INFJ,ESTJ,88415.24,43429.28,Failure
ESFJ,ENTP,69244.75,33125.93,Failure
INTP,ISTJ,51324.65,92556.25,Failure
ESFJ,INFP,86672.45,96264.5,Failure
ENFP,ISTJ,86438.52,66509.98,Failure
ENTJ,ESTP,79128.93,38166.8,Failure
ISFJ,ISTJ,34432.55,46458.3,Failure
ISFP,ISTP,66026.97,56077.02,Success
INTJ,INTP,68029.45,41549.22,Failure
ISTJ,ENFJ,68194.52,94066.48,Success
ENTJ,INFJ,77425.28,85562.35,Success
ENFJ,ESFP,32261.47,47324.62,Success
ENFJ,ESFP,37292.18,55174.17,Failure
ISFP,INFP,81565.53,67360.44,Failure
ENTJ,ISFJ,56454.18,44215.88,Success
ESFJ,ISTP,49751.14,66885.87,Failure
INFJ,INFP,38471.11,49917.48,Failure
ISTJ,ESTP,58723.25,78087.35,Failure
ENTP,ESTP,54356.9,94414.29,Failure
ESFP,ENFJ,99114.06,53505.77,Success
ESFP,ISFJ,51432.21,81283.09,Failure
ESFJ,ESTP,90082.01,62156.38,Failure
ISTP,INTP,71927.14,68927,Failure
ISFJ,ISFP,35812.3,65260.36,Success
ENTJ,ENTP,70126.45,44129.78,Failure
ISTP,ESTP,37559.97,56176.45,Success
ISTJ,ENTP,51843.17,52531.52,Success
ENTP,ISFJ,77404.91,63401.26,Success
ISTP,ESFP,39478.89,71279.69,Failure
INTJ,ISTP,32334.51,61942.28,Success
ESFJ,ENFJ,30085.92,58234.82,Success
ISFJ,ISFJ,93492.47,34616.09,Failure
ENFP,ISFP,68131.06,90361.54,Failure
ISTJ,INTJ,64071.8,51105.18,Success
ESTJ,ISFJ,71222.43,32630.3,Success
ISFP,ISFJ,76060.22,50153.24,Failure
ENFJ,ISFJ,53331.19,52067.99,Success
INTJ,ENFP,35335.97,65946.63,Success
ENTP,ENTP,74688.49,85720.24,Success
ESFJ,ISFJ,39292.84,45503.82,Success
ISFJ,ISFP,77473.29,75559.16,Success
ESTJ,ENFJ,54455.07,41183.55,Success
ENFJ,ESFP,56785.33,68280.37,Success
INTJ,ENTP,94831.79,30432.6,Failure
ESTJ,INFP,47344.18,96474.61,Success
ESTP,ESFJ,71775.05,91917.87,Failure
ESFJ,ISTJ,31745.46,67339.7,Failure
ENFP,ENTP,71531.7,80839.86,Failure
ISFP,ESTP,62750.89,63191.97,Success
ESTJ,ESFP,73801.15,98340.98,Success
INTP,ENFJ,35218.42,49489.29,Failure
INTP,ENFJ,83215.76,99155.93,Success
ESTP,ESFP,52818.91,67297.26,Failure
ISTJ,ISTJ,69751.52,68382.27,Success
ESTJ,ISTJ,95849.66,39938.84,Success
ISTP,ISFJ,70899.78,34613.7,Failure
INFJ,ESTJ,70079.31,92476.1,Failure
ISFP,ISTP,49031.77,56323.63,Success
INFJ,INFP,54259.56,79511.21,Success
ESTP,ENTP,92247.93,56551.95,Failure
ISFJ,ISTP,55016.94,77754.04,Failure
INTP,INFP,80665.63,58819.37,Failure
INTJ,INFJ,38877.26,52377.86,Success
ENTJ,ENFP,52090.85,93061.18,Failure
ISFP,ISTP,53554.36,43665.78,Failure
ISFJ,INFP,42633.24,81573.93,Failure
INFP,ISTJ,75635.32,64497.84,Failure
ESTP,ENTP,78652.91,99029.89,Failure
ESFJ,INTP,84568.27,99752.62,Failure
ISTJ,ESFJ,47546.03,34183.84,Failure
ENTJ,INFJ,71687.33,82202.62,Success
INTP,ESTJ,87546.82,72215.98,Failure
ISFJ,ESFP,71996.94,88553.45,Success
ISTJ,ENTJ,50430.08,72191,Success
ESFP,ENFP,45418.14,51556.49,Failure
INFJ,INFP,67796.85,42566.02,Success
ESFJ,ENFP,87974.18,41949.09,Failure
ISFP,ENFJ,66779.53,89565.98,Failure
ENFP,ESFP,95186.43,58348.75,Failure
ISFJ,INTJ,79255.72,40776.27,Failure
INFJ,ENTP,77482.45,34129.65,Success
ESFP,INTJ,34851.15,62356.81,Failure
INFP,ENTJ,81207.36,30698.86,Success
ISTJ,ISFP,65989.31,30136.76,Success
ISTP,ISTP,71123.68,70892.49,Success
ESFP,ESTP,80434.74,97809.52,Failure
INTJ,INFP,83415.02,72962.87,Success
ESFJ,ISFP,34640.46,44786.69,Success
ISFJ,ESFP,87746,71326.9,Failure
ENFJ,ENTJ,98628.16,67534.88,Success
ISFJ,ESTJ,43359.73,60154.74,Success
ESTJ,ESFP,42248.31,32777.45,Failure
ISTJ,ENFP,35741.41,82872.47,Success
ENTP,INFJ,64031.64,41755.13,Failure
INTJ,ESTP,80497.39,86130.07,Success
ISFP,INFP,87535.1,35043.25,Failure
INTJ,INFP,44787.94,89654.45,Success
ENFJ,INFJ,42360.54,70149.35,Failure
ESFP,ESFP,81909.41,81732.1,Failure
INFP,ESTJ,31126.8,56879.4,Failure
ESFP,ESFJ,66283.54,31375.89,Failure
ESTJ,ENFJ,82900.3,90775.67,Failure
ENFP,INTJ,47013.43,55281.85,Failure
ESFP,INTP,44496.69,87656.42,Success
ENFP,ESTJ,95774.8,54430.37,Success
ISTJ,INTJ,92878.96,30034.65,Success
ENFJ,INFP,71813.83,72466.43,Failure
ISFP,ENFJ,43773.29,44368.06,Failure
INFP,ISTJ,67582.52,92899.66,Failure
ESFJ,ENTP,51128.5,69625.76,Success
ENFJ,INFP,50818.31,60156.33,Failure
ISFP,ENTP,62868.12,94255.65,Failure
ESFP,INTJ,83434.44,54743.7,Failure
ESFJ,INFP,32560.54,70615.37,Failure
ESTJ,INFJ,55626.31,62246.42,Failure
ENFJ,ISFJ,84855.72,42446.22,Success
INFJ,ISFJ,92743.71,33011.47,Failure
ESTJ,ISFJ,98839.07,49845.19,Failure
ISFP,ESTJ,61334.96,99633.14,Failure
ESFJ,ISFP,86491.37,58333.71,Success
ESTP,ISTP,66282.89,72990.04,Failure
INFJ,ISTJ,64740.84,83090.25,Success
ISFJ,ENTP,64487.5,74905.21,Failure
ISTJ,ESFJ,88432.47,88435.35,Failure
ISFJ,INFP,59536.62,41160.49,Success
INFJ,INFJ,75965.44,42428.22,Failure
ISFP,INFP,97004.64,41459.74,Failure
INFJ,ISFP,36831.77,47137.99,Success
ESTP,ESTJ,97738.58,78148.93,Success
ENFJ,ISFJ,79031.77,56778.01,Success
INTJ,ISTP,57061.79,74610.65,Success
ESFP,ESFJ,71153.8,76196.51,Success
ENFP,INTP,62185.56,60166.67,Failure
ENTP,ESFP,61239.74,32553.48,Failure
ESFJ,INTJ,96735.14,35807.86,Failure
INFJ,ISTJ,49863.1,94305.97,Failure
INTJ,ENTJ,44527.4,31235.21,Success
ENFP,ENFJ,83817.61,38942.81,Failure
ENFJ,INFJ,96483.71,54795.49,Failure
INTJ,ENTP,88697.5,90778.3,Failure
ENTP,ENTP,67551.37,37815.24,Failure
INTP,ENFJ,33616.63,89713.67,Failure
ENFP,ESTJ,72341.54,79971.08,Failure
ENFJ,ESTJ,98254.24,42278.13,Success
ESFJ,ISFP,84027.4,60933.61,Success
ENTP,ISTJ,33014.85,34355.24,Failure
INFP,INTP,78592.22,78125.86,Success
ISFP,ISFJ,91744.55,87429.64,Success
ENTP,ESTJ,71082.62,55791.81,Failure
ESTJ,ENFJ,36569.4,91355.14,Failure
ISTP,ISFJ,73479.07,90282.65,Success
ESTP,ENTJ,80585.92,57736.11,Failure
INTP,INTJ,92745.75,87630.05,Success
ESTP,ENFJ,31363.83,51152.51,Success
ISTP,ISTP,92831.48,86760.17,Failure
ESFP,INFP,75765.19,89260.11,Success
INFJ,ENFP,53236.52,68064.78,Success
INFP,ISTP,51313.66,51714,Success
ISTJ,ISFP,76351.16,85774.02,Failure
INTP,INFP,79177.35,96737.74,Success
ISTJ,ISFP,48212.13,62698.67,Success
INFP,ISTJ,42506.09,70185.02,Success
ESTJ,ENTJ,67201.66,45231.16,Failure
ESFJ,ESFJ,63398.55,82379.82,Success
ISFP,INTP,32200.64,38933.77,Success
ENTJ,ENFJ,88556.59,86217.06,Failure
ESTP,INFP,97207.26,65495.62,Success
ENFJ,ESTP,63015.9,56352.35,Success
ENTJ,ESTJ,86387.6,32416.19,Success
INTP,ENTJ,69946.23,89942.98,Success
INTP,ENTJ,63524.76,98465.37,Success
ENFP,ESFJ,61760.42,46592.11,Success
ISTJ,ENFJ,61055.82,56726.35,Failure
ISTP,INTP,49318.75,96323.68,Failure
INTP,ESFJ,96843.95,30377.27,Failure
ENFJ,ENFP,36049.15,40491.45,Success
ENTJ,INFP,87664.66,53663.04,Success
ENFP,INTJ,54335.09,45008.3,Success
ESTP,ISFP,44257.17,84130.43,Failure
ENFP,ISFP,44277.93,65063.45,Success
ENTJ,ESFP,85868.72,39409.78,Failure
ISTP,ISTP,83790.5,87957.13,Failure
ENTJ,ISTJ,99971.47,72018.8,Failure
ENFP,ENFP,34682,81487.22,Success
INTP,ESTP,83267.21,81732.49,Success
ESTP,ESFP,96344.99,72877.56,Failure
ISTJ,ESFP,56409.87,46181.04,Failure
ESFJ,INFJ,71352.61,31362.18,Success
ESTJ,ENFP,92231.17,68265.83,Failure
ENTJ,ISFP,97254.14,32898.53,Success
ESFJ,ISTJ,72498.84,35868.51,Success
ISFJ,ISFP,33412.3,36661.37,Failure
ISFP,ESFP,53751.07,88772.18,Failure
INTP,ISTJ,33625.15,53008.09,Failure
ESTP,ENFJ,58992.24,31860.78,Success
INTJ,INFP,67260.15,94659.79,Failure
ISTP,ESFJ,83166.82,47014.4,Success
INFJ,ESTJ,83252.84,61273.15,Failure
ENTP,ISFJ,56275.9,46435.33,Failure
ESFJ,INFP,41520.44,80333.23,Failure
INTJ,ESTP,98358.06,66226.85,Failure
ISFJ,ISFP,88501.36,74932.81,Failure
ENTJ,ENTP,83024.54,94667.38,Failure
ISFJ,INTP,51581.36,33101.28,Failure
ENTJ,INFJ,85944.6,63717.83,Success
ISTJ,ENFJ,61550.61,68161.2,Success
ESTJ,INTP,45613.21,58469.6,Success
INTJ,ENTP,44021.76,81461.25,Success
INFP,ISTJ,45449.32,43222.97,Success
ISTP,ESFP,87536.96,33909.34,Success
ISTJ,ISTP,42011.48,30641.46,Failure
ISFJ,ESFP,88857.55,86570.95,Failure
ISTJ,INFJ,83634.18,82100.9,Success
ENTJ,ISFJ,92517.57,32937.44,Failure
INFJ,ENFJ,99744.66,51286.69,Failure
ISTP,INFP,36704.65,66841.28,Success
ISTJ,ISTP,45966.36,54970.9,Failure
INTP,ESTP,39064.07,84877.44,Failure
ISFJ,ENFJ,69785.61,42799.9,Success
INFP,ISFJ,74299.32,67754.76,Failure
ESFJ,ESTP,54315.45,93499.27,Success
INFJ,ENFP,46663.57,84966.54,Success
ENFP,INFP,53350,45392.86,Success
ISTJ,ISFP,39985.85,40699.52,Success
INTJ,INFP,43291.65,41724.06,Failure
ISTP,ESFJ,98337.86,49208.6,Success
ISTP,INTP,66198.22,90834.91,Failure
ENTJ,ENFP,81338.57,96226.68,Success
ENTJ,ENFP,53426.59,86027.91,Success
ENFJ,ESTJ,36055.47,59980.34,Success
ENFP,ENTJ,65620.31,36644.79,Success
ESTP,ISFP,31288.95,50058.51,Success
ESFJ,ESTP,69818.51,41113.41,Success
ESTJ,ISTP,88408.36,38138.85,Success
ESFP,INTJ,71215.39,43490.03,Success
ENFP,ENFP,41960.94,68060.35,Success
ENFJ,ISTP,60172.6,76821.11,Success
ISTJ,ENFP,72237.59,97002.86,Failure
ISFJ,ISTP,58693.58,39291.57,Failure
ISFP,ENTP,85022.61,78589.23,Success
ISTJ,INTP,54963.83,49104.29,Success
ISFJ,ESFJ,94915.39,87735.48,Failure
ESFP,ENFJ,38571.75,62165.59,Failure
ESFP,ENTJ,52627.97,99135.51,Success
ISFP,INFP,93513.59,59021.47,Success
INFP,ENTJ,96241.28,94957.99,Failure
INTJ,ENTP,75536.75,37378.86,Failure
ISTP,ISFP,86946.86,89559.12,Failure
INFP,INFJ,93667.32,50865.48,Success
INFJ,ESTJ,55590.84,70369.9,Failure
ESTJ,INFJ,48903.43,51161.83,Success
ESTJ,ESFJ,38333.45,58630.35,Failure
INFJ,ISFP,81704.83,58562.43,Failure
ESFP,ISTJ,86281.97,67965.35,Success
ISTP,INTP,95943.25,54456.65,Failure
ISTJ,INFJ,30012.49,34538.44,Success
INFJ,ISFJ,75166.37,46651.59,Success
ISTJ,ENFP,80945.83,67020.28,Success
INTP,ESTP,82316.8,45293.35,Success
ENTP,INFJ,84377.19,64633.19,Failure
INFP,ENTP,40040.77,64704.86,Success
ENFJ,ENTJ,91315.39,86020.23,Failure
ENFJ,ISFP,31970.29,43483.71,Success
ISFP,ISFP,86608.13,35542.23,Success
ESTJ,ENTP,87625.34,87880.45,Failure
ISFJ,ENTJ,64513.31,84378.99,Failure
ISTJ,ISTP,85469.67,65419.85,Success
ENFP,ISFJ,98821.28,47573.4,Failure
ESTP,INFP,43428.62,75556.22,Failure
ENFP,ISFP,66480.19,89852.08,Success
INTJ,ISTJ,83623.45,54815.12,Success
ENTP,INFJ,95582.87,83938.44,Success
ENTP,ISTJ,51810.63,49592.55,Success
ENTP,ESFP,53168.98,37377.86,Failure
ESFJ,ENFP,77166.97,41866.25,Failure
ENFJ,ISTP,77279.76,38702.95,Failure
INTP,INFP,96915.89,51717.34,Failure
ISFJ,ESFP,68691.7,50505.63,Failure
ESTJ,ENTP,35233.18,86062.91,Failure
INTP,ENFJ,31137.31,67287.3,Success
ISTJ,INTJ,66985.12,57566.88,Failure
ISTJ,INFJ,55927.71,39624.57,Success
INTJ,ESTP,36105.92,49417.47,Failure
ENTP,INFP,54837.83,31292.62,Success
INTP,ISFP,83819.49,51875.81,Failure
ISTP,ISFJ,69348.42,39915.69,Success
ESFJ,ISTJ,31565.76,54108.67,Success
ENFJ,ENFP,87081.24,45729.82,Success
INFJ,ISFP,46530.25,73549.97,Failure
ESFP,ESTJ,61267.73,57825.67,Success
ISFJ,ESFJ,80880.98,97897.72,Failure
ESTJ,ISTP,75534.78,32568.65,Success
ESTJ,ISFJ,79365.97,81176.75,Failure
INTJ,ESTJ,35817.47,96824.8,Success
ISFP,ISTP,74202.81,45044.75,Success
INFP,ISTP,87374.79,69377.26,Failure
ESFJ,ESFP,99910.72,87092.02,Success
ISFP,INTJ,42934.49,99344.94,Failure
ENFJ,ISTJ,67059.57,54581.98,Failure
ENFJ,ESTJ,68208.17,87153.88,Success
INTJ,ISTP,64310.73,39182.17,Failure
INTP,ISTJ,59949.28,65276.76,Failure
ISTJ,ENFJ,34219.12,47861.03,Success
ISTP,INFP,95240.76,84070.25,Success
ISFJ,ISFJ,44983.39,70565.41,Success
ESFJ,ENTP,78843.51,57766.51,Success
ENTP,ENFJ,31977.25,30252.11,Failure
ENFJ,ISTJ,74177.2,42205.11,Success
ISTP,ESFP,85937.82,99090.79,Success
ENTP,INFJ,43732.45,68141.34,Success
INFP,ESFP,71845.82,94579.09,Success
ESTP,ESTP,61003.06,75632.52,Success
ESFJ,ISFJ,94561.09,99786.09,Failure
ESFP,ENFJ,85768.4,68536.18,Success
ISTP,ENFP,30305.65,75160.52,Failure
INFJ,ESTP,62500.15,69773.77,Success
ENFP,INTP,89149.55,97562.3,Failure
ESFP,ESFJ,81577.24,55585.75,Failure
ISFP,ISFP,61684.27,46280.99,Failure
ESTJ,ESTP,91412.79,34313.03,Success
ESFJ,ISTP,81327.99,92319.05,Success
ESFP,INFJ,82354.72,71487.89,Success
ENTJ,ESFJ,38489.38,51360.84,Success
ESFJ,INFJ,69620.78,32734.01,Success
INFP,INFP,86163,52259.33,Failure
ENFJ,ISFP,56116.12,43898.23,Failure
ISTP,INFJ,72721.5,82341.65,Success
ESTJ,INTJ,72849.95,84178.69,Success
ESTJ,INTJ,48045.95,99583.09,Success
ESFJ,ENTP,92293.86,31859.15,Success
ESFJ,ENTJ,56623.35,96542.45,Failure
ISTP,ESFP,70159.61,67601.46,Success
ENTJ,ESTP,96142.38,62770.62,Failure
ENTJ,INFP,56046.14,89982.37,Success
ENTJ,INFJ,48917.72,43714.97,Failure
