"DJ","Music","Day","Attendance","Rating"
"Mski","HipHop","Saturday",158,2.3
"Mski","Techno","Friday",166,3.5
"Ania","Techno","Thursday",68,3.3
"Blue","Techno","Saturday",100,2.5
"Blue","Techno","Friday",100,2.5
"Monique","Jazz","Saturday",146,4.2
"Monique","Techno","Thursday",51,4.8
"Ania","HipHop","Saturday",38,4.9
"Mski","HipHop","Saturday",59,2.5
"Monique","Jazz","Friday",128,2.7
"Monique","Techno","Thursday",56,2.3
"Ania","Techno","Thursday",165,1.4
"Ania","Techno","Thursday",39,2.8
"Blue","Jazz","Friday",63,1.6
"Brejcha","Rock","Thursday",35,2.7
"Mski","HipHop","Thursday",91,3.1
"Blue","Rock","Thursday",24,4
"Mski","Jazz","Friday",122,3.2
"Brejcha","Rock","Thursday",53,3.8
"Monique","Rock","Thursday",45,1.9
"Blue","Rock","Saturday",132,1.2
"Blue","Jazz","Friday",110,4.8
"Blue","Jazz","Friday",71,2
"Monique","HipHop","Friday",84,2.9
"Ania","Jazz","Friday",117,2.3
"Blue","Techno","Thursday",128,3.2
"Mski","HipHop","Saturday",184,4.3
"Mski","Rock","Saturday",45,2.2
"Blue","Rock","Thursday",97,3
"Mski","Jazz","Saturday",119,2.8
"Blue","Rock","Friday",139,3.8
"Monique","Jazz","Thursday",94,1.7
"Mski","HipHop","Thursday",44,2.9
"Ania","HipHop","Thursday",116,4.2
"Monique","Jazz","Friday",188,2.3
"Brejcha","Rock","Friday",81,4.1
"Monique","HipHop","Friday",160,4
"Mski","HipHop","Saturday",26,2.5
"Blue","Techno","Thursday",200,5
"Brejcha","Rock","Friday",51,1.5
"Mski","HipHop","Friday",140,3
"Monique","Rock","Saturday",101,2.6
"Blue","Techno","Friday",40,1
"Monique","Rock","Friday",111,2.3
"Blue","Rock","Thursday",85,1.7
"Brejcha","Rock","Saturday",135,3.9
"Ania","Jazz","Saturday",107,2.6
"Blue","Jazz","Friday",100,4
"Blue","Rock","Thursday",148,1.2
"Mski","HipHop","Thursday",29,3.3
"Brejcha","Jazz","Friday",174,3.5
"Mski","Jazz","Friday",192,2.4
"Blue","Jazz","Friday",72,2.1
"Monique","Jazz","Thursday",23,3.9
"Monique","Jazz","Friday",74,4
"Blue","Jazz","Friday",82,2.7
"Blue","Jazz","Thursday",104,4.3
"Monique","Techno","Friday",170,4.5
"Monique","Rock","Thursday",31,1.1
"Mski","Techno","Thursday",199,1.3
"Mski","HipHop","Friday",29,3.9
"Monique","Techno","Thursday",79,1.9
"Blue","Techno","Thursday",172,4.3
"Blue","HipHop","Saturday",95,1.9
"Monique","Jazz","Friday",111,2
"Monique","Jazz","Friday",181,1.3
"Brejcha","Rock","Thursday",154,1.7
"Monique","HipHop","Friday",73,2.7
"Monique","Techno","Saturday",103,1.1
"Brejcha","Rock","Thursday",181,2.8
"Mski","Jazz","Thursday",80,4.3
"Monique","HipHop","Saturday",40,2
"Blue","Techno","Thursday",196,4.9
"Blue","Techno","Saturday",148,3.7
"Mski","Rock","Friday",36,2.8
"Blue","Rock","Saturday",40,4.9
"Mski","HipHop","Friday",169,4.5
"Monique","Rock","Saturday",113,3.6
"Blue","Rock","Saturday",171,4.6
"Ania","Rock","Friday",181,3.5
"Mski","Jazz","Thursday",21,3.2
"Mski","Rock","Thursday",20,4.9
"Monique","Rock","Thursday",21,3.1
"Brejcha","Rock","Saturday",138,3
"Blue","HipHop","Saturday",46,4.9
"Monique","HipHop","Friday",122,3.5
"Mski","Techno","Saturday",31,2.3
"Monique","Techno","Saturday",110,3.6
"Mski","HipHop","Saturday",190,1.5
"Mski","HipHop","Saturday",139,1.1
"Brejcha","Rock","Friday",108,4.6
"Ania","Techno","Saturday",90,4.5
"Brejcha","Rock","Saturday",58,2.1
"Ania","Rock","Thursday",168,4
"Ania","Rock","Thursday",181,1.3
"Ania","Jazz","Friday",79,3.9
"Monique","Jazz","Thursday",64,2.5
"Ania","Jazz","Friday",165,1.1
"Mski","Techno","Saturday",145,1.8
"Ania","Techno","Friday",161,3.4
"Blue","HipHop","Saturday",185,1.6
"Monique","Techno","Thursday",170,1.4
"Blue","Jazz","Saturday",112,5
"Brejcha","Rock","Saturday",187,3.7
"Mski","Jazz","Saturday",56,3
"Mski","Rock","Thursday",56,1.8
"Brejcha","Rock","Saturday",54,3.8
"Blue","Rock","Friday",30,2.4
"Brejcha","HipHop","Thursday",194,1.1
"Monique","Rock","Friday",193,1.3
"Monique","HipHop","Friday",102,3.2
"Ania","Rock","Friday",37,2.3
"Monique","Rock","Thursday",112,1.1
"Monique","Jazz","Friday",170,1.3
"Ania","HipHop","Friday",169,3.7
"Blue","Techno","Thursday",72,1.8
"Ania","Techno","Friday",110,4.1
"Brejcha","Jazz","Thursday",126,2.4
"Mski","Techno","Friday",70,2.3
"Monique","Techno","Thursday",181,2.5
"Blue","Rock","Thursday",27,2.2
"Brejcha","HipHop","Friday",80,3.8
"Ania","Jazz","Thursday",184,4.6
"Blue","Techno","Saturday",76,1.9
"Mski","Jazz","Saturday",47,1.6
"Ania","Rock","Thursday",57,3.9
"Ania","Techno","Saturday",159,3.5
"Blue","HipHop","Friday",85,3.4
"Mski","Techno","Saturday",36,3.8
"Blue","Jazz","Friday",82,2.7
"Mski","Jazz","Friday",120,4.1
"Mski","Techno","Thursday",109,4.6
"Mski","HipHop","Friday",42,2.8
"Monique","Jazz","Thursday",92,4.6
"Brejcha","Rock","Friday",128,3.3
"Brejcha","Jazz","Friday",43,2.4
"Monique","Techno","Saturday",155,1.7
"Brejcha","Jazz","Thursday",141,4.1
"Blue","Rock","Friday",45,4.3
"Mski","Rock","Saturday",43,2.3
"Blue","HipHop","Thursday",125,2.1
"Mski","Rock","Friday",26,3.8
"Ania","Rock","Thursday",47,1.6
"Mski","HipHop","Friday",100,2.8
"Ania","Techno","Saturday",193,2.4
"Blue","HipHop","Friday",109,3.1
"Brejcha","HipHop","Saturday",30,1.9
"Mski","Techno","Friday",73,2.1
"Ania","Techno","Thursday",79,4.4
"Monique","Techno","Friday",53,1.5
"Monique","Techno","Friday",121,2
"Ania","Techno","Thursday",123,3.7
"Mski","Techno","Thursday",183,5
"Monique","Rock","Saturday",62,2.2
"Brejcha","Rock","Saturday",198,2.7
"Mski","Jazz","Saturday",164,1.6
"Blue","Jazz","Friday",104,4.3
"Brejcha","Jazz","Thursday",153,1.8
"Blue","HipHop","Friday",138,2.1
"Brejcha","Jazz","Friday",189,3.2
"Monique","Techno","Saturday",150,3.4
"Brejcha","Jazz","Thursday",172,2.8
"Mski","Techno","Saturday",128,4.5
"Mski","Jazz","Friday",109,1.5
"Brejcha","HipHop","Friday",64,4.7
"Ania","Techno","Thursday",183,1.4
"Monique","HipHop","Friday",68,2.6
"Mski","Jazz","Friday",200,4.2
"Ania","Rock","Thursday",146,1.2
"Ania","Rock","Friday",170,4.2
"Ania","HipHop","Friday",88,2.5
"Blue","Rock","Friday",186,2.6
"Blue","Rock","Friday",123,2.6
"Ania","Techno","Thursday",21,1.1
"Brejcha","HipHop","Saturday",168,3
"Brejcha","Rock","Friday",117,1.8
"Monique","Jazz","Thursday",159,4.4
"Mski","Jazz","Thursday",177,3.3
"Mski","Rock","Friday",62,1.6
"Brejcha","Techno","Thursday",199,4.4
"Mski","HipHop","Thursday",32,1.2
"Blue","Techno","Saturday",172,4.3
"Brejcha","Jazz","Thursday",63,4.1
"Ania","Jazz","Thursday",115,3.8
"Blue","HipHop","Thursday",198,3
"Monique","HipHop","Saturday",20,1.3
"Ania","Rock","Thursday",181,3.6
"Brejcha","HipHop","Saturday",84,4
"Mski","HipHop","Thursday",122,1.4
"Monique","Jazz","Saturday",98,4.6
"Monique","HipHop","Saturday",40,2
"Mski","Techno","Thursday",88,3
"Mski","HipHop","Thursday",61,2.7
"Mski","Rock","Thursday",91,1.1
"Blue","Jazz","Saturday",111,4.9
"Ania","Rock","Saturday",76,2.1
"Brejcha","Jazz","Saturday",138,4.8
"Ania","Techno","Friday",196,3.2
"Ania","Jazz","Saturday",23,3.1
"Ania","HipHop","Friday",175,1.6
"Brejcha","Jazz","Saturday",170,4.4
"Brejcha","Techno","Friday",147,4.9
"Ania","Techno","Thursday",47,2.1
"Brejcha","Jazz","Saturday",61,2.6
"Mski","Techno","Friday",132,2.4
"Ania","Techno","Friday",154,1.5
"Brejcha","Rock","Friday",99,2.9
"Mski","Rock","Friday",59,1.7
"Blue","Rock","Thursday",192,1.3
"Ania","Jazz","Saturday",94,1.1
"Brejcha","Techno","Friday",112,3
"Blue","Techno","Thursday",140,3.5
"Blue","HipHop","Saturday",148,3.4
"Brejcha","Techno","Friday",69,3.3
"Brejcha","Techno","Thursday",98,1.5
"Monique","Jazz","Thursday",177,3.7
"Blue","Techno","Thursday",52,1.3
"Brejcha","Jazz","Friday",90,2.5
"Monique","HipHop","Saturday",200,5
"Ania","Techno","Saturday",155,1.2
"Mski","HipHop","Saturday",118,2.3
"Monique","Techno","Saturday",130,1.2
"Brejcha","Jazz","Friday",123,3.7
"Brejcha","Rock","Thursday",77,1.6
"Blue","Jazz","Friday",74,2.2
"Ania","Jazz","Friday",194,1.3
"Ania","HipHop","Thursday",90,4.8
"Ania","Techno","Saturday",171,5
"Monique","HipHop","Friday",58,2.4
"Mski","HipHop","Friday",60,3.7
"Monique","HipHop","Friday",137,3.7
"Mski","Techno","Saturday",162,4.7
"Blue","Techno","Saturday",164,4.1
"Brejcha","Rock","Friday",20,1.6
"Mski","Techno","Thursday",54,2.2
"Mski","Techno","Friday",169,2.4
"Ania","HipHop","Friday",33,2.1
"Monique","Jazz","Thursday",129,1.7
"Blue","Techno","Saturday",176,4.4
"Ania","Techno","Thursday",101,3.4
"Ania","HipHop","Friday",73,4.6
"Mski","Jazz","Saturday",172,4.6
"Monique","Techno","Saturday",174,3.3
"Blue","Rock","Thursday",188,3.9
"Brejcha","Jazz","Saturday",85,1.4
"Brejcha","Rock","Friday",62,2.8
"Blue","Techno","Saturday",168,4.2
"Ania","Jazz","Saturday",60,1.3
"Brejcha","Rock","Thursday",50,1.9
"Brejcha","Rock","Saturday",189,2.5
"Blue","Techno","Thursday",108,2.7
"Monique","Techno","Thursday",127,3.8
"Ania","HipHop","Thursday",185,4.7
"Brejcha","Rock","Saturday",150,2.1
"Mski","Jazz","Friday",175,1.2
"Ania","Jazz","Friday",76,2.8
"Mski","Techno","Friday",156,4.1
"Ania","Jazz","Saturday",134,3
"Ania","Techno","Friday",82,3.5
"Blue","Rock","Thursday",183,4
"Monique","Rock","Saturday",177,3.4
"Brejcha","HipHop","Friday",106,3.3
"Brejcha","Rock","Thursday",172,3.4
"Monique","Techno","Friday",47,2.3
"Ania","Jazz","Thursday",146,2.5
"Mski","Techno","Saturday",122,1.3
"Brejcha","Techno","Saturday",42,3.2
"Monique","HipHop","Saturday",200,4.6
"Mski","Jazz","Thursday",144,2.5
"Ania","Rock","Thursday",155,3.7
"Ania","Techno","Thursday",147,3.4
"Blue","Rock","Thursday",115,4.9
"Ania","Jazz","Saturday",126,2.1
"Mski","Rock","Thursday",29,3.5
"Ania","Jazz","Friday",61,3.5
"Ania","Jazz","Friday",156,1.6
"Blue","Jazz","Thursday",108,4.7
"Mski","Rock","Saturday",22,4.6
"Mski","Techno","Saturday",166,1.7
"Mski","Rock","Saturday",37,2.7
"Brejcha","Rock","Friday",91,2.3
"Blue","Techno","Saturday",80,2
"Monique","Rock","Friday",73,2.1
"Monique","Techno","Saturday",56,3
"Ania","HipHop","Saturday",28,4.5
"Ania","Jazz","Friday",116,1.4
"Monique","Rock","Friday",66,2.5
"Blue","HipHop","Saturday",94,3.6
"Brejcha","Rock","Saturday",68,4.4
"Mski","Rock","Friday",48,2.1
"Monique","Techno","Thursday",94,2.9
"Brejcha","HipHop","Friday",118,1.7
"Monique","Rock","Friday",180,2
"Blue","HipHop","Thursday",166,3
"Mski","Techno","Thursday",121,4.2
"Ania","Techno","Saturday",46,3.5
"Blue","Techno","Thursday",80,2
"Blue","HipHop","Friday",33,4.4
"Ania","Rock","Saturday",95,2.3
"Mski","Techno","Saturday",40,3.5
"Brejcha","HipHop","Saturday",40,2.3
"Monique","Techno","Saturday",171,2.5
"Ania","Jazz","Thursday",20,4.3
"Brejcha","Techno","Thursday",99,3.9
"Monique","HipHop","Friday",200,4.9
"Ania","Rock","Thursday",76,4.2
"Blue","Techno","Saturday",56,1.4
"Monique","Techno","Friday",195,3.9
"Mski","Rock","Friday",56,1.8
"Brejcha","HipHop","Friday",82,3.2
"Mski","Techno","Thursday",131,1.6
"Blue","Techno","Thursday",140,3.5
"Monique","Techno","Thursday",39,1.4
"Mski","Jazz","Saturday",183,2.3
"Monique","Techno","Friday",118,3.3
"Blue","Rock","Thursday",120,1.7
"Blue","Jazz","Thursday",89,3.2
"Mski","Rock","Saturday",31,3.2
"Brejcha","Jazz","Saturday",65,2.4
"Mski","Rock","Friday",53,1.9
"Blue","HipHop","Saturday",131,2.2
"Blue","Techno","Saturday",160,4
"Blue","Techno","Saturday",156,3.9
"Brejcha","Jazz","Thursday",147,3.6
"Blue","HipHop","Saturday",155,1.1
"Ania","HipHop","Thursday",143,3.9
"Mski","Jazz","Saturday",125,4.6
"Blue","Rock","Thursday",72,3.9
"Blue","HipHop","Friday",150,3.2
"Monique","Techno","Saturday",28,2.1
"Monique","HipHop","Thursday",176,4.2
"Brejcha","Jazz","Friday",176,3.5
"Brejcha","Rock","Saturday",57,2.9
"Brejcha","Jazz","Saturday",197,2.4
"Monique","Techno","Friday",76,3
"Brejcha","HipHop","Thursday",129,2.4
"Blue","Techno","Thursday",100,2.5
"Ania","Rock","Saturday",175,4.6
"Monique","HipHop","Saturday",48,2.2
"Brejcha","Techno","Saturday",140,4
"Mski","Techno","Thursday",136,4.4
"Blue","Jazz","Thursday",81,2.6
"Brejcha","HipHop","Saturday",104,3.1
"Blue","Rock","Saturday",81,2.7
"Ania","Techno","Thursday",85,1.4
"Blue","HipHop","Thursday",91,3.6
"Ania","Techno","Thursday",32,3.6
"Ania","Rock","Thursday",64,3.8
"Mski","Techno","Friday",54,1.7
"Ania","Techno","Friday",57,2.4
"Brejcha","Rock","Thursday",122,1.1
"Mski","Techno","Friday",26,1.9
"Blue","Rock","Thursday",25,2.8
"Monique","Techno","Friday",186,2.9
"Ania","Rock","Thursday",183,2.8
"Brejcha","Jazz","Thursday",119,3.5
"Monique","Rock","Friday",116,3.7
"Monique","Techno","Thursday",83,1.6
"Brejcha","HipHop","Friday",106,4.7
"Blue","Techno","Saturday",168,4.2
"Blue","Techno","Friday",172,4.3
"Brejcha","HipHop","Thursday",68,3.1
"Ania","Rock","Thursday",160,1.9
"Monique","HipHop","Saturday",48,2.2
"Mski","HipHop","Friday",197,3.9
"Blue","HipHop","Friday",105,1.6
"Brejcha","Rock","Friday",34,3.1
"Brejcha","Techno","Friday",121,3.7
"Brejcha","Jazz","Friday",60,3.8
"Ania","Rock","Saturday",28,5
"Mski","Rock","Friday",42,2.4
"Mski","Rock","Friday",22,4.5
"Ania","Techno","Friday",105,2
"Monique","HipHop","Friday",36,1.9
"Brejcha","Rock","Thursday",24,4.4
"Ania","HipHop","Thursday",191,4.4
"Ania","HipHop","Thursday",112,3.2
"Blue","Jazz","Thursday",97,3.8
"Monique","Jazz","Friday",35,4
"Monique","HipHop","Saturday",26,1.6
"Blue","Rock","Friday",139,2
"Blue","HipHop","Thursday",137,2.5
"Blue","Jazz","Thursday",50,1
"Monique","Rock","Thursday",177,4.9
"Monique","HipHop","Saturday",53,2.3
"Brejcha","Jazz","Friday",29,4.4
"Mski","Jazz","Thursday",49,3.2
"Mski","Jazz","Friday",189,1.9
"Brejcha","Rock","Friday",171,4.9
"Mski","HipHop","Saturday",91,4.1
"Blue","Jazz","Thursday",87,3
"Ania","HipHop","Saturday",121,2.8
"Monique","HipHop","Saturday",20,1
"Ania","HipHop","Saturday",25,4.6
"Blue","HipHop","Saturday",57,2.3
"Mski","Jazz","Friday",171,2.2
"Brejcha","Jazz","Saturday",76,1.6
"Brejcha","HipHop","Friday",90,4.4
"Blue","HipHop","Thursday",118,3.8
"Monique","HipHop","Saturday",36,1.9
"Blue","HipHop","Thursday",159,2.6
"Brejcha","Rock","Saturday",29,4.3
"Ania","Rock","Saturday",49,4
"Brejcha","Rock","Thursday",163,3
"Monique","Techno","Thursday",69,4.3
"Monique","Rock","Thursday",38,3.1
"Brejcha","Jazz","Friday",54,1.7
"Ania","Techno","Saturday",149,4
"Ania","Techno","Saturday",142,4.4
"Mski","Techno","Friday",88,3.4
"Monique","HipHop","Thursday",36,1.9
"Monique","Rock","Saturday",102,1.3
"Blue","HipHop","Thursday",69,2.7
"Ania","Jazz","Saturday",71,2.1
"Mski","Jazz","Thursday",165,2.4
"Ania","Jazz","Saturday",62,2
"Brejcha","Techno","Friday",111,1.1
"Mski","Techno","Friday",107,3.6
"Monique","Rock","Saturday",27,2.4
"Ania","HipHop","Friday",178,3.9
"Ania","HipHop","Thursday",33,1.1
"Mski","Techno","Thursday",62,2.4
"Mski","HipHop","Saturday",94,1.3
"Brejcha","Techno","Thursday",143,1.7
"Mski","HipHop","Thursday",76,3.3
"Blue","HipHop","Thursday",137,5
"Brejcha","Techno","Thursday",27,3.5
"Blue","HipHop","Friday",46,3.6
"Monique","HipHop","Thursday",160,4
"Mski","HipHop","Thursday",135,1.5
"Monique","Techno","Friday",56,2
"Mski","Jazz","Friday",25,1.3
"Mski","Jazz","Saturday",115,3.8
"Ania","HipHop","Friday",43,1.3
"Mski","HipHop","Thursday",44,4.5
"Ania","HipHop","Saturday",166,2.4
"Ania","Jazz","Thursday",145,2.3
"Blue","Rock","Thursday",56,3
"Blue","Rock","Friday",179,3.9
"Monique","Rock","Saturday",186,4.4
"Blue","Techno","Saturday",48,1.2
"Monique","Rock","Thursday",148,3.4
"Blue","Rock","Thursday",38,2.4
"Mski","HipHop","Friday",44,1.3
"Blue","Jazz","Saturday",87,3
"Ania","Rock","Saturday",40,4.4
"Ania","HipHop","Friday",134,3.8
"Brejcha","Rock","Thursday",90,3
"Mski","Techno","Thursday",36,1.7
"Brejcha","HipHop","Saturday",197,2
"Ania","Techno","Friday",111,2.6
"Blue","HipHop","Thursday",56,3
"Ania","Jazz","Thursday",85,3.2
"Brejcha","Jazz","Friday",149,3.2
"Mski","Jazz","Thursday",151,4.3
"Monique","HipHop","Thursday",73,2.7
"Mski","Techno","Saturday",53,4.1
"Blue","HipHop","Thursday",53,1.7
"Mski","Rock","Friday",37,2.7
"Ania","Jazz","Saturday",89,2.3
"Ania","Techno","Friday",52,3.5
"Mski","Techno","Thursday",38,2.5
"Mski","Techno","Friday",115,3.5
"Brejcha","Rock","Saturday",73,1.8
"Monique","Rock","Friday",37,1.9
"Mski","HipHop","Saturday",58,4.9
"Ania","HipHop","Friday",128,5
"Blue","Techno","Saturday",44,1.1
"Monique","Jazz","Friday",118,3.3
"Ania","Rock","Friday",147,1.8
"Mski","Techno","Saturday",119,3.7
"Blue","HipHop","Saturday",160,1.4
"Brejcha","HipHop","Friday",60,1.4
"Brejcha","HipHop","Friday",116,2.9
"Ania","HipHop","Friday",73,2.6
"Blue","Rock","Saturday",33,1.8
"Mski","Techno","Saturday",61,2.7
"Ania","Rock","Saturday",157,4.2
"Blue","HipHop","Friday",98,4.2
"Blue","Jazz","Thursday",96,3.7
"Mski","Jazz","Saturday",103,3.8
"Mski","Rock","Thursday",26,3.9
"Brejcha","Techno","Thursday",139,2.7
"Ania","Jazz","Thursday",65,2.7
"Mski","Techno","Friday",130,3.7
"Mski","Jazz","Saturday",134,1.9
"Monique","Techno","Thursday",37,3.6
"Blue","Jazz","Saturday",57,1.3
"Ania","Rock","Friday",167,4.4
"Mski","Techno","Friday",49,2.3
"Mski","HipHop","Saturday",175,4.5
"Brejcha","Jazz","Thursday",21,2.3
"Brejcha","Jazz","Thursday",56,3.8
"Brejcha","Techno","Friday",162,2.2
"Monique","Jazz","Thursday",121,1.5
"Monique","Jazz","Saturday",74,3.4
"Brejcha","Techno","Saturday",163,2.5
"Brejcha","Rock","Saturday",114,3.7
"Mski","Rock","Saturday",42,2.4
"Monique","Techno","Thursday",85,1.3
"Mski","Rock","Friday",21,4.7
"Mski","Rock","Friday",22,4.5
"Brejcha","Jazz","Thursday",31,2.7
"Monique","Jazz","Friday",66,2.1
"Ania","HipHop","Saturday",111,2
"Ania","Techno","Thursday",99,4.2
"Mski","Jazz","Friday",45,4.9
"Mski","Techno","Thursday",87,1.1
"Blue","Jazz","Friday",110,4.8
"Ania","Rock","Friday",137,3.5
"Monique","Rock","Friday",104,2.8
"Ania","Techno","Friday",182,2.2
"Monique","Techno","Friday",173,3.8
"Blue","Techno","Friday",60,1.5
"Mski","Techno","Thursday",180,1.5
"Brejcha","Techno","Thursday",77,1
"Ania","Techno","Saturday",26,3.9
"Monique","Techno","Friday",68,2.9
"Monique","HipHop","Friday",44,2.1
"Monique","Jazz","Friday",185,1.3
"Brejcha","Techno","Saturday",98,2.8
"Ania","Techno","Saturday",194,3.4
"Ania","HipHop","Friday",97,1.8
"Mski","Jazz","Friday",192,1.5
"Mski","Rock","Saturday",91,1.1
"Mski","Jazz","Friday",90,1.5
"Mski","Techno","Friday",143,1.3
"Mski","HipHop","Friday",102,3.4
"Ania","Techno","Thursday",72,4.2
"Blue","Rock","Friday",109,2.5
"Blue","Jazz","Thursday",59,1.4
"Blue","Rock","Saturday",35,2
"Blue","Rock","Thursday",192,2.1
"Ania","Techno","Saturday",137,2.7
"Blue","Rock","Thursday",74,1.7
"Mski","Rock","Friday",38,2.6
"Ania","Jazz","Friday",47,2.8
"Brejcha","HipHop","Friday",183,4.2
"Brejcha","Jazz","Friday",150,3.9
