"Grade","Row","Section","Attendance","Score"
"F",6,"B3","Medium",34
"P",5,"A3","High",82
"F",8,"B2","High",53
"P",7,"A1","Low",70
"F",4,"B1","Low",24
"F",7,"B2","Medium",24
"F",3,"B3","High",7
"F",4,"B2","High",27
"P",4,"A3","Low",71
"F",7,"B2","Medium",19
"P",3,"B2","High",67
"F",2,"B3","Low",40
"F",5,"A2","Medium",47
"P",6,"A3","Low",84
"F",3,"A1","Medium",49
"P",5,"A1","Low",100
"P",4,"B3","Medium",86
"P",4,"A3","High",92
"P",3,"B3","Low",82
"F",5,"B3","High",49
"P",5,"B1","Medium",59
"P",4,"B1","High",75
"F",3,"B1","High",9
"F",4,"A2","Low",49
"P",2,"A3","Low",84
"F",8,"A3","Medium",2
"F",1,"A2","Low",23
"P",3,"B1","Low",59
"F",3,"A1","High",55
"P",2,"A3","Low",94
"F",7,"A3","Medium",53
"F",3,"B2","Medium",40
"P",5,"A3","High",76
"P",2,"B2","High",78
"F",2,"A2","Medium",17
"F",2,"B2","Low",38
"F",3,"B3","Low",29
"F",4,"B1","Low",36
"F",4,"A3","High",34
"P",7,"A1","High",72
"F",4,"A1","Medium",8
"P",1,"A2","High",95
"P",3,"B1","Medium",84
"F",4,"B1","High",40
"F",2,"A1","Medium",20
"F",8,"A2","Low",20
"F",3,"A2","High",39
"F",8,"B3","High",46
"P",5,"B3","Medium",90
"P",1,"B2","Low",88
"P",6,"B3","High",76
"F",4,"A3","High",20
"P",3,"B3","Medium",53
"P",3,"A3","Low",92
"F",7,"A1","Low",11
"P",8,"B1","Medium",93
"P",3,"B3","High",76
"P",3,"A1","Medium",93
"F",2,"B3","High",38
"F",6,"B2","Medium",5
"F",7,"A2","High",13
"F",1,"A1","Medium",23
"F",8,"A3","High",10
"F",2,"B2","High",49
"F",5,"A3","Low",8
"F",3,"B3","High",8
"P",4,"B2","High",52
"F",6,"A3","Medium",42
"P",3,"B3","Low",52
"P",2,"B1","High",58
"P",6,"A2","High",67
"F",7,"A2","Low",44
"P",8,"B1","High",96
"P",4,"B2","Low",84
"P",6,"A1","High",90
"F",3,"A3","High",57
"F",3,"B2","Medium",38
"F",3,"A3","Low",43
"P",6,"B3","High",75
"F",5,"B3","Medium",45
"F",3,"B1","Medium",39
"F",5,"A1","High",5
"F",5,"A3","Medium",31
"F",3,"A1","Low",24
"P",6,"B2","Low",87
"F",5,"A3","High",9
"P",1,"B1","Low",84
"P",5,"A1","Low",64
"F",1,"B3","Medium",46
"P",6,"A2","Low",88
"F",4,"B1","Medium",38
"P",3,"B1","High",87
"P",6,"B2","Low",68
"F",7,"B1","High",57
"F",2,"A1","Low",48
"P",8,"A1","High",96
"F",4,"B2","Low",37
"F",3,"A1","High",29
"P",4,"B1","High",68
"F",2,"B3","Medium",3
"P",6,"A3","Low",76
"F",5,"B2","High",36
"F",6,"A2","Medium",1
"F",1,"B1","Medium",13
"P",5,"B3","Medium",71
"P",1,"A2","High",76
"F",1,"B3","High",30
"P",3,"A2","Medium",67
"F",4,"B2","Medium",17
"P",7,"B2","High",61
"P",6,"A2","Low",66
"F",6,"A2","High",31
"P",5,"B3","Low",71
"P",7,"B3","High",65
"F",4,"A1","High",11
"F",3,"B3","Low",15
"P",4,"A1","Medium",81
"P",2,"A1","High",50
"F",6,"A2","Medium",46
"F",4,"B3","Low",40
"F",5,"B3","Medium",19
"F",3,"A2","High",28
"P",5,"B1","Medium",81
"F",6,"B1","Low",56
"F",6,"A3","Low",57
"F",7,"B1","Low",38
"P",4,"A2","Low",90
"P",5,"B1","High",65
"P",8,"B2","Medium",73
"F",8,"B2","Medium",41
"F",7,"B1","Low",5
"F",6,"B1","Medium",21
"P",1,"B3","High",56
"F",7,"A1","Medium",59
"F",2,"A2","High",28
"P",6,"B2","High",100
"F",5,"A3","Low",30
"F",1,"A1","Medium",45
"F",2,"A1","Medium",12
"P",1,"B3","Medium",95
"F",8,"A1","High",36
"F",6,"B2","High",36
"F",5,"A3","Low",27
"F",4,"A3","Low",9
"F",5,"A2","Medium",35
"P",8,"B3","Low",97
"F",5,"A1","Low",10
"F",7,"B3","High",48
"F",5,"A3","High",4
"P",2,"A2","High",100
"F",6,"B2","Medium",9
"F",5,"B3","Medium",49
"F",8,"A3","High",40
"P",5,"A1","Medium",67
"F",3,"B2","Medium",20
"F",3,"B2","Low",7
"F",3,"A1","High",18
"F",5,"B1","Low",7
"P",5,"A2","Medium",52
"F",5,"A1","Low",2
"F",8,"B1","Medium",23
"F",2,"A3","Low",48
"P",7,"A2","Low",82
"P",2,"A3","High",72
"F",8,"B2","Medium",47
"F",5,"A1","High",12
"F",7,"A2","High",8
"P",2,"B2","Low",82
"P",7,"A1","High",100
"P",3,"A3","High",74
"P",3,"B1","Low",79
"F",7,"A1","Medium",5
"F",7,"B2","High",15
"P",5,"B1","Medium",95
"P",7,"B2","High",97
"F",8,"A2","High",43
"P",4,"A1","Low",72
"P",2,"A1","Medium",83
"F",5,"A3","Low",56
"F",1,"A1","High",22
"F",2,"A1","High",32
"P",5,"A1","Medium",83
"P",4,"B2","High",76
"P",5,"A1","High",96
"P",4,"A3","Medium",98
"F",4,"A2","Medium",7
"P",2,"B1","Medium",90
"P",4,"A3","Low",50
"P",7,"A1","Low",62
"F",7,"B2","High",5
"F",7,"A2","High",5
"P",4,"A3","High",67
"P",3,"B1","High",78
"P",2,"A3","Low",62
"F",6,"A1","Medium",10
"P",7,"A3","Low",81
"P",5,"A2","Low",78
"P",4,"A2","Low",52
"F",5,"B2","High",16
"P",5,"B3","Low",73
"F",2,"A3","Low",31
"P",2,"B3","Medium",65
"F",4,"A2","High",24
"P",1,"B3","Low",72
"P",5,"B3","Medium",60
"F",2,"B2","Medium",38
"F",6,"A1","Low",6
"F",5,"B3","Medium",20
"F",6,"A2","High",19
"F",3,"B3","High",11
"P",1,"B3","Low",58
"P",4,"A2","Low",82
"F",8,"A3","Low",55
"P",5,"A1","Medium",83
"P",6,"B1","High",69
"P",5,"B3","Low",57
"F",7,"A1","Low",44
"P",3,"B3","High",89
"F",1,"A1","Medium",32
"F",7,"A2","Medium",22
"F",7,"B3","High",11
"P",7,"B2","Low",75
"F",7,"B2","Medium",35
"F",3,"B1","High",29
"F",2,"B2","Low",38
"F",8,"A3","Medium",47
"P",5,"A2","Medium",96
"P",2,"B3","Medium",56
"F",8,"B3","High",45
"P",1,"A1","Medium",63
"F",5,"A1","Medium",38
"P",2,"A2","Low",71
"P",7,"A1","Medium",85
"P",2,"A3","High",67
"F",3,"B3","Low",16
"F",3,"B1","High",7
"F",7,"B1","High",31
"P",2,"B2","Low",58
"F",7,"A1","Low",47
"P",1,"B1","High",99
"F",7,"B3","High",22
"P",1,"B1","Medium",58
"F",5,"B1","High",37
"F",6,"B2","High",45
"P",1,"A1","High",75
"F",2,"B1","Medium",44
"F",4,"A2","Low",42
"P",4,"A3","High",95
"P",6,"A1","Low",62
"P",5,"B2","Medium",54
"P",3,"A3","Low",95
"P",3,"B3","Low",74
"P",4,"B2","Low",64
"F",7,"B2","Medium",18
"P",7,"B3","High",92
"F",2,"A1","Low",43
"F",6,"B3","High",54
"F",7,"B3","Low",34
"F",7,"B3","High",48
"P",4,"B3","Medium",54
"F",4,"B3","High",38
"P",4,"B1","Low",73
"F",7,"A1","Medium",13
"P",8,"A2","Low",86
"F",3,"A3","Low",56
"F",7,"A2","High",58
"F",5,"B2","Low",23
"P",2,"A2","Medium",94
"F",5,"A2","Low",35
"P",4,"A1","Low",73
"F",1,"B1","Low",47
"F",8,"A3","Medium",58
"P",3,"B3","Low",73
"F",8,"A3","High",25
"P",5,"A2","Medium",87
"F",2,"B2","Low",20
"F",2,"A2","Medium",18
"P",6,"B1","Medium",95
"F",8,"A1","Low",14
"P",5,"A1","Low",70
"P",3,"A2","Medium",87
"F",6,"A1","Low",29
"P",8,"B2","High",70
"F",2,"A3","High",37
"F",7,"A3","High",28
"F",1,"B2","Low",21
"P",1,"B2","High",88
"P",6,"B1","High",50
"F",6,"A2","Low",17
"F",3,"B2","High",16
"P",5,"A3","Low",91
"F",7,"B3","Low",16
"P",6,"B2","Medium",98
"P",3,"B1","Low",97
"F",8,"B3","Low",53
"P",8,"A2","Medium",89
"F",5,"A2","High",9
"F",6,"A1","Low",39
"P",3,"B3","Low",53
"F",8,"A2","Low",42
"P",4,"A1","Medium",67
"F",7,"A3","Low",40
"F",2,"B1","Low",17
"F",1,"B3","Low",45
"P",3,"B1","Medium",72
"P",3,"A3","Medium",61
"P",3,"B3","High",59
"F",3,"A3","Medium",4
"P",2,"B1","High",95
"F",7,"B2","Low",33
"P",7,"A3","High",70
"F",4,"B1","Medium",12
"F",1,"B1","High",28
"F",6,"A2","High",31
"F",7,"A3","Medium",24
"P",4,"B2","High",95
"F",3,"B1","Medium",20
"F",5,"B3","High",23
"F",3,"A2","Low",2
"F",3,"A1","Low",38
"F",2,"B3","Low",45
"F",7,"A2","Low",49
"P",3,"A1","High",80
"F",4,"A1","High",3
"F",3,"B2","High",10
"F",8,"B2","Medium",43
"P",3,"B1","Medium",96
"F",2,"A2","Low",27
"F",6,"A1","High",19
"F",6,"B3","Medium",7
"F",4,"A3","High",44
"F",8,"A2","High",45
"F",6,"A3","Medium",11
"P",1,"B3","High",55
"P",3,"B2","Medium",56
"F",6,"A1","Low",37
"F",5,"B1","High",36
"P",2,"A1","Medium",97
"P",6,"A1","High",66
"F",2,"A1","High",57
"P",4,"A1","Medium",70
"F",4,"A1","Medium",59
"F",3,"B2","Medium",14
"F",4,"B3","High",4
"F",7,"B2","High",53
"P",4,"B1","High",61
"F",5,"A3","Medium",40
"P",4,"B3","Low",51
"F",8,"A1","Medium",10
"P",1,"A2","High",65
"P",2,"A3","Medium",67
"P",2,"B2","Medium",55
"F",1,"B1","High",19
"P",1,"A3","High",92
"F",3,"A2","Low",33
"F",4,"B3","Low",1
"F",8,"B2","Low",43
"F",7,"B2","Low",8
"P",3,"A1","High",50
"F",4,"A1","High",49
"P",1,"B3","High",86
"P",8,"B1","Medium",89
"P",3,"B1","Medium",50
"F",7,"A3","High",28
"P",4,"A1","Low",63
"F",6,"A3","High",38
"P",5,"B1","Medium",89
"P",2,"B3","Medium",98
"F",6,"A3","High",17
"P",8,"B1","High",78
"P",5,"A2","High",59
"F",8,"A2","High",4
"P",2,"B2","Low",60
"F",2,"A2","Medium",3
"F",2,"A3","High",47
"F",4,"B1","Low",29
"P",2,"B3","Low",68
"P",5,"B1","High",82
"F",6,"B2","Low",47
"F",1,"A2","High",25
"F",6,"A2","Medium",10
"P",6,"A2","Medium",94
"P",7,"A3","Medium",97
"F",4,"B1","High",12
"P",3,"A2","High",85
"F",3,"A3","Medium",17
"P",5,"A3","High",78
"P",7,"B1","High",64
"P",1,"A1","High",70
"F",1,"A2","High",11
"F",4,"B2","Medium",22
"F",4,"B3","High",35
"P",8,"A2","High",66
"F",1,"A3","Medium",19
"F",7,"A3","Medium",4
"P",3,"B3","Medium",60
"F",4,"A1","Low",51
"P",7,"A3","Medium",88
"F",5,"A2","Medium",7
"F",2,"A1","Low",54
"F",7,"A3","Medium",29
"P",8,"A1","Medium",83
"F",6,"A1","Low",3
"P",6,"B3","Low",92
"F",1,"A3","High",10
"F",6,"A3","High",20
"F",7,"A1","Low",41
"F",3,"A2","High",4
"F",7,"A2","Low",11
"P",7,"A2","Medium",62
"F",2,"A3","Medium",9
"P",1,"B3","High",86
"F",8,"A1","Medium",45
"F",1,"A3","Low",5
"F",3,"B3","Medium",28
"F",6,"A3","High",59
"F",7,"A3","High",49
"F",3,"B2","Low",19
"F",5,"A3","Low",27
"F",2,"A1","High",20
"P",2,"A3","Medium",65
"F",1,"A3","Medium",2
"P",2,"B1","High",87
"F",6,"B1","High",33
"F",2,"B1","High",32
"F",7,"B2","Medium",27
"F",6,"A3","Medium",38
"F",2,"B3","High",11
"F",4,"A3","Medium",41
"P",5,"B1","High",58
"P",8,"A1","High",94
"F",6,"B2","High",31
"F",4,"B2","Medium",23
"P",6,"A2","Low",68
"F",4,"A3","High",54
"F",2,"A3","Medium",8
"F",4,"A1","Low",5
"P",5,"B1","High",59
"F",5,"A2","Medium",5
"P",3,"B3","Medium",74
"F",5,"B3","High",27
"F",6,"B2","Low",43
"P",8,"A2","Medium",64
"P",3,"B3","Low",75
"P",5,"B1","Medium",67
"P",1,"B1","High",69
"F",6,"B1","Medium",16
"P",6,"B2","Low",91
"P",7,"B3","Medium",50
"P",1,"B3","Low",87
"P",4,"B1","Low",60
"F",2,"B3","High",21
"F",7,"B2","Medium",12
"F",4,"B1","Medium",49
"P",4,"B1","Medium",72
"P",6,"A3","Low",97
"F",3,"A3","Low",34
"F",5,"B3","Medium",42
"P",2,"A3","Medium",79
"F",7,"B2","High",46
"F",6,"B3","High",34
"P",5,"A2","Medium",87
"F",3,"B3","Medium",28
"P",4,"B3","Low",83
"F",3,"B1","Medium",37
"F",3,"A3","Low",37
"F",2,"B2","Low",9
"F",7,"A3","Low",15
"P",6,"B2","Low",83
"P",6,"A3","Low",98
"F",4,"A1","High",46
"F",2,"B3","Low",10
"P",4,"B1","High",75
"P",6,"A1","Medium",73
"P",4,"A1","High",80
"F",2,"A2","High",17
"P",6,"A1","Low",80
"P",3,"A2","High",99
"P",5,"A3","Medium",96
"F",1,"A3","Low",58
"F",7,"B3","High",8
"F",5,"A1","High",14
"F",8,"B1","Low",28
"P",7,"B1","Medium",70
"P",6,"B2","Medium",68
"F",5,"B1","Medium",18
"F",4,"A1","Medium",51
"P",3,"A2","Medium",57
"F",7,"B3","Low",56
"P",3,"B1","Medium",82
"P",3,"B1","Low",85
"P",2,"B3","Medium",53
"F",3,"B1","Medium",38
"F",3,"A1","Low",13
"F",4,"A3","Medium",1
"F",4,"A2","High",33
"F",8,"A1","Low",59
"F",6,"A3","High",36
"F",3,"A2","Low",20
"P",2,"B3","High",100
"F",2,"B3","High",29
"F",5,"B1","Low",17
"P",4,"A1","High",50
"F",7,"A3","High",8
"F",3,"B2","Medium",31
"P",3,"B3","Medium",64
"F",3,"A3","Low",19
"P",2,"A3","Low",96
"P",8,"A2","High",83
"F",6,"A2","Medium",27
"F",7,"B1","Low",34
"P",7,"B3","High",50
"P",5,"A2","Medium",94
"F",5,"B3","Low",39
"F",4,"A2","Medium",11
"F",4,"A1","Low",34
"F",7,"A2","Medium",9
"P",5,"B3","Low",79
"F",6,"A3","Low",43
"P",5,"B3","Low",65
"F",6,"A3","Low",40
"P",3,"B3","Low",54
"P",4,"B3","High",96
"F",6,"B3","Medium",38
"F",6,"A2","High",53
"P",7,"A3","Medium",99
"F",7,"B3","High",26
"F",5,"A1","High",56
"F",1,"A3","Low",11
"F",3,"A1","Medium",29
"P",2,"B2","Medium",53
"F",4,"A2","High",27
"F",3,"A1","Medium",12
"F",5,"B2","Medium",5
"F",5,"B1","High",16
"P",2,"A3","Medium",62
"P",5,"A2","Low",63
"F",4,"A2","Medium",8
"F",3,"B1","High",44
"F",3,"A3","Medium",31
"P",6,"B3","Low",84
"P",4,"A1","High",94
"F",7,"B3","Low",45
"P",7,"B1","High",97
"F",3,"B3","Medium",33
"P",1,"A1","Medium",75
"P",4,"A1","High",87
"P",2,"B1","Low",62
"F",4,"B1","Low",37
"P",2,"A3","Medium",78
"P",6,"A2","High",82
"F",3,"A2","Low",34
"F",3,"A2","High",46
"P",3,"B1","Medium",59
"F",7,"B2","Low",57
"F",2,"A3","High",2
"P",7,"A3","Low",73
"P",6,"A3","High",95
"F",2,"B2","High",26
"P",5,"A3","Medium",72
"F",6,"A2","Low",28
"P",6,"B1","High",62
"F",7,"A1","Medium",32
"F",5,"B2","High",16
"F",3,"B3","Low",43
"P",6,"B2","Low",90
"P",6,"B2","Medium",75
"F",8,"A1","Medium",23
"P",6,"B2","Low",94
"P",5,"B1","High",95
"F",7,"B3","Low",22
"F",3,"B1","Low",20
"F",1,"A1","High",21
"P",5,"A2","Low",65
"P",8,"B3","Low",63
"F",4,"B3","Low",2
"F",3,"A2","Low",22
"F",7,"A1","Medium",45
"P",4,"B3","Medium",82
"F",1,"B2","Low",37
"F",6,"B3","Low",40
"F",4,"A3","High",23
"P",6,"A3","Low",90
"F",4,"B2","High",46
"P",3,"B2","High",81
"F",4,"A1","High",45
"F",6,"A2","High",57
"F",7,"B2","Low",47
"P",3,"A1","Medium",63
"F",7,"B2","High",49
"F",2,"B1","Low",29
"F",3,"B1","High",13
"P",5,"A2","Low",83
"P",7,"A3","High",61
"P",3,"B2","Low",73
"P",7,"B1","High",74
"P",7,"B3","Medium",88
"F",7,"A2","Medium",59
"F",4,"B2","Low",43
"F",6,"A1","Low",11
"P",7,"A3","Medium",82
"F",8,"B2","High",2
"F",1,"A3","Medium",12
"F",3,"B1","Medium",46
"F",5,"B3","Medium",35
"F",4,"A1","Medium",31
"P",3,"B2","Low",62
"P",5,"B1","High",76
"F",6,"B1","Low",1
"P",4,"A1","Low",93
"P",1,"A1","Medium",95
"P",4,"B1","Medium",79
"P",4,"A2","Medium",57
"P",2,"A2","High",51
"P",6,"A3","Medium",100
"F",3,"B2","High",17
"F",3,"B3","High",8
"F",3,"B3","High",20
"P",6,"B2","Medium",96
"P",6,"B2","High",83
"P",1,"A3","High",71
"P",6,"B1","Low",82
"F",2,"A1","High",54
"F",2,"B2","Low",32
"F",2,"B3","Medium",47
"F",1,"A3","High",3
"P",2,"B3","High",86
"P",6,"A1","High",73
"F",5,"A1","Low",49
"P",6,"A1","Medium",92
"F",1,"A3","Low",1
"F",8,"A3","High",1
"F",8,"A3","High",51
"P",1,"A2","Medium",62
"F",7,"A2","Medium",54
"P",4,"A1","High",97
"F",3,"B1","Low",29
"F",6,"A1","High",47
"P",1,"B3","Medium",51
"F",7,"A3","Medium",32
"F",5,"A3","High",39
"F",2,"A3","Medium",21
"P",4,"A2","Medium",60
"P",2,"B1","Medium",89
"P",1,"B2","Medium",56
"P",3,"A1","High",73
"F",6,"A3","Medium",8
"F",2,"A3","High",59
"F",4,"A3","High",46
"F",5,"B3","Medium",47
"F",3,"A3","Low",44
"P",1,"A2","Low",83
"P",2,"A3","Low",79
"F",5,"B3","Low",39
"P",2,"B1","High",83
"P",3,"B1","Low",55
"F",3,"B3","Low",11
"P",6,"B1","High",96
