"ZIQ","Piv","Target","Zyrc","Xelco","Yulos","Pilms","WAC"
2.41,19,9743.43,"Quilante",1974,47,9677.85714285714,"EM"
1.23,0,13121.92,"Vibranto",2008,37,2497.47619047619,"EM"
2.15,7,10225.08,"Solario",1982,82,4768.27536231884,"EM"
2.2,16,9773.01,"Quilante",2018,49,5773.90476190476,"FB"
2.61,60,9750.37,"Quilante",1996,4,2565.58823529412,"EM"
2.27,24,11769.26,"Esplen",2007,30,4465.33333333333,"FB"
2.71,4,5007.67,"Ardent",2010,35,4319.2688172043,"ET"
1.5,55,13151.49,"Vibranto",1970,85,4785.42857142857,"FC"
1.98,11,9802,"Brillante",1995,14,9549.33333333333,"ET"
2.15,2,13223.7,"Vibranto",1973,62,8187.90476190476,"EM"
2.45,2,10226.34,"Solario",2005,62,26820,"FC"
3.15,11,11690.81,"Esplen",1972,69,5988.10256410256,"FB"
2.27,4,5023.86,"Ardent",1965,79,5285.42528735632,"FB"
2.69,24,9707.5,"Quilante",1969,81,6348.30303030303,"EM"
2.02,2,11793.59,"Esplen",2009,45,6582.15384615385,"EM"
2.25,3,13235.49,"Vibranto",1994,89,1676.58823529412,"FB"
2.64,71,13268.81,"Vibranto",1977,55,5139.27536231884,"FB"
2.73,15,10273,"Brillante",1982,54,4664.45454545455,"ET"
2.68,7,10270.01,"Solario",2018,23,4143.07692307692,"ET"
3.28,22,13338.31,"Vibranto",1995,86,4062.36363636364,"FB"
1.84,4,10184,"Brillante",2010,70,4258.66666666667,"EM"
2.09,31,5962.02,"Ardent",1966,72,3947.78947368421,"EM"
2.73,105,10260.16,"Solario",2001,72,3663.14285714286,"FB"
1.46,26,10153.56,"Solario",1985,71,4902.72727272727,"ET"
2.45,20,13265.28,"Vibranto",2017,19,100843,"FC"
2.87,13,9729.65,"Quilante",1992,38,3039.47619047619,"FC"
2.77,53,11723.98,"Esplen",1991,81,3769.78947368421,"FB"
1.92,8,10191.09,"Solario",1989,17,3512.77777777778,"FC"
2.26,1,11766.79,"Esplen",1987,72,11445.6666666667,"FB"
2.94,4,10290.71,"Solario",2003,48,2637.35135135135,"ET"
1.97,32,10197,"Brillante",2016,63,5266.30158730159,"EM"
2.8,17,9714.44,"Quilante",2011,14,5405,"FC"
2.23,6,11772.21,"Esplen",1965,89,5470.34426229508,"FC"
2.44,5,11756.28,"Esplen",1975,16,9989.66666666667,"EM"
2.63,15,13252.4,"Vibranto",2013,59,29737,"EM"
2.24,9,9797.23,"Quilante",1994,31,35145.3333333333,"EM"
1.93,0,10187.41,"Solario",2001,57,11169.1111111111,"FC"
2.67,9,9735.45,"Quilante",2010,17,5033.15384615385,"FC"
2.99,14,11705.15,"Esplen",2004,68,4626.57894736842,"ET"
1.92,3,10197.39,"Solario",1996,50,10065.6666666667,"FB"
2.53,8,10261.75,"Solario",1976,68,4936.45070422535,"EM"
2.97,57,10297,"Brillante",2010,23,2293.36363636364,"FB"
2.43,13,10244.75,"Solario",1994,29,2332.7012987013,"EM"
2.95,5,10299.08,"Solario",2012,17,8603,"ET"
2.23,24,13224.37,"Vibranto",2002,64,3523.47058823529,"EM"
2.62,2,13272.26,"Vibranto",1993,23,7321.77777777778,"FC"
2.54,34,6151.96,"Ardent",2006,15,7047.95238095238,"ET"
2.78,3,13294.85,"Vibranto",1980,6,11556.3333333333,"EM"
2.03,13,10211.7,"Solario",2005,73,27494,"FB"
2.67,21,13259.54,"Vibranto",1969,36,26974,"EM"
2.91,13,13298.57,"Vibranto",1986,73,5999.47619047619,"ET"
2.08,8,10208,"Brillante",1966,56,9945.85714285714,"EM"
2.51,28,11753.24,"Esplen",1972,7,8384,"FB"
2.33,25,10240.96,"Solario",1999,68,3498.56790123457,"FB"
2.54,28,5786.76,"Ardent",1979,65,5637.63157894737,"ET"
2.07,12,13205.03,"Vibranto",2014,23,3106.10101010101,"ET"
2.72,27,13278.35,"Vibranto",1997,18,5716.7037037037,"ET"
2.26,70,9906.8,"Ardent",2017,91,13805.1111111111,"ET"
2.57,42,10267.82,"Solario",2015,96,4931.81927710843,"FB"
2.85,9,10287.15,"Solario",1970,28,104992,"FB"
1.8,6,13171.69,"Vibranto",2016,62,5142.47619047619,"FC"
3.18,24,11690.7,"Esplen",2002,92,2881.42528735632,"FB"
2.51,3,9767.9,"Quilante",2015,4,5795.77777777778,"FC"
2.74,5,11733.18,"Esplen",2003,100,26637,"FC"
2.34,36,10230.87,"Solario",2013,69,8115.66666666667,"FC"
1.41,4,4988.54,"Ardent",1978,18,6370.71428571429,"FC"
2.18,1,10223.35,"Solario",1998,99,6778.65957446809,"EM"
3.08,18,10302.71,"Solario",1976,57,5498.91525423729,"ET"
2.98,3,10293.44,"Solario",1988,96,4125.72727272727,"FB"
1.76,10,11841.22,"Esplen",1976,29,5575.78431372549,"FC"
2.2,2,5000.61,"Ardent",2017,6,6081.57894736842,"EM"
2.69,16,11733.22,"Esplen",2002,31,8689.33333333333,"ET"
2.78,42,9713.18,"Quilante",2018,99,1673.7012987013,"FB"
2.01,29,9803.61,"Quilante",1995,85,34371.3333333333,"ET"
2.77,8,10281.8,"Solario",2016,95,4001.30158730159,"FC"
2.08,2,10208.78,"Solario",1996,80,10530.6666666667,"FB"
2.98,9,5079.2,"Ardent",1995,82,4943.57142857143,"EM"
2.31,109,16875.61,"Ardent",1979,69,6513,"FC"
2.52,47,11758.22,"Esplen",1978,15,5522.71428571429,"FB"
3.18,12,9685.64,"Quilante",1994,91,3024.57142857143,"ET"
2.82,17,13274.09,"Vibranto",2015,59,6308,"ET"
2.08,23,9792,"Brillante",1977,61,7353.15789473684,"ET"
2.12,24,9799.98,"Quilante",1977,3,3504.47058823529,"EM"
3.62,26,10354.57,"Solario",1981,20,4256.77777777778,"EM"
2.31,22,9764.88,"Quilante",1995,65,103956,"ET"
2.86,13,13282.66,"Vibranto",2011,39,9760.15789473684,"FC"
2.59,8,11733.18,"Esplen",1999,25,3117.17647058824,"ET"
2.11,18,11795.93,"Esplen",1966,2,4569.95652173913,"ET"
2.45,15,9755,"Brillante",1985,76,4373.8064516129,"FC"
2.37,7,10231.77,"Solario",2014,10,5573.05128205128,"ET"
2.51,8,5077.75,"Ardent",1993,66,2838.91525423729,"EM"
2.14,2,9776.11,"Quilante",1994,34,4875.9010989011,"ET"
2.12,21,5447.75,"Ardent",1980,25,11326.8571428571,"ET"
3.53,21,10353,"Brillante",1964,51,3429.7027027027,"EM"
2.72,0,10282.48,"Solario",1969,79,2624.72727272727,"ET"
2.7,18,10259.32,"Solario",2005,46,1770.57142857143,"FC"
2.41,23,11745.42,"Esplen",2000,61,5920.7037037037,"ET"
2.34,9,10247.9,"Solario",2008,71,36547.3333333333,"EM"
2.87,13,11723.13,"Esplen",2019,55,4786.79245283019,"ET"
2.29,41,13248.69,"Vibranto",1966,77,4654.36363636364,"FB"
1.93,1,9807,"Brillante",1999,77,5471.91304347826,"FB"
2.4,53,9745.33,"Quilante",2018,67,15173,"FC"
2.65,27,11719.72,"Esplen",1970,40,5044.59550561798,"EM"
3.16,10,9674.31,"Quilante",1983,95,5646.47058823529,"ET"
2.11,33,13206.61,"Vibranto",1971,73,15786.7142857143,"EM"
2.33,11,9765.94,"Quilante",2009,34,6967,"ET"
2.15,9,11816.69,"Esplen",1977,17,3851.79245283019,"FB"
2.29,8,11778.01,"Esplen",1980,52,5815,"ET"
2.38,14,9759.46,"Quilante",1986,20,1731.78947368421,"FC"
2.21,54,7919.06,"Ardent",2011,31,3388.78947368421,"ET"
2.56,11,11742.93,"Esplen",1977,77,7744.90476190476,"FC"
2.5,29,9768.63,"Quilante",1971,90,5237.58823529412,"EM"
2.25,18,13233.43,"Vibranto",1999,65,14831.1111111111,"FC"
2.27,36,9763.79,"Quilante",2016,61,4919.38596491228,"FB"
2.79,3,11709.28,"Esplen",1974,96,3451.91525423729,"FC"
2.08,1,10200.73,"Solario",1994,24,6472.0243902439,"ET"
2.54,11,11731.81,"Esplen",2003,28,6241.90322580645,"FB"
2.03,15,11818.16,"Esplen",1965,94,6371,"ET"
2.38,32,10233.28,"Solario",2005,32,7633.85714285714,"ET"
3.23,15,5220.19,"Ardent",1996,55,6084.18181818182,"FC"
1.6,36,13164.76,"Vibranto",2001,59,7144.82608695652,"EM"
3.14,5,11674.88,"Esplen",1990,19,4795.58823529412,"EM"
2.83,7,9717,"Brillante",2013,18,4018.34426229508,"EM"
2,22,10200,"Brillante",1990,40,5397.82978723404,"ET"
2.01,0,11798.64,"Esplen",2019,29,5577.82278481013,"FC"
1.64,14,11833.15,"Esplen",2017,70,16267,"FB"
2.58,9,11736.84,"Esplen",1982,59,5659.27586206897,"FB"
1.71,12,13190.27,"Vibranto",2002,82,3423.56790123457,"FB"
1.62,0,11852.69,"Esplen",1986,24,3929,"FB"
2.46,2,11752.92,"Esplen",1967,98,6461.34426229508,"EM"
3.05,30,10284.46,"Solario",1993,70,5074.91525423729,"EM"
2.67,17,10267,"Brillante",2010,37,8382.66666666667,"EM"
2.14,10,10218.31,"Solario",1965,78,2888.2688172043,"EM"
2.07,4,9799.8,"Quilante",1980,76,5578.78947368421,"FC"
2.82,11,10282,"Brillante",1970,82,3856,"FC"
2.14,32,10209.21,"Solario",2014,86,5583,"EM"
2.39,51,11762.17,"Esplen",1966,95,4380.7012987013,"ET"
3.26,13,9678.52,"Quilante",2010,93,4164.58823529412,"EM"
1.91,21,9805.93,"Quilante",1972,53,5520,"ET"
2.54,35,11732.36,"Esplen",1998,44,6324.81632653061,"EM"
3.06,5,9695.35,"Quilante",2013,22,5643.66666666667,"FC"
3.18,15,9682.61,"Quilante",1965,54,2567.88888888889,"EM"
2.09,3,9794.19,"Quilante",1996,87,34057.3333333333,"FB"
2.71,18,11706.87,"Esplen",1980,10,13846.9090909091,"FB"
1.82,20,10182,"Brillante",1966,6,2311.82978723404,"EM"
1.63,60,9839.71,"Quilante",2014,72,4940.92783505155,"ET"
3.04,77,9696,"Brillante",2011,88,1948.88888888889,"FB"
2.7,65,9731.15,"Quilante",1980,53,5741.78947368421,"FC"
2.36,4,10236,"Brillante",1972,60,22059,"FB"
1.93,7,9800.3,"Quilante",1969,64,3001.78947368421,"ET"
2.86,9,9723.27,"Quilante",1994,25,5745.47619047619,"FB"
2.42,1,13245.52,"Vibranto",2002,38,6487.66666666667,"EM"
2.17,23,13226.77,"Vibranto",2000,7,4945.77777777778,"FB"
2.72,12,13277.21,"Vibranto",2015,100,8213.85714285714,"FB"
3.04,20,11682.47,"Esplen",1973,36,4674.5,"EM"
2.03,2,11789.38,"Esplen",2001,18,15357.1111111111,"ET"
3.15,23,13312.78,"Vibranto",1985,6,3210.18181818182,"FC"
2.14,9,5078.95,"Ardent",1969,83,2090.10101010101,"ET"
1.62,68,11828.78,"Esplen",1987,34,9320.15789473684,"FC"
2.76,37,13291.78,"Vibranto",1969,84,9208.66666666667,"ET"
2.28,11,10233.25,"Solario",1995,78,3113.66666666667,"FB"
1.78,5,13177.3,"Vibranto",1991,83,19290.6666666667,"FC"
1.84,17,9816.13,"Quilante",1975,65,21752,"FB"
2.61,2,5003.86,"Ardent",1969,2,5652.66666666667,"FB"
2.2,28,9771.53,"Quilante",1969,95,2954.36363636364,"EM"
2.75,6,10290.1,"Solario",1974,53,9980.85714285714,"FB"
2.69,19,10255.37,"Solario",1978,79,10679.8571428571,"ET"
3.29,26,11677.2,"Esplen",1989,35,3899.7037037037,"FC"
2.71,5,10277.26,"Solario",1986,53,25399,"EM"
2.36,13,13231.15,"Vibranto",1993,92,8031,"FB"
2.23,16,9777,"Brillante",1965,24,9732.90476190476,"EM"
2.63,8,13282.62,"Vibranto",1992,17,2612.34426229508,"EM"
1.88,19,13202.84,"Vibranto",1989,85,5152.30158730159,"FB"
2.55,14,5207.32,"Ardent",2013,1,6689.90476190476,"FC"
2.1,7,9790,"Brillante",1987,22,3624.07692307692,"FC"
1.92,35,9808,"Brillante",1965,95,6551.79245283019,"FB"
2.53,23,10246.71,"Solario",1989,79,2316.34426229508,"FB"
2.94,14,10294,"Brillante",1968,52,4509.53731343284,"ET"
2.26,10,5083.45,"Ardent",1974,46,6589,"FB"
2.32,29,13249.82,"Vibranto",2007,14,1566.11111111111,"FB"
3.04,45,10295.03,"Solario",1982,89,5681.66666666667,"ET"
2.42,5,10242,"Brillante",2012,48,6172.7027027027,"ET"
2.44,97,11752.31,"Esplen",1988,16,8149.90476190476,"FC"
3.03,1,5002.94,"Ardent",1993,23,9670,"EM"
1.79,29,11823.23,"Esplen",1984,38,3041.92783505155,"ET"
2.66,13,10282.04,"Solario",1985,36,6752.33333333333,"EM"
2.4,13,11763.76,"Esplen",1985,83,10707.9090909091,"FC"
2.19,19,13232.76,"Vibranto",1985,35,6915.81632653061,"FB"
3.24,7,10324,"Brillante",1982,4,5799.17647058824,"ET"
3,7,5038.59,"Ardent",2004,75,2085.40816326531,"FB"
2.3,5,13238.92,"Vibranto",2012,73,4853.91304347826,"FC"
2.64,8,13260.65,"Vibranto",1994,32,2827.2688172043,"FB"
2.43,10,10264.93,"Solario",1992,21,5497.11111111111,"FC"
2.41,7,13236.47,"Vibranto",2012,51,5226.15384615385,"ET"
3.1,1,10300.56,"Solario",1968,60,4161.8064516129,"FC"
2.17,8,13209.02,"Vibranto",1973,46,103091,"FB"
2.84,5,10291.46,"Solario",1969,64,23603,"FC"
1.89,6,11819.01,"Esplen",1976,61,3285,"EM"
3.08,48,7294.6,"Ardent",2004,60,2996.33333333333,"FC"
3,12,11703.71,"Esplen",1993,48,4456.17647058824,"ET"
2.42,3,9748.88,"Quilante",1998,63,2224.71428571429,"ET"
2.24,30,10217.79,"Solario",1996,89,4809.47058823529,"FC"
3.01,10,10298.44,"Solario",1973,20,5927.71428571429,"FC"
2.74,57,9730.16,"Quilante",2004,58,4093.77777777778,"FC"
2.54,5,11750.78,"Esplen",1976,83,5130.07692307692,"EM"
3.37,6,10333.69,"Solario",1973,27,2408.7012987013,"FC"
1.79,43,10203.45,"Solario",1990,95,2958,"FB"
2.68,6,11738.13,"Esplen",2012,20,1228.79069767442,"EM"
2.55,19,9744.23,"Quilante",1989,99,2177.27536231884,"ET"
3.25,23,13333.23,"Vibranto",1992,56,3847.95652173913,"EM"
2.59,98,14600.54,"Ardent",1986,62,4054.15151515152,"EM"
2.52,3,11753.66,"Esplen",2005,4,7362.7027027027,"FB"
2.86,55,10286,"Brillante",2014,55,7751.55555555556,"EM"
3.35,32,9665,"Brillante",2015,76,5312.45454545455,"FB"
2.72,19,9718.68,"Quilante",1991,70,2203.59550561798,"FC"
2.61,20,9739,"Brillante",1985,27,4434.33333333333,"EM"
2.14,19,11790.61,"Esplen",1977,66,5083.05128205128,"FB"
3.17,8,13320.93,"Vibranto",1966,78,5506.38596491228,"EM"
2.66,70,13273.24,"Vibranto",1977,90,2613,"FB"
2.98,1,10291.42,"Solario",1979,79,15196.7142857143,"ET"
2.96,3,11682.95,"Esplen",1970,89,4228.95238095238,"EM"
2.05,5,10202.33,"Solario",2002,1,24869,"FB"
2.56,54,10247,"Solario",2001,61,5061.27536231884,"ET"
2.21,11,9779,"Brillante",1967,96,5960.82978723404,"FB"
2.04,19,11783.49,"Esplen",1993,87,3959.7027027027,"EM"
1.89,10,11816.36,"Esplen",1974,5,4888.95238095238,"ET"
2.33,10,11775.7,"Esplen",2011,44,5376.82278481013,"EM"
2.34,25,9774.17,"Quilante",2014,6,9963.66666666667,"EM"
2.59,7,9750.01,"Quilante",1987,89,6008.53731343284,"FB"
3.09,12,10312.73,"Solario",1967,30,6044.36363636364,"ET"
2.2,12,10220,"Brillante",1998,97,3646.13793103448,"ET"
2.98,16,9715.26,"Quilante",1969,95,4051.88888888889,"ET"
2.17,3,11778.77,"Esplen",1965,37,1364.10101010101,"FC"
2.18,11,13230.52,"Vibranto",2007,16,5791.51219512195,"FB"
2.45,15,9761.81,"Quilante",1983,34,2020.35135135135,"EM"
2.26,3,10226,"Brillante",2008,74,6326.14285714286,"FB"
3.01,1,13282.07,"Vibranto",1973,39,3421.95652173913,"FB"
1.87,9,11823.53,"Esplen",1976,12,1998.27536231884,"EM"
1.7,1,4997.39,"Ardent",1993,8,3412.0243902439,"FB"
2.41,2,13231.54,"Vibranto",1970,3,3249.78947368421,"EM"
2.01,70,11796.37,"Esplen",2000,31,5605.78431372549,"EM"
3.03,65,9209.93,"Ardent",2017,32,4105.77777777778,"FC"
2.83,97,9713.03,"Quilante",1977,37,5350.8064516129,"FC"
2.64,26,5675.75,"Ardent",1997,39,10155.3076923077,"FB"
2.48,27,10265.67,"Solario",1975,19,50112,"FB"
2.13,25,5622.37,"Ardent",2003,99,2263,"FC"
2.51,15,5209.08,"Ardent",1995,86,5213.58823529412,"FB"
2.12,26,9798.39,"Quilante",2010,16,7010.7027027027,"ET"
2.88,12,9712,"Brillante",2001,14,8908.15789473684,"ET"
3.53,2,13360.78,"Vibranto",2012,41,4117.05128205128,"FB"
2.2,6,13229.31,"Vibranto",1995,18,3811.27536231884,"FB"
2.71,17,13292.77,"Vibranto",1990,48,5195.10256410256,"ET"
1.86,10,10186,"Brillante",2016,16,1759.63157894737,"EM"
2.88,26,9721.87,"Quilante",2017,27,3248.46153846154,"FB"
2.53,60,11738.79,"Esplen",2017,94,3560.63157894737,"ET"
2.73,8,10284.88,"Solario",1981,12,3680.91525423729,"FB"
3.16,11,5112.24,"Ardent",2007,80,5575.5,"FB"
2.82,4,13271.13,"Vibranto",1999,58,6481.85185185185,"FB"
2.76,5,11708.19,"Esplen",1996,21,4202.13793103448,"FC"
3.42,38,9660.55,"Quilante",1990,100,4129.17647058824,"EM"
2.39,4,13249.27,"Vibranto",2013,86,11941,"ET"
2.09,6,9786.9,"Quilante",1980,91,7747.77777777778,"ET"
2.92,32,9712.81,"Quilante",1982,71,3764.18181818182,"FB"
2.66,10,13260.79,"Vibranto",1971,7,3551.81927710843,"FC"
2.5,16,9753.79,"Quilante",1978,95,2346.90322580645,"EM"
2.21,27,9776.26,"Quilante",2003,48,53073,"FB"
2.32,31,9753.7,"Quilante",1970,96,13106,"FC"
1.79,5,10157.81,"Solario",1985,54,3900.18181818182,"EM"
2.07,45,10207,"Brillante",1966,9,3588.85185185185,"FC"
2.61,40,13279.32,"Vibranto",1994,85,1797.9010989011,"ET"
3.27,7,9668.94,"Quilante",2006,55,8086,"FC"
3.07,46,10306.85,"Solario",2013,54,6000.55555555556,"EM"
2.47,13,9753,"Brillante",2007,86,5838,"EM"
3.03,51,7610.45,"Ardent",1988,62,7094,"ET"
2.28,20,13210.33,"Vibranto",2014,17,4179.59550561798,"FB"
2.98,6,9705.5,"Quilante",1999,62,2989.81632653061,"FB"
3.12,41,10311.02,"Solario",2008,70,5153.33333333333,"ET"
2.2,8,11788.46,"Esplen",1981,86,1708.33333333333,"EM"
2.32,5,10240.93,"Solario",1978,38,7565.82608695652,"FC"
2.26,34,9770.34,"Quilante",1975,74,6146.72727272727,"FB"
2.89,35,10295.6,"Solario",1979,43,37387.3333333333,"FB"
1.76,27,11826.03,"Esplen",1981,66,5500.10256410256,"FB"
2.49,8,11741.04,"Esplen",1984,82,4820.56790123457,"FC"
2.01,41,10206.15,"Solario",1971,29,5620.38596491228,"EM"
1.79,4,11822.28,"Esplen",1996,69,5199.11111111111,"EM"
2.32,1,9761.36,"Quilante",2005,70,6634.72727272727,"ET"
3.06,9,13298.23,"Vibranto",2008,17,7177.77777777778,"FB"
3.54,14,10362.43,"Solario",1976,44,7640.82608695652,"EM"
2.52,6,10252,"Brillante",2018,14,5535.77777777778,"EM"
1.58,4,9844.27,"Quilante",2003,42,5890.0243902439,"ET"
2.1,23,11801.98,"Esplen",1973,80,5375.71428571429,"FB"
3.18,7,9682,"Brillante",1997,39,7272.0243902439,"EM"
2.11,36,10221.39,"Solario",2012,44,7545.85714285714,"ET"
3.23,10,9677,"Brillante",1989,8,5709.7027027027,"FC"
2.39,4,11748.1,"Esplen",1992,6,6092.78947368421,"EM"
2.98,29,13315.08,"Vibranto",1973,74,1984.91525423729,"FB"
2.03,70,9791.21,"Quilante",1997,46,6761.71428571429,"EM"
2.85,0,10280.92,"Solario",1993,98,6553.66666666667,"ET"
2.64,0,9749.38,"Quilante",2001,98,8460,"FC"
2.08,4,9785.36,"Quilante",1994,8,3552.91525423729,"FC"
2.25,6,5022.94,"Ardent",2018,71,7255.15789473684,"EM"
3.33,16,10329.81,"Solario",1990,32,5762.90476190476,"EM"
2.25,22,13214.17,"Vibranto",1966,81,5097.77777777778,"FB"
1.78,67,9833.52,"Quilante",2019,14,1231.11111111111,"FB"
2.29,37,9774.84,"Quilante",1981,27,2764.56790123457,"EM"
2.89,35,9716.23,"Quilante",1965,79,22677,"FC"
2.34,14,13224.62,"Vibranto",2008,54,14722,"FC"
2.75,37,13270.68,"Vibranto",1978,7,7496,"EM"
2.84,2,10287.08,"Solario",2018,48,4156.58823529412,"FB"
2.25,19,10211.28,"Solario",1999,97,3336.42528735632,"FC"
2.42,4,10234.02,"Solario",1983,93,1452.92783505155,"FB"
2,4,11793.42,"Esplen",2016,98,5386.92783505155,"ET"
2.31,4,13224.3,"Vibranto",1987,3,2957.91525423729,"ET"
2.51,11,10230.98,"Solario",2013,91,4842.33333333333,"FC"
1.64,14,10164,"Brillante",2014,77,4087.17647058824,"EM"
2.3,17,9775.31,"Quilante",1976,95,5174.33333333333,"FC"
2.25,26,11769.77,"Esplen",1986,97,6565.38596491228,"FB"
2.59,30,9754.93,"Quilante",2007,80,7723.66666666667,"FC"
2.3,58,10234.59,"Solario",1987,61,3508.27536231884,"FB"
2.45,1,9777.22,"Quilante",2006,89,2754.05128205128,"ET"
2.12,12,11798.11,"Esplen",2006,81,13251.9090909091,"EM"
2.01,10,9807.01,"Quilante",1978,12,6323.5,"EM"
2.94,20,9696.01,"Quilante",1984,17,3051.95238095238,"FB"
1.53,23,9847,"Brillante",1975,89,54348,"ET"
3.57,5,11616.88,"Esplen",2000,32,6391.45454545455,"ET"
2.61,11,5135.74,"Ardent",1990,7,3610.78431372549,"ET"
1.77,16,9823,"Brillante",2011,97,6764.07692307692,"FC"
2.3,88,11779.1,"Esplen",1994,93,20124.6666666667,"FC"
2.54,5,10254,"Brillante",1972,46,5834.92783505155,"FC"
2.69,2,11728.96,"Esplen",2011,33,3960.57894736842,"EM"
2.41,6,10251.84,"Solario",1971,63,4980.15151515152,"FC"
3.32,54,13318.06,"Vibranto",1994,34,1538.86301369863,"FC"
2.04,23,11787.45,"Esplen",2006,31,3509.7027027027,"EM"
1.99,42,10199,"Brillante",1966,95,4656.51219512195,"FB"
2.12,4,5020.56,"Ardent",2008,27,4857.72727272727,"EM"
2.22,23,13217.75,"Vibranto",1966,7,3112.18181818182,"EM"
2.91,17,9709,"Brillante",1973,17,4937.56790123457,"ET"
2.64,14,11730.9,"Esplen",1973,49,6409.35294117647,"EM"
2.23,3,10229.71,"Solario",1969,83,100463,"ET"
2.8,59,8492.38,"Ardent",1967,41,1243.59550561798,"FB"
2.41,1,13231.49,"Vibranto",2016,96,102488,"EM"
2.49,29,13243.15,"Vibranto",1998,37,5976.71428571429,"FB"
2.54,1,10238.59,"Solario",1993,78,9614.15789473684,"ET"
