Genre,Content,Audience,Income,ID
Comedy,PG,12470.67,44775.6,78
Action,PG13,38898.44,32127.47,79
Action,PG13,1555.49,38814.69,80
Comedy,PG13,36407.54,4915.35,81
Comedy,PG,3356.87,14421.99,82
Drama,PG13,20649.34,33913.97,83
Documentary,PG,22089.79,27278.37,84
Action,PG13,16814.97,48189.27,85
Documentary,R,35257.83,21987.55,86
Drama,PG,12921.04,46455.4,87
Documentary,PG,2544.34,32144.95,88
Action,R,38040.35,5971.86,89
Drama,PG,13219.87,698.18,90
Action,R,28468.78,28351.77,91
Action,R,26439.11,29223.21,92
Documentary,PG,503,11279.8,93
Comedy,PG,5635.02,11196.68,94
Drama,PG13,27067.81,6029.83,95
Comedy,PG,26729.41,1486.36,96
Comedy,PG13,4589.55,45736.64,97
Drama,PG,36981.23,1405.86,98
Comedy,PG,8565.81,22280.58,99
Comedy,PG13,33218.01,16779.07,100
Action,PG,14884.55,2012.06,101
Action,R,9345.29,26193.55,102
Documentary,PG13,2230.14,32209.51,103
Drama,R,39535.09,39648.8,104
Documentary,R,20862.7,31137.11,105
Comedy,R,35487.79,30333.03,106
Drama,PG,35752.86,40511.05,107
Comedy,R,29009.14,39795,108
Action,PG,7123.59,6286.99,109
Action,PG,19130.64,28416.15,110
Comedy,PG,34787.99,5079,111
Documentary,PG13,24801.77,7975.08,112
Action,R,12107.78,23982.65,113
Documentary,PG13,33082.58,8576.99,114
Documentary,PG,25076.74,44783.73,115
Documentary,R,20188.09,23833.37,116
Comedy,PG13,7508.24,40470.16,117
Documentary,PG13,22373.86,47512.83,118
Comedy,R,11180.7,48843.91,119
Action,PG13,19972.68,13126.98,120
Action,PG13,36680.87,36843.67,121
Action,R,9374.16,18642.6,122
Drama,PG13,23345.35,28881.22,123
Comedy,PG,25364.47,40608.16,124
Documentary,R,34030.39,36240.05,125
Action,R,22552.36,42345.8,126
Comedy,PG,22200.1,45985.26,127
Comedy,R,19654.79,16808.26,128
Action,R,22753.01,44543.16,129
Documentary,R,15535.36,9594.79,130
Drama,R,16833.86,29296.66,131
Comedy,R,39467.22,27327.18,132
Drama,R,22992.46,37525.4,133
Documentary,R,16617.17,48914.86,134
Action,R,7902.31,800.99,135
Comedy,PG,2992.76,12736.57,136
Documentary,PG13,9858.77,8463.26,137
Drama,PG13,33925.58,36656.93,138
Comedy,PG13,22605.11,48285.22,139
Documentary,PG13,29021.04,19154.95,140
Drama,PG13,23226.77,34596.95,141
Drama,R,3879.75,47417.71,142
Comedy,PG,35424.87,39591.92,143
Documentary,PG13,37791.58,21400.65,144
Comedy,PG13,37872.58,22754.41,145
Action,PG,15221.95,39664.17,146
Documentary,PG,15787.93,25515.66,147
Documentary,PG,9215.7,30616.47,148
Documentary,R,38580.21,3944.15,149
Action,R,37029.42,34485.14,150
Drama,PG13,17083.69,21103.94,151
Drama,PG,32979.89,19660.39,152
Comedy,PG,26671.92,596.15,153
Drama,PG13,19483.5,41076.5,154
Comedy,R,11339.77,41949.69,155
Documentary,PG13,5514.14,18556.98,156
Documentary,PG13,17246.79,42047.26,157
Action,PG,2722.4,8966.02,158
Comedy,R,32015.16,41610.19,159
Comedy,PG,14579.47,39179.08,160
Drama,PG,22035.08,4978.67,161
Drama,PG,27464.57,7551.84,162
Comedy,PG,24824.12,35944.34,163
Action,R,21317.33,20381.73,164
Comedy,PG13,37477.91,19648.9,165
Action,R,37601.49,49715.11,166
Drama,PG,27805.54,19359.72,167
Comedy,PG,19291.34,4300.52,168
Action,PG,38204.26,5865.31,169
Documentary,PG13,527.48,36709.58,170
Drama,PG13,3599.12,48019.44,171
Documentary,PG13,38369.85,45795.34,172
Documentary,PG13,1180.77,48774.37,173
Drama,PG,28653.12,39231.45,174
Comedy,PG13,8012.22,23942.74,175
Documentary,PG13,474.94,44959.47,176
Drama,PG,11099.03,9323.64,177
Comedy,PG,3428.46,8000.09,178
Action,PG13,25772.91,27680.96,179
Documentary,PG13,3664.16,4406.38,180
Comedy,PG13,26577.35,11653.71,181
Drama,PG13,1530.45,38004.91,182
Action,R,7685.21,25902.86,183
Drama,PG13,7592.75,25512.36,184
Documentary,PG,28921.48,22274.17,185
Comedy,R,26712.65,47075.07,186
Documentary,PG,31365.85,33600.18,187
Drama,PG13,22144.95,47060.35,188
Action,PG,3007.19,21543.26,189
Comedy,R,2850.58,17794.22,190
Documentary,PG,26866.01,19722.4,191
Action,R,38185.4,17873.66,192
Documentary,PG,35210.1,970.91,193
Comedy,R,948.16,49467.93,194
Action,R,23893.28,40237.32,195
Drama,PG,13948.33,30292.85,196
Documentary,PG,11999.45,46787.32,197
Documentary,PG13,4255.79,32455.12,198
Comedy,PG,10235.26,43353.1,199
Comedy,R,27457.01,40836.53,200
Drama,PG13,33354.09,23760.09,201
Comedy,PG13,38311.81,6725.6,202
Action,PG,36277.76,15566.03,203
Drama,PG,30017.15,46275.1,204
Drama,PG13,9600.41,19582.5,205
Drama,R,39580.74,27275.89,206
Action,PG13,38345.08,38818.11,207
Documentary,R,36353.77,45958.85,208
Comedy,R,28490.41,24528.74,209
Drama,PG,5141.95,46784.57,210
Action,PG,771.13,46614.95,211
Drama,PG13,19712.92,13012.12,212
Drama,PG13,20324.02,8854.04,213
Documentary,R,11062.93,18362.93,214
Documentary,PG,20578.94,30838.51,215
Drama,PG,29273.98,35664.19,216
Comedy,PG13,32676.26,18375.03,217
Drama,PG13,14209.49,41936.06,218
Comedy,PG,11492.56,20896.88,219
Comedy,R,30997.25,11070.62,220
Drama,PG13,4003.33,37719.94,221
Comedy,R,17808.15,46094.31,222
Comedy,PG13,22364.19,14923.01,223
Drama,R,1602.37,45156.96,224
Action,PG,13576.89,38283.66,225
Drama,PG,23683.25,17293.63,226
Drama,PG,19674.18,7980.17,227
Drama,R,12328.81,3846.98,228
Action,PG13,14818.47,9111.26,229
Documentary,R,14150.15,14564.93,230
Documentary,PG,38628.59,15096.09,231
Drama,PG,3495.45,4424.58,232
Action,R,29556.81,14782.5,233
Comedy,R,37222.86,44778.9,234
Comedy,R,14402.68,33717.26,235
Action,PG13,24426.38,47321.12,236
Action,R,28006.22,46687.76,237
Comedy,PG13,30508.11,39143.15,238
Action,PG,36246.42,9137.99,239
Comedy,PG13,27533.88,12829.58,240
Documentary,PG,8998.68,6050,241
Comedy,R,32968.4,45761.04,242
Drama,R,14687.81,30387.38,243
Comedy,PG13,37445.11,6249.12,244
Action,PG,8309.33,41831.48,245
Documentary,R,6680.79,14251.91,246
Action,PG13,7037.34,37762.41,247
Documentary,PG13,30085.11,25048.13,248
Drama,R,35197.77,27533.37,249
Action,PG,1300.14,7321.54,250
Comedy,R,7945.06,18616.56,251
Action,PG,25384.92,41199.37,252
Documentary,PG,32642.48,39781.11,253
Drama,PG13,1027.07,8913.97,254
Drama,PG,11379.56,39880.07,255
Action,R,9463.89,49664.2,256
Documentary,PG,13577.01,29751.83,257
Drama,PG13,16288.12,46336.76,258
Comedy,PG,18041.03,6105.02,259
Documentary,PG13,28760.75,21175.06,260
Drama,PG13,21197.99,29470.08,261
Action,PG,34643.69,26116.51,262
Comedy,PG13,15993.25,41027.39,263
Drama,PG,22930.26,1218.18,264
Comedy,PG13,26355.88,11917.4,265
Drama,R,28918.72,14416.6,266
Drama,PG13,35927.55,31156.77,267
Comedy,R,4378.24,34690.89,268
Drama,PG,1617.84,30030.82,269
Comedy,PG13,9382.26,33810.62,270
Documentary,PG,38278.92,10106.66,271
Documentary,PG13,17490.49,4893.28,272
Comedy,PG13,22876.22,21635.22,273
Action,R,32507.15,44133.76,274
Drama,PG,28204.83,26065.75,275
Comedy,PG13,14476.58,17521.15,276
Drama,PG13,15271.82,26016.9,277
Comedy,PG13,13799.13,43122.12,278
Documentary,PG13,22173.79,27944.05,279
Documentary,R,2297.54,32906.34,280
Drama,R,37006.41,21938.35,281
Comedy,R,33345.48,22520.42,282
Comedy,R,32562.14,21594.2,283
Drama,R,17770.38,38019.22,284
Documentary,R,5064.3,46204.47,285
Comedy,PG13,23994.5,25222.37,286
Drama,PG13,29589.86,47545.34,287
Comedy,R,22804.76,9263.49,288
Action,R,32954.76,1192.87,289
Action,R,36829.38,38622.91,290
Comedy,R,8772.3,11157.65,291
Comedy,R,27958.78,5870.22,292
Drama,R,35213.93,28017.17,293
Comedy,PG,325.23,5700.76,294
Action,R,32816.52,49085.26,295
Drama,PG13,21685.04,28231.57,296
Action,PG,9375.12,20270.64,297
Documentary,PG13,36666.08,5055.77,298
Drama,R,8678.35,24149.27,299
Drama,PG13,1647.18,10497.07,300
Documentary,PG,8942.87,30015.61,301
Drama,R,4961.19,49655.47,302
Action,R,23927.94,18903.12,303
Documentary,PG,908.79,43288.97,304
Action,PG13,2228.68,11100.11,305
Action,PG,14407.14,30007.16,306
Action,R,32773.5,6014.46,307
Action,PG13,38803.4,404.29,308
Drama,PG,29548.36,32926.42,309
Drama,PG,1640.11,37354.3,310
Documentary,PG,8858.43,2568.31,311
Documentary,PG,37157.13,11784.88,312
Action,PG,20279.6,6114.25,313
Comedy,PG13,18107.49,1089.72,314
Documentary,R,3459.39,32360.46,315
Comedy,PG,34824.1,20206.89,316
Drama,PG,15935.66,48623.78,317
Drama,PG,23836.06,14598.78,318
Documentary,R,10617.18,32004.55,319
Drama,PG,27986.16,32694.45,320
Comedy,PG13,21334.38,37436.89,321
Comedy,PG,36183.52,9737.07,322
Action,R,15580.9,13768.55,323
Action,PG,26789.81,14014.53,324
Action,PG13,38924.77,36823.52,325
Documentary,PG,37504.5,28798.57,326
Drama,PG,25306.09,38180.26,327
Action,PG,28435.21,46381.25,328
Documentary,PG,5014.63,42252.58,329
Drama,PG,32348.49,5589.51,330
Documentary,PG,1658.36,11856.46,331
Comedy,PG,15315.37,36048.97,332
Comedy,R,30708.93,48075.74,333
Documentary,R,7267.11,26238.59,334
Documentary,R,33634.2,23009.48,335
Action,PG,3300.91,42325.66,336
Comedy,PG13,34387.17,39765.25,337
Documentary,PG,17593.63,45020.31,338
Comedy,R,2683.08,20242.45,339
Drama,PG13,10287.73,45514.12,340
Comedy,R,37209.25,47835.82,341
Action,PG13,7517.83,28264.58,342
Action,PG13,10792.5,43553.24,343
Comedy,PG,11765.65,33383.6,344
Drama,PG13,3444.04,20447.63,345
Action,PG13,19851.55,38459.05,346
Action,R,1073.71,39161.95,347
Documentary,R,19470.44,44111.54,348
Documentary,PG13,16885.27,9915.11,349
Action,PG,15749.91,1342.51,350
Drama,PG,5873.16,17824.12,351
Comedy,R,7909.15,15135.49,352
Action,R,30001.5,46316.07,353
Documentary,PG13,5377.6,2915.05,354
Comedy,PG13,33051.05,4572.22,355
Documentary,R,36614.66,15407.37,356
Comedy,R,29989.84,12492.27,357
Comedy,PG13,11147.86,4082.04,358
Documentary,PG,36011.54,6194.71,359
Action,PG,7536.58,21120.48,360
Comedy,PG13,15121.34,24606.92,361
Documentary,PG,19432.9,1493.76,362
Action,PG,16711.45,44925.76,363
Comedy,R,13323.47,39166.52,364
Drama,R,13749.11,11254.56,365
Comedy,PG,19644.35,34613.01,366
Documentary,PG13,26455.82,22884.78,367
Action,R,24787.32,44022.33,368
Comedy,R,1756.11,11842.62,369
Drama,PG,37053.15,31964.75,370
Comedy,PG,32326.7,27975.19,371
Documentary,PG13,37883.08,28971.14,372
Action,PG13,3020.8,22232.86,373
Action,PG,36478.38,44884.61,374
Comedy,PG13,14735.42,24973.11,375
Comedy,PG,20337.35,49500.35,376
Documentary,PG,18162.06,19844.57,377
Drama,PG13,3155.02,23206.36,378
Drama,R,7119.46,21290.78,379
Drama,PG13,25343.15,48649.05,380
Comedy,PG13,32530.86,40380.49,381
Action,PG,38893.32,36453.18,382
Action,PG13,1403.63,18218.95,383
Documentary,PG,3005.26,8411.64,384
Action,R,15954.75,18568.76,385
Documentary,PG13,25328,15998.39,386
Comedy,R,24639.94,13527.96,387
Action,PG13,18247.56,44130,388
Comedy,PG13,34998.68,34624.18,389
Documentary,R,18955.19,13306.15,390
Drama,R,17950,36374.82,391
Comedy,PG13,20281.14,5057.96,392
Drama,PG,4526.73,35709.41,393
Documentary,R,7145.43,16402.77,394
Action,PG,24937.47,25857.9,395
Comedy,PG,10653.67,37182.81,396
Comedy,R,25850.68,24565.76,397
Action,PG,1285.62,22108.3,398
Action,PG13,26417.92,36783.5,399
Drama,PG,24090.47,8802.06,400
Documentary,PG13,21602.18,45771.53,401
Action,R,25308.86,5851.92,402
Action,PG13,12995.45,17173.79,403
Comedy,R,15973.48,41511.04,404
Comedy,PG,10850.33,25688.73,405
Action,PG13,15059.59,10105.72,406
Drama,R,34661.18,31070.25,407
Drama,PG13,13819.62,12140.2,408
Drama,R,18412.59,26444.38,409
Comedy,R,26708.61,14072.51,410
Action,R,24497.7,30097.79,411
Drama,PG13,31722.13,1665.86,412
Documentary,PG,30290.18,28559.81,413
Documentary,R,26870.94,21888.05,414
Action,R,7638.07,13656.41,415
Comedy,R,11703.46,17338.13,416
Drama,PG,2401.4,27562.93,417
Documentary,PG,17791.6,2228.4,418
Action,PG,29544.45,37161.94,419
Documentary,R,32820.89,21812.43,420
Documentary,PG13,28677.18,27788.61,421
Documentary,PG13,21260.57,26539.43,422
Documentary,PG,830.52,19050.84,423
Comedy,R,5143.35,39713.23,424
Documentary,PG13,12129.34,36351.7,425
Documentary,PG13,20923.54,45085.38,426
Action,R,10823.99,3276.48,427
Action,PG,12945.91,21486.99,428
Action,PG13,1519.31,24118.28,429
Documentary,PG,12674.28,918.68,430
Drama,PG13,1725.41,7656.79,431
Action,PG,7699.89,42807.12,432
Action,PG13,37057.14,38283.12,433
Documentary,PG,9770.23,8321.52,434
Documentary,PG,28393.03,12204.33,435
Comedy,PG13,38102.66,37824.01,436
Action,PG13,11837.78,22809.67,437
Comedy,PG13,33611.18,16180.84,438
Comedy,PG,5149.69,46734.05,439
Action,PG,31056.84,43983.88,440
Action,PG,35334.49,3042.2,441
Comedy,PG13,10876.99,45174.54,442
Action,PG,35944.01,28153.09,443
Drama,R,809.82,21041.17,444
Drama,R,5649.07,44217.38,445
Action,PG,24657.24,14774.98,446
Comedy,R,2224.64,38327.06,447
Comedy,PG,35478.85,13146.84,448
Documentary,R,8241.27,30827.13,449
Drama,PG,12105.31,22714.5,450
Comedy,PG13,14016.4,38372.46,451
Action,R,20805.81,13679.16,452
Drama,R,23970.23,5105.88,453
Drama,PG13,14217.12,41149.1,454
Documentary,PG,14014.86,17616.09,455
Comedy,PG,22667.49,33564.04,456
Action,R,27913.69,43732.41,457
Action,PG,21580.53,14023.4,458
Documentary,PG13,29206.64,7597.47,459
Action,R,20758.2,15466.28,460
Documentary,PG,36351.9,5663.72,461
Documentary,R,16546.28,13789.56,462
Action,PG13,37876.42,15765.57,463
Drama,R,13331.57,22028.27,464
Comedy,PG,32127.38,1424.31,465
Comedy,R,24850.21,40883.46,466
Documentary,PG,13465.66,31930.72,467
Comedy,PG,606.06,37779.88,468
Drama,R,20734.56,12910.33,469
Action,PG13,26158.55,48868.06,470
Comedy,PG,10318.03,28813.04,471
Action,PG,32958.96,44449.48,472
Documentary,PG13,35208.95,9115.09,473
Drama,PG,34182.75,26940.3,474
Action,PG,7022.12,10265.63,475
Comedy,R,33917.06,26538.71,476
Documentary,R,8673.29,7251.6,477
Comedy,R,9172.29,45305.21,478
Action,PG,18766.75,44358.09,479
Comedy,PG13,19933.61,49470.04,480
Documentary,PG,25161.49,49656.9,481
Drama,R,27067.04,5300.84,482
Action,PG13,27705.64,20151.68,483
Action,PG13,8875.67,3311.48,484
Drama,PG13,35604.77,5763.74,485
Drama,R,399.84,19196.47,486
Action,R,25985.66,48167.11,487
Drama,R,34503.08,15237.52,488
Documentary,R,38168.62,42011.41,489
Drama,PG,25899.18,8603.54,490
Comedy,PG,3045.61,38011.74,491
Comedy,PG,12663.33,930.87,492
Drama,PG,23227.91,30623.87,493
Drama,R,21247.93,17072.59,494
Action,PG,21831.52,1784.43,495
Comedy,R,8495.53,48730.71,496
Action,PG13,38722.45,44890.28,497
Action,PG,24860.96,34061.79,498
Comedy,PG,10437.07,15016.69,499
Drama,PG13,25337.95,32387.66,500
Drama,PG13,21415.67,22086.29,501
Documentary,R,12551.38,43160.95,502
Comedy,PG13,20096.38,7638.96,503
Drama,PG13,9993.82,12747.29,504
Action,PG,19044.88,4249.54,505
Documentary,PG,25313.34,13378.26,506
Comedy,R,14948.14,36030.34,507
Documentary,PG,18339.95,48420.42,508
Action,PG13,22809.28,16347.79,509
Action,R,10416.19,22130.1,510
Drama,PG13,9260.49,45403.84,511
Drama,PG13,458.92,12946.18,512
Documentary,R,34777.11,24814.2,513
Drama,PG13,9620.11,29784.71,514
Documentary,PG13,8602.25,3226.4,515
Action,R,8035.14,5159.37,516
Documentary,R,3694.11,16285.35,517
Comedy,PG13,35235.56,10920.99,518
Drama,PG,13989.22,28505.06,519
Action,R,17541.96,43178.7,520
Documentary,PG,38415.18,42097.83,521
Comedy,PG,9698.58,21686.15,522
Drama,PG13,8888.22,13265.93,523
Drama,R,28774.19,22316.21,524
Action,R,7901.73,39724.52,525
Comedy,R,8135.17,27220.59,526
Documentary,PG13,13059.54,45715.93,527
Comedy,PG13,15867.75,34050.55,528
Documentary,R,3386.15,1855.24,529
Documentary,PG,29485.4,4420.69,530
Action,PG13,4228.06,43952.84,531
Action,PG,5523.87,29932.7,532
Action,PG13,34761.4,32976.15,533
Action,R,23630.02,12689.31,534
Action,R,16279.68,45537.46,535
Comedy,R,32703.62,30655.99,536
Drama,PG13,34372.89,12718.37,537
Action,PG13,36623.27,3254.94,538
Action,R,5121.59,6018.55,539
Documentary,PG13,6037.12,44338.14,540
Documentary,PG,38106.72,10107.86,541
Action,PG,32847.86,1871.02,542
Drama,PG,12927.86,17569.92,543
Action,R,25010.58,6983.19,544
Documentary,PG13,19027.4,26806.24,545
Comedy,PG13,5536.54,26644.8,546
Comedy,R,28214.42,15808.04,547
Documentary,R,4608.09,22148.88,548
Documentary,R,39958.64,447.34,549
Action,R,11264.61,27649.63,550
Comedy,PG13,34970.92,3593.02,551
Documentary,PG13,12897.87,28177.73,552
Drama,PG13,29095.46,18304.37,553
Drama,PG13,1669.77,32309.85,554
Documentary,R,5952.28,26586.25,555
Action,PG,17401.86,15317.74,556
Action,R,13336.35,20909.47,557
Comedy,R,2192.94,35561.05,558
Drama,PG13,10619.64,13168.97,559
Action,R,6183.13,1848.89,560
Comedy,PG,8279.14,43537.02,561
Documentary,R,22936.84,13181.36,562
Documentary,PG13,20391.32,35217.77,563
Documentary,PG,22461.88,32971.24,564
Comedy,PG13,3577.15,17467.94,565
Comedy,PG13,23307.29,46419.44,566
Drama,PG13,12626.12,35874.95,567
Drama,R,21537.74,9303.26,568
Comedy,PG13,18268.84,14922.91,569
Action,R,37847.74,36105.41,570
Drama,R,3572.15,32483.62,571
Drama,R,2658.61,10245.75,572
Comedy,R,25788.79,49048.29,573
Drama,PG13,5374.72,44060.74,574
Drama,PG13,7357.2,16441.33,575
Comedy,PG13,18784.36,3889.58,576
Documentary,PG13,30872.77,7736.89,577
Action,R,24019.34,4801.85,578
Comedy,R,30830.95,12591.09,579
Drama,PG13,34204.34,31938.08,580
Drama,PG13,24702.85,5136.64,581
Comedy,PG,35794.54,38165.2,582
Action,R,28210.05,35343.36,583
Documentary,PG13,21865.65,5199.99,584
Drama,PG13,34083.3,9367.67,585
Comedy,R,15424.41,16091.44,586
Drama,PG,15250.19,4689.36,587
Comedy,PG,8054.14,29047,588
Documentary,PG,37345.78,31013.47,589
Documentary,R,24899.52,45346.92,590
Documentary,PG,30233.59,15515.88,591
Drama,R,20026.72,12428.35,592
Comedy,R,7436.74,843.22,593
Drama,PG13,39849.03,36659.06,594
Comedy,R,4131.29,12967.46,595
Documentary,PG,10928.8,33431.51,596
Comedy,R,20628.1,22734.49,597
Drama,R,3677.27,29508.45,598
Documentary,PG,8450.28,28200.84,599
Documentary,R,9770.01,28731.97,600
Action,R,27852.27,5802.71,601
Comedy,PG13,15714.9,41197.91,602
Documentary,PG,16767.84,41619.07,603
Documentary,R,28638.31,34057.08,604
Comedy,PG13,26892.13,8398.53,605
Action,PG,35624.84,4614.17,606
Action,R,2543.99,40766.16,607
Comedy,R,16460.16,8483.61,608
Documentary,PG13,13091.16,33236.39,609
Action,PG,4627.13,18748.24,610
Documentary,PG13,21906.72,15577.69,611
Documentary,PG,11332.91,34530.25,612
Action,PG13,4328.35,26303.67,613
Documentary,PG13,38764.42,49271.72,614
Documentary,PG13,8361.65,38352.13,615
Drama,PG,20433.69,40324.61,616
Documentary,R,17098.39,5407.3,617
Action,PG13,15267.85,41424.21,618
Documentary,PG,33173.87,35731.98,619
Comedy,PG,903.44,7191.78,620
Comedy,PG13,14151.13,7847.96,621
Comedy,PG,8572.66,49870.44,622
Action,R,3755.87,43582.34,623
Comedy,PG,14134.47,14548.35,624
Documentary,PG,34239.55,11454.58,625
Action,PG,8651.93,31854.96,626
Drama,PG,35197.11,20597.76,627
Comedy,R,22947.85,33902.71,628
Drama,PG,27070.01,1961.42,629
Documentary,PG,9424.41,27192.3,630
Action,PG13,15580.02,2992.13,631
Comedy,PG,1514.35,42792.43,632
Comedy,PG13,14331.59,8586.08,633
Documentary,R,31201.65,43180.34,634
Drama,R,19699.98,39969.61,635
Action,PG,22143.92,19154.68,636
Comedy,R,19527.12,15561.26,637
Comedy,PG13,12041.62,26146.98,638
Action,R,13136.14,29187.5,639
Documentary,R,13037.1,19819.31,640
Documentary,PG13,11036.62,6542.43,641
Action,R,36207.95,8075.95,642
Comedy,PG13,23904.6,46484.98,643
Comedy,R,16380.56,49060.91,644
Action,PG,15815.04,46963.23,645
Documentary,PG,4015.42,32557.56,646
Documentary,R,2559.9,22761.94,647
Comedy,PG13,22741.65,18008.86,648
Drama,PG,25432.96,46038.71,649
Comedy,PG13,7320.71,34684.8,650
Documentary,PG13,15213.69,38520.35,651
Action,R,2615.21,30173.63,652
Comedy,R,11037.51,15802.26,653
Comedy,PG13,408.48,9901.18,654
Comedy,R,30046.03,7105.02,655
Action,PG,3152.52,39489.12,656
Documentary,PG13,27642.38,49281.26,657
Documentary,PG,22701.33,1040.87,658
Action,PG13,28855.08,34766.11,659
Comedy,PG13,2359.69,46686.16,660
Comedy,PG13,34223.8,45813.67,661
Documentary,PG13,16316.18,48165.76,662
Action,PG,23982.58,11616.95,663
Documentary,R,7615.25,34672.61,664
Drama,PG13,38044.93,15543.11,665
Comedy,R,3975.12,1660.93,666
Documentary,PG,30485.58,26943.11,667
Action,PG13,8798.34,10093.99,668
Documentary,PG,26248.25,25961.4,669
Comedy,R,34588.14,42220.26,670
Documentary,PG,36277.73,22415.37,671
Comedy,PG13,3094.36,2809.93,672
Documentary,PG13,34748.93,3709.1,673
Action,R,6973.95,2798.13,674
Drama,PG13,37891.4,20422.06,675
Drama,PG13,9787.16,18155.2,676
Action,R,37219.81,28897.79,677
Comedy,R,4402.89,47420.9,678
Comedy,PG13,25348.09,7929.75,679
Action,PG,17633.92,4467.08,680
Drama,R,5084.33,6216.07,681
Action,PG,8494.09,47668.38,682
Documentary,R,31049.93,8870.96,683
Comedy,PG13,26632.8,37759.95,684
Action,PG,28154.45,43991.4,685
Comedy,PG13,3048.4,40243.54,686
Comedy,R,6474.4,33927.16,687
Comedy,PG13,25150.67,41463.78,688
Documentary,PG13,25612.31,30349.69,689
Comedy,PG,20049.36,42928.6,690
Comedy,PG13,33081.42,48895.95,691
Drama,R,12770.53,39905.16,692
Documentary,PG13,27965.1,47134.26,693
Drama,PG,11092.09,29093.82,694
Documentary,PG13,36322.13,12379.14,695
Action,R,1966.59,10367.62,696
Action,PG,22693.12,33625.21,697
Drama,PG13,22116.89,23000.93,698
Comedy,PG,6746.21,48156.16,699
Documentary,R,34633.65,41407.85,700
Drama,PG13,1910.78,44548.54,701
Comedy,PG13,39110.96,624.14,702
Drama,R,8299.75,17364.07,703
Action,R,16031.85,12216.58,704
Comedy,PG,39027.8,47542.91,705
Action,PG13,7548.38,36631.08,706
Action,R,9898.04,34769.34,707
Documentary,PG13,2850.86,42451.66,708
Drama,PG,13033.14,183.18,709
Documentary,PG13,21338.5,27319.49,710
Action,PG13,7821.15,40204.9,711
Comedy,PG13,1482.96,2150.71,712
Drama,PG13,36166.75,34505.07,713
Comedy,R,26567.2,34610.87,714
Comedy,R,3989.67,5096.13,715
Action,PG,4053.35,13983.7,716
Documentary,PG,27512.86,23386.37,717
Documentary,PG,38510.43,37373.67,718
Action,PG13,38587.54,16773.88,719
Drama,PG,29192.5,30634.35,720
Documentary,R,5806.43,35010.2,721
Drama,R,5790.96,27632.52,722
Documentary,R,12645.57,39068.61,723
Comedy,PG13,28111.22,19179.75,724
Drama,PG,3739.89,36048.79,725
Documentary,PG,31406.66,49324.83,726
