Education,Income,Own_Home,Debt,CarValue,Loan
"Primary","97325.55","No","134741.19","36068.35","Yes"
"College","156893.78","No","223923.50","18996.66","No"
"Vocational","116159.63","No","289315.55","10660.52","Yes"
"Vocational","40998.51","Yes","122984.33","3418.66","No"
"Primary","82832.19","No","84338.79","26089.49","Yes"
"College","155064.33","No","155994.15","48194.90","No"
"Primary","164213.50","Yes","380487.89","3542.66","Yes"
"College","100760.04","No","344953.88","24425.68","Yes"
"College","85176.15","No","31697.77","36766.03","Yes"
"Primary","176754.19","Yes","247343.19","25322.16","Yes"
"Primary","189410.14","Yes","331020.33","29638.25","Yes"
"Vocational","102507.78","Yes","181686.21","17727.04","Yes"
"College","56255.70","Yes","299659.69","18526.85","Yes"
"Vocational","193284.80","Yes","174219.85","30061.92","Yes"
"Primary","107917.12","No","75399.60","40204.85","No"
"College","45632.24","No","319109.19","21672.82","No"
"Vocational","129964.59","No","447043.79","23020.16","Yes"
"College","196021.69","No","386820.05","10616.07","No"
"Vocational","118286.85","Yes","64877.71","12733.42","Yes"
"College","142393.88","Yes","18011.35","25443.17","No"
"College","40581.35","Yes","463705.44","30768.86","No"
"Primary","188173.06","No","119903.79","48905.66","Yes"
"Primary","68905.47","Yes","448582.97","49884.67","Yes"
"Primary","75615.63","No","250947.16","15776.20","Yes"
"College","174586.20","No","22167.48","47778.58","No"
"College","188695.63","No","244259.11","20161.11","No"
"College","187702.42","Yes","8701.63","34442.80","Yes"
"Primary","83888.25","No","142972.24","31304.82","No"
"College","86676.06","Yes","218220.21","6058.34","No"
"Primary","106795.22","Yes","118398.30","27074.95","No"
"College","72650.36","Yes","447154.21","48150.09","No"
"Vocational","174563.87","No","449880.98","33773.53","Yes"
"Primary","173838.49","Yes","327151.15","41051.06","No"
"Primary","148952.37","Yes","238746.48","17252.89","No"
"Primary","41356.99","No","225880.82","27951.19","No"
"College","76543.13","Yes","400963.27","30076.82","No"
"Primary","184393.14","No","94311.58","39162.72","No"
"Vocational","58951.25","No","481987.21","22084.71","No"
"College","107723.46","Yes","410819.59","18075.29","Yes"
"Vocational","147123.22","Yes","21652.00","8870.77","Yes"
"College","33790.42","Yes","467474.47","47587.82","No"
"College","65372.58","No","350313.77","14111.26","Yes"
"Vocational","192549.91","Yes","277352.85","37381.95","Yes"
"College","157881.35","Yes","321750.58","8609.51","No"
"College","49881.94","Yes","211410.21","44858.27","No"
"Primary","166056.82","Yes","436330.95","14316.35","No"
"College","150418.92","Yes","315109.12","36424.37","No"
"College","63952.00","Yes","125302.42","40568.73","No"
"Vocational","144918.70","Yes","408545.83","26414.23","No"
"College","37183.41","No","248508.53","35028.01","No"
"Vocational","81552.85","No","208136.93","17343.24","Yes"
"Vocational","108935.23","Yes","192708.73","10802.17","No"
"Vocational","74806.85","Yes","462267.53","32079.74","No"
"Primary","87551.32","Yes","275980.24","38432.54","Yes"
"College","190460.15","Yes","417464.42","22432.80","No"
"Vocational","148011.92","Yes","479645.77","36898.00","No"
"College","169489.54","No","27063.06","48104.29","No"
"College","193616.82","Yes","244339.54","42787.84","No"
"College","67356.32","No","269821.50","11924.59","Yes"
"College","82010.18","Yes","206935.26","41913.10","No"
"Primary","40180.08","No","129660.57","37808.05","No"
"Primary","44686.50","No","291982.28","38619.08","Yes"
"Primary","193925.53","Yes","191461.85","12213.84","No"
"College","105826.90","Yes","173790.91","35293.23","Yes"
"Vocational","106511.35","Yes","73930.67","13572.61","No"
"Primary","122760.32","Yes","370309.11","28889.67","No"
"Vocational","152803.29","Yes","370992.35","5425.30","No"
"Vocational","125959.62","No","190897.52","28863.70","Yes"
"Vocational","154572.80","Yes","277355.65","21846.96","Yes"
"College","131373.98","Yes","334943.93","29461.89","Yes"
"College","169449.56","Yes","48710.72","12110.59","Yes"
"College","102936.64","No","375413.87","33316.75","Yes"
"Primary","116273.48","Yes","387683.50","8045.91","No"
"Vocational","144031.98","No","416665.15","18282.56","No"
"College","89103.00","No","165275.47","29296.36","No"
"Primary","112054.21","Yes","393368.32","2211.89","Yes"
"Primary","161781.55","No","32006.14","14229.43","No"
"Vocational","111240.38","No","276651.02","28229.62","No"
"Vocational","33649.76","Yes","447797.79","9715.63","Yes"
"Vocational","84853.91","Yes","440221.33","36281.46","No"
"Primary","122606.38","No","155955.60","7239.99","Yes"
"College","113732.77","No","237001.98","3808.15","Yes"
"College","150910.90","No","3001.13","10952.68","Yes"
"College","85061.13","No","210770.50","38034.46","No"
"Vocational","83612.71","Yes","14747.07","23049.97","Yes"
"Primary","95831.89","Yes","296440.97","8178.36","Yes"
"Primary","56931.95","Yes","447484.75","42650.24","Yes"
"Primary","122662.59","No","391233.04","47238.88","No"
"Vocational","31313.44","No","107206.71","22426.74","No"
"Vocational","175014.26","Yes","493807.66","21731.98","No"
"Primary","158185.02","Yes","316137.06","27242.64","No"
"College","55018.86","No","473658.47","12369.22","Yes"
"Vocational","157690.81","Yes","489398.24","40186.16","No"
"Vocational","115577.15","Yes","152101.17","24718.53","No"
"College","187596.65","No","235207.50","24503.32","No"
"College","187904.81","No","336550.68","8077.43","No"
"College","42804.22","Yes","3273.89","12014.76","No"
"College","96174.11","No","223365.45","47683.26","Yes"
"Primary","138318.03","No","68389.18","39700.63","No"
"Vocational","194868.18","Yes","424030.54","42103.85","No"
"Primary","51431.41","No","94647.25","41425.34","No"
"Vocational","132201.60","No","351510.55","41640.18","No"
"Vocational","70194.87","No","487572.84","14342.57","No"
"Vocational","115401.17","No","148311.61","29572.04","Yes"
"Vocational","110321.95","Yes","401568.24","42103.04","No"
"College","60717.81","Yes","461353.51","9355.32","No"
"Primary","79933.66","No","459277.92","21727.60","Yes"
"Vocational","137296.66","No","363368.59","43396.03","Yes"
"Vocational","89413.48","No","445858.11","28697.49","Yes"
"College","84045.78","Yes","27064.67","45935.79","No"
"College","163181.43","Yes","179178.14","4100.70","Yes"
"College","128646.66","No","365592.37","11789.42","No"
"College","30538.64","No","158455.57","25653.69","Yes"
"College","141551.42","Yes","51496.05","12582.01","Yes"
"Primary","59311.84","Yes","122527.16","29334.13","No"
"College","126402.14","No","159908.86","12330.77","Yes"
"Primary","140702.21","No","314485.92","37549.69","Yes"
"Vocational","163063.26","Yes","67453.10","33217.39","Yes"
"Primary","172062.74","No","330985.38","36051.98","Yes"
"College","49809.09","Yes","276599.07","18602.70","No"
"Primary","111604.17","Yes","406708.63","6677.02","No"
"Vocational","106002.24","Yes","484939.05","42785.51","No"
"Vocational","46874.75","No","456735.70","33523.00","No"
"Primary","64001.51","Yes","22328.84","23799.64","No"
"Primary","39262.98","No","280687.15","18429.68","Yes"
"Vocational","136304.14","Yes","144184.66","41737.92","No"
"College","42407.16","Yes","153899.72","20527.76","Yes"
"College","89371.21","Yes","154945.07","46132.55","No"
"Vocational","161140.46","Yes","212076.91","29491.88","Yes"
"College","113724.32","No","245002.69","9446.37","No"
"College","68681.18","Yes","306466.73","10446.72","Yes"
"Primary","132909.13","No","230098.66","14032.87","Yes"
"Vocational","133826.51","No","255269.32","40825.38","Yes"
"College","199246.00","Yes","198276.00","24413.59","No"
"College","124146.18","Yes","349411.64","23632.74","Yes"
"Vocational","145305.44","No","40593.77","49284.26","No"
"Primary","165353.77","No","481231.89","4876.15","No"
"Primary","36808.26","Yes","342170.31","27962.46","No"
"College","137406.17","No","47351.82","2475.60","No"
"Vocational","172131.45","Yes","210366.20","4205.76","No"
"Vocational","176736.16","Yes","151270.24","47632.01","No"
"College","62180.47","No","133979.32","13033.01","Yes"
"College","66331.61","Yes","260361.32","40595.20","Yes"
"Vocational","159680.87","No","138788.93","13009.80","No"
"College","153735.93","Yes","100041.94","21876.82","Yes"
"College","44045.73","Yes","408728.63","30847.57","No"
"Vocational","31172.11","Yes","51653.38","47846.43","Yes"
"Vocational","42382.22","No","120855.52","33088.86","No"
"Primary","102818.32","Yes","463819.16","12154.13","No"
"College","73090.90","Yes","31726.70","24670.32","No"
"Primary","187220.62","No","1252.40","19147.65","No"
"Vocational","85501.25","Yes","200480.87","46352.19","No"
"College","188068.21","No","151409.78","17557.79","No"
"Primary","187321.15","No","326522.44","36332.94","No"
"Primary","67117.27","No","250659.20","16892.13","No"
"Vocational","178317.15","Yes","233854.74","12603.91","No"
"College","196390.06","No","81706.03","8573.29","Yes"
"Vocational","94969.89","No","344246.55","1619.74","Yes"
"Vocational","188397.40","No","284168.28","6361.14","No"
"Primary","168245.26","No","148906.70","17256.98","No"
"Primary","34533.71","Yes","12933.29","6182.31","No"
"Vocational","72996.62","No","29134.00","24901.96","No"
"Vocational","142175.66","No","213609.85","11375.31","Yes"
"Vocational","89782.49","No","328437.97","7525.07","Yes"
"Vocational","138472.10","Yes","477974.17","41604.96","No"
"Primary","41532.35","Yes","486611.56","13107.43","No"
"Vocational","190698.85","No","282228.12","16385.55","Yes"
"Vocational","99146.85","No","63197.20","15053.26","No"
"Vocational","159164.33","No","5793.45","43430.39","Yes"
"Vocational","147096.42","No","373557.09","37064.91","Yes"
"Vocational","97280.67","No","255885.23","41537.99","No"
"Vocational","56888.09","No","46265.14","11064.16","Yes"
"Primary","162549.32","No","248030.77","25718.90","Yes"
"Primary","38229.39","Yes","144029.74","47764.17","Yes"
"College","35546.50","No","233778.36","29469.92","Yes"
"Primary","48136.32","No","235566.80","4940.11","No"
"Vocational","181680.95","Yes","375479.68","43974.36","Yes"
"Vocational","180668.06","No","456675.55","6617.22","Yes"
"College","178223.32","Yes","93205.16","25895.17","No"
"Primary","188427.16","No","442436.42","45265.09","No"
"Vocational","160175.68","Yes","303647.38","15426.78","No"
"College","40882.24","Yes","210962.09","26215.52","Yes"
"College","150856.79","Yes","192901.15","46051.66","No"
"College","32843.10","Yes","347177.33","39019.71","Yes"
"Vocational","30113.11","Yes","299508.17","44913.15","Yes"
"Primary","135226.32","Yes","257579.72","43099.77","Yes"
"College","198927.90","No","116859.61","14346.62","Yes"
"Primary","84286.75","Yes","254699.41","49542.94","Yes"
"Vocational","42119.21","Yes","83956.53","21259.28","Yes"
"Primary","177968.87","No","478380.40","12081.42","No"
"College","165645.99","Yes","13861.38","46491.86","No"
"Primary","41179.84","Yes","405390.47","30618.01","Yes"
"Primary","99752.18","No","6298.97","40698.11","No"
"Vocational","192625.75","No","431532.64","38002.93","Yes"
"Primary","163229.58","No","47994.59","20632.40","Yes"
"Vocational","145638.21","No","498850.89","45980.40","No"
"College","189965.44","No","69799.42","6457.01","No"
"College","121868.37","Yes","297937.93","49552.12","No"
"Vocational","83613.73","No","53683.95","26928.29","Yes"
"Primary","103373.50","Yes","62154.70","15342.61","Yes"
"College","103411.29","No","424543.12","22986.73","No"
"College","57322.42","No","472936.87","21400.45","Yes"
"College","106875.06","Yes","230922.08","13371.76","Yes"
"Vocational","84501.36","No","62563.03","46412.22","Yes"
"College","69246.34","No","334287.94","34426.16","No"
"Vocational","35607.96","Yes","262356.05","38387.33","No"
"Primary","108561.84","Yes","93472.41","7257.24","No"
"Vocational","111156.57","Yes","317417.21","28244.60","No"
"Primary","103307.18","No","12056.71","40550.50","Yes"
"Primary","129920.63","Yes","486529.33","25573.91","No"
"Vocational","78211.16","Yes","122002.34","15895.98","No"
"College","193682.36","Yes","93972.40","13498.49","No"
"Vocational","136219.66","Yes","448189.89","4063.56","Yes"
"Vocational","91919.30","Yes","234076.49","16642.92","No"
"College","151400.79","Yes","101033.53","26732.73","No"
"College","38886.01","Yes","175324.00","33693.18","No"
"Vocational","127027.06","Yes","31201.43","10947.51","No"
"Primary","161062.67","Yes","13234.50","30424.06","Yes"
"College","140591.01","No","157794.11","49440.50","No"
"Vocational","110213.22","No","444771.75","40583.61","No"
"College","181818.40","No","295128.29","25322.46","Yes"
"Primary","186662.10","Yes","151232.62","31951.05","Yes"
"College","101538.40","No","310309.72","12921.56","No"
"College","78442.23","No","3934.28","5184.14","No"
"Primary","78045.95","Yes","494444.67","26474.78","No"
"College","199266.05","No","145693.40","36419.17","Yes"
"Vocational","116896.47","Yes","231392.81","11839.94","No"
"College","193038.44","No","324495.20","22949.02","Yes"
"Vocational","189532.72","No","244773.48","2196.93","No"
"Vocational","99299.39","Yes","357477.87","1961.86","No"
"Primary","84587.06","Yes","3389.99","8858.50","No"
"Primary","89430.61","No","1539.97","30577.28","Yes"
"Vocational","113878.41","No","272353.99","16141.40","No"
"Vocational","124462.84","Yes","96148.27","19133.74","Yes"
"Vocational","90253.06","No","106035.98","29677.17","Yes"
"College","179682.65","Yes","28750.45","14302.04","Yes"
"College","114818.50","No","284677.25","18693.08","No"
"Primary","135681.19","Yes","106993.63","1825.62","Yes"
"Primary","124157.42","Yes","296617.06","45209.84","Yes"
"Vocational","80948.42","No","437690.53","12714.70","Yes"
"Vocational","106969.13","Yes","104226.39","34561.42","No"
"Primary","135870.21","No","46400.24","16095.50","Yes"
"Primary","48741.11","No","12982.21","34332.82","No"
"College","85783.37","Yes","162212.30","47968.15","No"
"College","88008.95","No","363378.69","5565.55","Yes"
"Vocational","116814.02","Yes","72029.60","26995.12","No"
"Vocational","178897.85","Yes","33842.17","37209.28","Yes"
"Vocational","34527.45","Yes","395970.42","35230.00","No"
"College","46240.09","Yes","225283.19","20911.92","Yes"
"Vocational","50413.01","Yes","443653.90","29276.10","No"
"Vocational","135999.04","Yes","432848.25","18778.05","No"
"Primary","185252.82","Yes","248403.01","40795.91","Yes"
"College","45897.80","No","337865.94","3359.55","No"
"College","104162.56","Yes","144228.04","38258.45","No"
"Vocational","128593.47","Yes","186956.88","34168.50","Yes"
"Primary","137741.83","Yes","239.27","24552.55","Yes"
"Primary","70773.44","Yes","354537.68","31668.12","Yes"
"Vocational","83334.05","No","287655.76","49801.01","Yes"
"Primary","141551.47","Yes","312320.34","49607.97","Yes"
"College","157263.51","No","268764.63","24951.92","No"
"Primary","50020.54","Yes","497189.18","16550.29","No"
"College","128664.42","No","230298.67","18721.21","Yes"
"Vocational","146818.25","No","82142.14","2609.83","No"
"College","185062.11","Yes","40518.43","35394.09","Yes"
"Primary","185963.93","Yes","461930.75","43897.80","No"
"Vocational","74583.51","No","142278.52","15573.72","Yes"
"College","76638.67","No","69929.09","31503.72","Yes"
"College","35733.47","No","483880.61","6224.89","No"
"College","144372.06","Yes","491254.26","6437.82","No"
"College","58517.12","Yes","63613.69","31715.72","Yes"
"Primary","101363.19","Yes","287747.76","24573.17","Yes"
"Vocational","122214.16","No","123536.80","43209.03","No"
"College","115970.90","No","183984.52","11195.23","Yes"
"Vocational","149514.57","No","68248.21","21793.54","No"
"Primary","87262.36","Yes","75629.09","18352.68","Yes"
"Primary","174196.26","No","126141.37","5346.31","No"
"College","192358.19","Yes","434966.92","38665.03","No"
"Primary","185310.18","Yes","253896.93","6668.32","No"
"College","121202.27","Yes","244784.14","9052.95","No"
"Primary","127216.44","No","343385.59","24773.28","No"
"Primary","41455.07","Yes","258888.03","5957.76","No"
"Primary","32097.01","No","72496.43","43121.56","No"
"Vocational","77697.82","Yes","372830.69","2979.13","No"
"Vocational","86105.04","No","429079.04","28336.99","Yes"
"Vocational","78033.20","No","425731.81","7915.52","Yes"
"Vocational","130802.81","No","250497.76","48255.71","Yes"
"Primary","42040.62","No","117384.94","16698.89","Yes"
"Primary","198625.48","No","471256.68","45131.88","No"
"Vocational","36362.79","No","279881.70","43480.79","No"
"College","173595.93","Yes","41281.55","24433.33","No"
"College","49630.16","Yes","464531.91","9099.70","No"
"Vocational","137937.32","Yes","406441.68","40035.47","No"
"College","150736.20","No","389683.44","16842.82","Yes"
"Vocational","129034.16","No","158762.55","40103.33","No"
"Primary","119426.48","Yes","113569.15","37135.61","No"
"Primary","31417.61","No","321051.89","49288.79","Yes"
"College","135300.61","No","442710.89","49264.53","Yes"
"College","149289.10","Yes","225306.10","33702.97","Yes"
"Primary","50172.89","Yes","14255.69","42715.90","No"
"Primary","154829.24","Yes","75522.87","12414.75","No"
"Vocational","105681.34","No","276132.08","37862.86","No"
"Vocational","166868.61","No","236088.74","19131.09","No"
"Primary","129582.53","Yes","245691.30","16781.02","Yes"
"Primary","161935.73","Yes","104315.83","40873.20","No"
"Vocational","193893.65","Yes","12154.41","35460.76","Yes"
"Vocational","179291.36","No","329780.73","16935.82","No"
"Primary","51156.09","Yes","358097.85","18803.04","Yes"
"College","171061.61","No","249237.75","40685.02","Yes"
"Vocational","63863.26","Yes","33346.28","43247.04","No"
"Vocational","162548.62","Yes","122667.82","27685.39","Yes"
"College","75054.17","No","328927.20","44398.55","Yes"
"College","72484.98","Yes","82327.34","3870.28","No"
"College","187081.29","No","64801.33","23308.02","Yes"
"College","92565.81","Yes","213850.79","12981.75","Yes"
"College","132278.58","No","403703.24","32758.66","No"
"Vocational","133086.04","No","248513.20","39733.95","Yes"
"Vocational","94889.21","No","2462.81","43104.34","Yes"
"College","47729.04","No","166101.90","12569.01","Yes"
"College","167481.59","Yes","228290.05","49342.92","Yes"
"Primary","119056.92","No","330800.55","19438.90","Yes"
"Vocational","60377.41","No","243094.21","15939.84","No"
"Primary","168423.64","Yes","334397.54","31186.86","No"
"Primary","35630.20","No","374619.40","32887.74","No"
"Vocational","130367.91","No","416842.41","25889.15","No"
"Vocational","53778.72","No","158049.97","23298.71","Yes"
"Vocational","118477.14","Yes","444702.96","47006.48","Yes"
"College","155732.38","No","328941.85","25985.37","Yes"
"College","177351.05","Yes","27278.98","27107.16","No"
"Primary","122336.59","Yes","429781.43","5354.15","No"
"College","115203.56","No","350434.49","17022.09","No"
"College","156319.08","No","181754.89","31977.02","No"
"College","130328.51","Yes","408913.24","34842.27","No"
"College","174705.15","No","71221.26","43297.41","Yes"
"Vocational","189525.19","No","406928.13","29200.81","Yes"
"Vocational","183289.15","No","124146.01","12789.77","Yes"
"College","36859.86","No","266045.15","10405.70","No"
"College","30455.60","No","309685.74","4104.98","Yes"
"Primary","115336.95","Yes","324344.34","4579.09","Yes"
"College","39291.31","Yes","182178.49","28679.72","No"
"Vocational","90778.33","No","243563.90","24443.54","Yes"
"Vocational","118215.64","Yes","396495.98","29504.48","Yes"
"College","161131.45","No","280898.82","18675.92","Yes"
"College","124798.74","No","18320.31","16965.31","Yes"
"College","129609.74","Yes","37529.11","25597.70","Yes"
"Vocational","114581.37","No","450223.31","44414.12","Yes"
"Primary","195954.52","Yes","363172.58","35238.69","Yes"
"College","47858.43","No","98411.64","13517.48","Yes"
"College","128365.04","No","74831.47","6898.93","Yes"
"Vocational","71619.86","No","432820.56","4897.39","No"
"Primary","38227.72","No","9323.67","17143.03","No"
"Vocational","45595.43","No","380379.65","8897.29","Yes"
"Vocational","130620.46","Yes","68699.48","17924.45","No"
"Primary","42525.70","Yes","151867.63","30588.19","No"
"College","57103.27","No","42047.03","11839.03","Yes"
"Vocational","141970.51","No","191091.51","5577.62","No"
"Primary","132863.18","No","205795.70","4962.61","No"
"College","154104.46","No","431420.22","39823.41","Yes"
"College","177319.72","Yes","468886.53","20296.12","Yes"
"Vocational","135475.67","Yes","467823.54","41104.75","Yes"
"Primary","83842.90","No","202988.47","36475.05","Yes"
"College","87477.88","Yes","389339.11","42902.83","No"
"College","38319.86","Yes","485148.02","46033.14","Yes"
"Primary","78271.10","Yes","346216.39","5897.59","No"
"College","63156.32","No","457346.41","41126.27","Yes"
"Vocational","166563.12","No","492412.17","24278.01","Yes"
"Vocational","182420.58","No","168449.76","7963.31","No"
"College","48326.96","Yes","378232.18","22156.50","No"
"Primary","126316.81","No","67470.84","45368.09","Yes"
"Vocational","164256.58","No","26149.25","38603.37","Yes"
"Vocational","113692.33","No","18787.11","41998.83","No"
"College","135874.41","No","358558.06","46592.08","Yes"
"Vocational","68567.35","No","420485.55","29034.30","No"
"Vocational","174433.57","No","117641.61","17610.50","Yes"
"Vocational","103612.49","No","78695.14","11956.79","Yes"
"College","65070.96","No","370912.77","44561.16","Yes"
"College","158372.46","No","205084.24","29229.28","Yes"
"College","83161.69","No","147640.26","5830.77","Yes"
"Vocational","87843.41","No","234297.30","22146.26","Yes"
"Primary","71746.43","No","168360.36","42924.05","Yes"
"Primary","135117.23","Yes","318533.05","7522.70","No"
"Vocational","149157.66","No","267856.96","44711.36","Yes"
"Primary","131112.04","No","368445.23","37093.98","Yes"
"Vocational","62496.79","No","99117.01","3617.75","Yes"
"Primary","148628.73","Yes","194614.65","29192.04","No"
"College","37248.47","Yes","241134.04","18073.66","Yes"
"College","176594.17","Yes","313051.21","7049.84","Yes"
"Vocational","141176.53","No","23130.98","12547.50","No"
"Primary","131785.13","No","363767.51","6320.18","No"
"Vocational","161717.12","Yes","233968.92","38316.23","Yes"
"Primary","172028.43","No","451144.16","45336.75","No"
"Primary","161151.36","Yes","389487.36","29721.78","Yes"
"College","181186.01","Yes","353997.05","35825.17","No"
"College","151218.44","Yes","244.51","17477.95","Yes"
"College","75424.15","No","237104.25","14891.98","Yes"
"Primary","145433.14","Yes","15898.83","15156.29","No"
"Vocational","180702.18","Yes","81872.31","40468.67","No"
"Vocational","109509.16","Yes","48002.71","46057.13","Yes"
"Primary","114155.90","Yes","265296.53","48346.46","Yes"
"Vocational","143582.05","No","461932.74","3708.08","Yes"
"Vocational","82263.43","Yes","208992.59","38186.13","No"
"Vocational","106849.47","Yes","473273.10","41038.63","No"
"Vocational","131489.99","No","297667.47","14654.06","No"
"Primary","161043.44","Yes","216337.70","35659.71","No"
"Vocational","56537.22","Yes","399913.67","28470.67","Yes"
"College","172947.97","Yes","401192.06","920.59","Yes"
"Primary","155837.93","No","130358.81","16671.48","Yes"
"College","123923.71","Yes","146618.79","15666.75","No"
"Vocational","36467.94","No","457072.60","22969.75","No"
"Vocational","183739.70","No","416107.72","29415.20","Yes"
"Primary","122796.71","No","398672.65","10548.09","Yes"
"Primary","168214.94","No","63704.00","19891.60","No"
"College","137034.69","No","148377.17","33702.71","Yes"
"Primary","171957.21","No","446167.37","167.18","No"
"College","144966.87","No","110305.65","18315.87","Yes"
"College","122024.67","No","368885.62","12707.70","No"
"College","107664.02","No","327672.52","977.24","No"
