LinkedIN,Major,DOB,Salary,GPA,Tuition,College_location
11,Buisness,1955,9753,2.47,2804,Central
24,Professional,1987,11742.8,2.47,4780,Central
32,STEM,1978,9748.99,2.42,2355,WestCoast
3,Vocational,2001,13278.02,2.56,16556,Central
83,Vocational,1977,13225.2,2.21,4848,WestCoast
12,Humanities,1968,10248,2.29,4797,EastCoast
31,Humanities,1987,10267.54,2.44,3980,WestCoast
45,Professional,1972,11851.46,1.61,7069,WestCoast
14,Professional,1973,11829.74,1.73,5650,EastCoast
14,Humanities,1996,10295.68,2.84,5219,EastCoast
1,STEM,1994,9672.38,3.31,7022,EastCoast
31,STEM,1983,9791.98,2.27,6228,Central
43,Vocational,1992,13293.22,2.9,4739,WestCoast
51,Vocational,1954,13247.1,2.54,6962,Central
17,Humanities,1972,10218.94,2.16,2032,Central
8,STEM,2005,9755.87,2.48,2303,Central
5,Other,1983,5015.8,2.5,5606,Central
14,Professional,1965,11720.36,2.73,5725,Central
17,Vocational,1953,13275.46,2.76,27451,WestCoast
22,Humanities,1976,10250.97,2.36,2932,WestCoast
4,Professional,1973,11729.57,2.58,4897,Central
57,Humanities,1963,10250.17,2.45,20624,Central
10,Vocational,1995,13297.12,2.83,4522,Central
5,STEM,1970,9732.47,2.85,6731,Central
43,Professional,1968,11701.17,2.7,5166,WestCoast
55,STEM,1973,9798.68,2.08,22397,Central
25,Professional,1974,11722.49,2.77,3456,Central
4,STEM,1984,9715.97,2.97,18791,WestCoast
4,Other,1990,4999.53,1.94,5216,EastCoast
27,Vocational,1970,13268.16,2.72,11308,Central
7,Humanities,1989,10236.04,2.4,4680,EastCoast
19,STEM,1967,9756.29,2.57,6050,EastCoast
9,Buisness,1969,9722,2.78,21560,EastCoast
5,Professional,1968,11745.92,2.55,5444,WestCoast
57,Buisness,1996,10297,2.97,1258,EastCoast
38,STEM,1965,9746.94,2.26,5718,Central
20,Other,1955,5418.46,2.69,10260,EastCoast
17,Vocational,1990,13203.6,2.15,12263,EastCoast
20,Professional,1997,11763.84,2.23,6106,WestCoast
5,Professional,1994,11853.22,1.63,4009,Central
5,STEM,1988,9776.3,2.29,3378,EastCoast
8,Humanities,1951,10392.42,3.75,3453,Central
31,Humanities,1963,10352.81,3.51,20899,EastCoast
38,Professional,1957,11795.45,2.1,3588,WestCoast
43,Humanities,1953,10278.37,2.84,7610,EastCoast
5,Professional,1992,11750.56,2.51,4627,WestCoast
36,STEM,1972,9725.43,2.5,15063,EastCoast
20,Humanities,2004,10337.54,3.48,6094,WestCoast
12,Professional,1986,11689.45,3.13,6207,Central
31,Professional,1960,11760.15,2.42,6015,EastCoast
18,STEM,1954,9716.61,2.71,4356,WestCoast
26,Professional,1976,11751.6,2.52,3263,Central
19,Professional,2003,11731.22,2.78,15926,EastCoast
6,STEM,1956,9790.82,2.19,1827,EastCoast
2,Professional,1955,11765.08,2.42,4154,Central
61,Buisness,1969,9764,2.36,2753,Central
4,Humanities,2005,10296.81,3.01,7484,WestCoast
1,Professional,1967,11852.18,1.6,1798,EastCoast
20,Vocational,1972,13326.36,3.33,1272,EastCoast
4,STEM,1995,9760.17,2.3,5484,WestCoast
95,Vocational,1997,13178.64,1.99,2593,Central
33,Professional,1978,11673.16,3.18,4736,Central
16,Professional,1958,11816.7,1.97,1590,Central
2,STEM,1993,9745.47,2.49,3309,EastCoast
28,STEM,1974,9775.77,2.22,1966,Central
15,Buisness,1992,10249,2.49,3253,WestCoast
12,Professional,1999,11796.71,2.07,5985,WestCoast
15,Vocational,2005,13242.33,2.38,7140,EastCoast
14,Vocational,1987,13183.69,1.83,6276,EastCoast
24,Humanities,1956,10336.04,3.19,2762,WestCoast
1,Vocational,2001,13139.54,1.26,52306,WestCoast
50,Vocational,1960,13286.02,2.87,4992,WestCoast
17,Professional,2004,11757.34,2.25,12428,EastCoast
8,Buisness,1954,10149,1.49,7853,Central
28,Vocational,1966,13350.23,3.44,2009,EastCoast
12,Professional,1995,11698.72,3.1,1776,Central
1,Other,1958,5006.4,2.29,4993,Central
57,Professional,1964,11777.26,2.2,5823,WestCoast
2,Professional,1985,11772.92,2.25,8654,EastCoast
41,Professional,2000,11779.83,2.22,7098,WestCoast
75,Humanities,1997,10291.96,2.78,5151,Central
68,Buisness,1964,10339,3.39,14322,WestCoast
14,Professional,1953,11723.27,2.91,36744,Central
13,Humanities,1961,10363.17,3.55,2967,EastCoast
0,Vocational,2004,13258.5,2.48,3250,WestCoast
14,Vocational,1955,13232.76,2.46,5420,WestCoast
0,Vocational,1958,13155.91,1.58,4399,EastCoast
3,Other,1976,5005.64,2.93,4821,WestCoast
174,Professional,1971,11812.93,1.91,4030,EastCoast
13,Humanities,1992,10248.49,2.51,36273,EastCoast
4,STEM,1996,9759.75,2.21,24198,WestCoast
4,Vocational,1982,13278.19,2.73,2575,Central
3,Professional,1955,11812.06,2,3941,Central
40,Vocational,1977,13240.12,2.36,4426,EastCoast
46,Professional,1993,11740.97,2.49,4459,EastCoast
75,STEM,1991,9713.67,2.95,1849,EastCoast
14,STEM,1969,9779.88,2.21,12024,EastCoast
4,Humanities,1953,10296.18,2.9,6823,Central
50,Professional,1988,11747.27,2.5,6019,EastCoast
9,Professional,1961,11687.81,3.02,3056,WestCoast
10,Humanities,1989,10248.44,2.48,1231,Central
2,STEM,2003,9748.19,2.59,6048,WestCoast
29,Professional,1979,11716.52,2.76,5407,EastCoast
1,Vocational,2005,13305.97,3.07,5251,Central
37,Humanities,1997,10235.49,2.33,5443,EastCoast
16,STEM,1964,9717.25,2.65,3309,EastCoast
70,Humanities,1978,10216.44,2.29,4031,WestCoast
1,Professional,1958,11695.52,2.89,4461,WestCoast
17,Vocational,1988,13275.96,2.74,5499,Central
40,Vocational,1970,13260.3,2.38,4053,Central
23,Professional,1970,11703.76,3.1,4450,Central
0,Humanities,1957,10225.48,2.26,2525,WestCoast
46,Vocational,1967,13240.87,2.45,4978,WestCoast
7,Other,1990,5043.41,2.15,6431,Central
21,Professional,1965,11771.21,2.29,13011,WestCoast
4,Vocational,1976,13264.51,2.5,6495,WestCoast
10,Professional,1983,11793.11,2.16,2673,WestCoast
9,Vocational,1985,13241.66,2.39,1286,WestCoast
36,Other,1960,6295.31,2.17,2795,WestCoast
4,Professional,1984,11757.76,2.48,2818,Central
58,Vocational,1955,13220.34,2.17,8749,WestCoast
48,Other,1955,7297.16,1.95,4752,WestCoast
57,Other,1980,8255.62,2.7,4858,EastCoast
37,Professional,1999,11781.38,2.2,3480,Central
57,Buisness,1991,9784,2.16,5202,WestCoast
18,Humanities,1964,10275.44,2.73,10458,WestCoast
6,Buisness,1995,9756,2.44,7545,EastCoast
34,Vocational,2002,13265.25,2.72,26048,Central
16,Buisness,1991,9853,1.47,3743,WestCoast
30,Vocational,1977,13197.64,1.94,11022,Central
32,Professional,1970,11764.49,2.22,8702,WestCoast
98,STEM,1969,9694.68,2.97,7766,EastCoast
63,Other,1990,8994.92,2.63,4820,EastCoast
31,Buisness,1962,10269,2.69,7858,Central
8,Buisness,2001,9782,2.18,5720,Central
40,STEM,1982,9809.28,1.98,3336,Central
3,Humanities,1969,10270.74,2.81,4948,EastCoast
4,STEM,1966,9799.8,2.07,4116,WestCoast
0,STEM,1957,9769.59,2.33,6193,Central
16,Buisness,1988,10223,2.23,3051,EastCoast
2,Other,1971,5005.24,3.49,8333,Central
41,STEM,1963,9796.7,1.92,4802,EastCoast
41,Vocational,1955,13272.15,2.7,4343,EastCoast
5,Humanities,1993,10200.75,1.89,5430,Central
10,Vocational,1965,13231.14,2.21,3932,EastCoast
1,Buisness,1999,9753,2.47,7396,Central
12,Buisness,1966,10204,2.04,6442,Central
18,Humanities,2000,10302.25,3.07,2513,EastCoast
24,Humanities,1982,10271.25,2.65,4174,Central
13,Buisness,1977,9631,3.69,4319,EastCoast
2,Vocational,1991,13213.77,2.17,4418,WestCoast
21,Humanities,1953,10301.21,2.98,5662,WestCoast
4,Other,1951,5023.86,2.27,4164,Central
13,Vocational,1982,13253.39,2.5,3321,Central
2,Vocational,2003,13243.19,2.45,3599,WestCoast
43,Professional,1960,11842.76,1.55,3171,Central
0,Humanities,2001,10267.83,2.75,11079,EastCoast
16,Humanities,1952,10244.74,2.29,3803,Central
6,Professional,1974,11780.48,2.13,2614,Central
47,Buisness,1986,10281,2.81,8299,Central
5,Buisness,1996,10171,1.71,3380,WestCoast
42,Humanities,2000,10215.93,1.94,4337,Central
13,Other,1964,5168.05,2.08,7177,WestCoast
16,STEM,1953,9793.74,2.18,6673,EastCoast
7,Professional,1985,11734.85,2.61,4741,WestCoast
2,Professional,1982,11785.45,2.28,18999,WestCoast
13,STEM,1987,9687.11,3.14,3572,WestCoast
9,Professional,2002,11704.98,3.06,2190,EastCoast
2,Humanities,1985,10288.55,2.89,2986,WestCoast
23,Professional,1991,11682.36,3.11,7298,Central
34,Vocational,1959,13226.96,2.26,4170,WestCoast
6,Humanities,1967,10214.46,2.11,5193,EastCoast
5,STEM,2002,9735.77,2.67,2573,EastCoast
93,STEM,1953,9762.2,2.45,2194,Central
60,STEM,1960,9740.84,2.59,5712,WestCoast
5,STEM,1991,9802.48,2.06,3734,EastCoast
11,STEM,1990,9849.26,1.59,6288,WestCoast
30,Vocational,1990,13209.79,1.92,2856,Central
21,STEM,1967,9687.7,3.3,6118,Central
41,Humanities,1979,10225.99,2.35,2337,Central
7,Vocational,1978,13228.36,2.54,1805,WestCoast
15,Other,1993,5226.69,2.32,9244,Central
21,Buisness,1967,9762,2.38,24527,Central
3,STEM,1966,9785.32,2.09,3346,EastCoast
28,Professional,1980,11760.1,2.36,3035,EastCoast
0,Humanities,1991,10213.58,2.02,3388,EastCoast
3,Humanities,1970,10186.3,1.92,5098,Central
83,STEM,1979,9711.92,3.03,6674,WestCoast
1,Professional,1995,11799.13,2.02,3361,EastCoast
30,Professional,1955,11690.66,3.15,8770,WestCoast
6,Vocational,2005,13265.75,2.49,6450,WestCoast
6,Buisness,1997,9695,3.05,9572,Central
17,Humanities,1977,10205.3,2.17,3517,WestCoast
89,Other,1990,12945.78,2.63,5033,EastCoast
7,Vocational,1984,13280.02,3,3496,WestCoast
20,STEM,1970,9789.47,1.98,2553,Central
1,Buisness,1956,10210,2.1,3756,Central
12,Vocational,2000,13248.24,2.41,4270,WestCoast
65,Humanities,1997,10265.33,2.68,3254,WestCoast
3,Humanities,1989,10204.98,2.29,5087,EastCoast
29,Professional,1973,11783.96,2.17,29357,EastCoast
95,Professional,1979,11741.32,2.48,6281,Central
10,STEM,1998,9766.93,2.31,4870,Central
5,Humanities,1988,10366.63,3.55,2923,Central
11,Humanities,1957,10307.31,3.13,7931,Central
1,Vocational,1964,13221.1,2.2,4643,WestCoast
2,Humanities,1986,10201.36,1.96,3859,EastCoast
1,Humanities,1957,10213.2,2.2,4931,WestCoast
26,Humanities,1973,10248.78,2.61,16494,Central
22,Humanities,1967,10173.87,1.83,4219,WestCoast
0,Humanities,1984,10251.57,2.39,4326,EastCoast
114,Humanities,1990,10278.47,2.89,4262,WestCoast
4,Buisness,1961,9755,2.45,7122,Central
5,STEM,1961,9774.28,2.31,4104,Central
3,Professional,1973,11742.94,2.47,4297,Central
6,Humanities,1996,10236.61,2.47,1960,Central
25,Buisness,1970,10256,2.56,6354,WestCoast
18,Vocational,1964,13167.93,1.69,5728,WestCoast
2,Vocational,1998,13288.29,2.85,7214,Central
10,Professional,1960,11716.19,2.64,3333,Central
7,STEM,1972,9761.31,2.32,1253,Central
6,Other,2004,5040.54,1.78,3930,WestCoast
35,STEM,2003,9778.79,2.24,4570,EastCoast
15,Humanities,1969,10249.57,2.66,9051,WestCoast
26,Professional,1975,11749.87,2.48,3423,Central
21,Other,1991,5440.71,2.77,1779,Central
21,Other,1971,5447.04,1.9,6062,EastCoast
5,STEM,1996,9760.27,2.42,1463,WestCoast
13,Vocational,1971,13216.72,2.21,2838,WestCoast
66,STEM,1962,9783.55,2.02,1418,EastCoast
53,Humanities,2001,10269.35,2.68,2873,Central
4,STEM,1989,9732.44,2.6,2854,WestCoast
54,Vocational,1999,13245.74,2.54,5991,WestCoast
11,STEM,1965,9795.89,2.02,1413,Central
2,Vocational,1953,13312.27,3.16,5335,EastCoast
63,Professional,2000,11746.16,2.5,1031,EastCoast
68,STEM,1980,9764.36,2.45,4984,EastCoast
6,Humanities,1981,10226.03,2.35,20330,EastCoast
47,Other,1995,7203.46,2.27,4331,EastCoast
19,Professional,1978,11714.94,2.89,1918,EastCoast
18,Humanities,1987,10236.2,2.43,3664,WestCoast
3,Buisness,1965,9742,2.58,27679,Central
11,Vocational,2005,13225.34,2.04,4931,Central
42,Professional,1969,11722.85,2.73,4663,WestCoast
8,Humanities,1970,10323.75,3.18,3546,WestCoast
22,Vocational,1991,13269.95,2.65,4615,WestCoast
38,Vocational,1990,13282.02,2.77,5306,WestCoast
16,Buisness,1974,10276,2.76,3160,Central
2,Humanities,1996,10268.7,2.63,11180,WestCoast
56,Vocational,1963,13242.28,2.42,5220,WestCoast
11,STEM,1998,9701.36,3,9993,EastCoast
25,Professional,1959,11670.98,3.34,5827,EastCoast
7,Vocational,1993,13276.88,2.68,2248,WestCoast
73,Vocational,1974,13312.29,3.21,2771,Central
1,STEM,1990,9837.59,1.75,4595,WestCoast
31,Vocational,1999,13242.14,2.52,34086,WestCoast
19,STEM,1991,9802.16,1.91,1576,Central
26,Professional,1981,11691.4,3.17,5123,Central
31,Buisness,1990,10312,3.12,2503,EastCoast
1,Professional,1995,11873.91,1.49,7637,EastCoast
13,Professional,1969,11771.99,2.12,2293,EastCoast
14,STEM,1976,9778.87,2.15,5348,Central
42,Buisness,2000,10238,2.38,6977,WestCoast
25,Vocational,1978,13282.33,2.78,24102,EastCoast
17,Humanities,1978,10280,2.76,1484,EastCoast
16,Professional,1988,11733.22,2.69,13091,EastCoast
27,Vocational,1981,13268.04,2.73,3891,EastCoast
16,Humanities,2002,10159.89,1.68,33879,Central
31,Humanities,1992,10312.59,2.96,1872,Central
7,Humanities,1963,10260.01,2.54,6519,EastCoast
1,Humanities,1979,10238.59,2.54,7444,Central
8,Humanities,2004,10220.84,2.26,8682,EastCoast
20,Professional,1992,11802.26,1.9,5448,WestCoast
15,Vocational,1977,13284.63,2.8,3442,Central
4,Humanities,1990,10270.06,2.84,17028,Central
27,Humanities,1964,10214.38,2.18,6420,EastCoast
6,Humanities,1991,10272.29,2.76,14750,EastCoast
16,Professional,1972,11659.91,3.3,100468,Central
21,Vocational,1993,13252.44,2.45,2771,WestCoast
64,STEM,2000,9736.93,2.65,5689,EastCoast
32,Humanities,2000,10209.21,2.14,4247,EastCoast
44,Buisness,1958,10245,2.45,3227,Central
3,Humanities,1965,10240.86,2.36,6040,Central
108,Other,2004,16645.94,3.09,6671,EastCoast
16,Vocational,1972,13267.18,2.63,15373,EastCoast
11,STEM,1975,9688.03,3.24,22473,Central
43,Vocational,1982,13185.87,1.68,2242,WestCoast
16,Professional,1964,11752.03,2.67,11617,Central
175,Vocational,1956,13290.46,2.94,2499,EastCoast
76,Buisness,1967,9796,2.04,6245,Central
13,Vocational,1998,13226.2,2.19,16437,WestCoast
11,Humanities,1978,10258.87,2.67,5066,EastCoast
12,Vocational,1972,13233.08,2.23,10033,EastCoast
25,Professional,2005,11811.59,1.98,5657,Central
22,Other,1961,5497.01,2.57,4806,EastCoast
18,Humanities,1962,10302.71,3.08,2118,WestCoast
33,Professional,2002,11741.33,2.57,3042,EastCoast
8,Humanities,2002,10191.33,1.91,7072,WestCoast
28,Vocational,1996,13185.61,1.8,27465,EastCoast
116,STEM,1967,9717.22,2.83,4827,EastCoast
33,Humanities,1975,10149.57,1.49,51699,EastCoast
39,Humanities,1970,10262.39,2.56,4162,WestCoast
13,Professional,1995,11735.74,2.47,5927,EastCoast
36,Vocational,1990,13180.99,1.92,5149,EastCoast
6,Vocational,1957,13220.57,2.23,3658,Central
15,Humanities,1952,10273.26,2.59,1726,WestCoast
1,Vocational,1957,13264.62,2.73,8132,WestCoast
9,Professional,1967,11762.9,2.48,1736,EastCoast
32,Buisness,1978,10292,2.92,5243,EastCoast
40,Vocational,1980,13279.32,2.61,1556,EastCoast
7,Professional,1977,11772.11,2.42,8502,WestCoast
101,STEM,1971,9786.98,2.17,3908,Central
2,Vocational,1979,13206.46,2.06,3064,Central
1,Vocational,1974,13302.75,2.87,3140,Central
59,Humanities,1964,10240.93,2.28,2097,Central
1,Vocational,1962,13226.39,2.32,2343,WestCoast
4,Humanities,1951,10239.33,2.33,4428,EastCoast
30,Vocational,1979,13306.84,2.89,8764,Central
30,STEM,2003,9746.26,2.57,3176,Central
64,Humanities,1975,10239.18,2.4,2197,WestCoast
22,Humanities,1990,10258.27,2.66,11402,Central
18,Professional,1959,11724.2,2.7,22952,Central
6,Other,1984,5042.39,2.24,6493,Central
1,Vocational,1964,13258.12,2.64,5054,WestCoast
8,Humanities,2000,10256.28,2.62,6639,Central
46,Other,1976,7104.08,2.45,2617,Central
31,STEM,1970,9667.93,3.18,4542,Central
68,Buisness,1989,9773,2.27,5886,EastCoast
42,Vocational,1984,13257.13,2.6,3128,WestCoast
11,Professional,1968,11753.78,2.44,6101,WestCoast
26,Humanities,1994,10231.78,2.38,3158,EastCoast
27,Professional,1985,11826.94,1.81,6472,EastCoast
3,Professional,1971,11723.01,2.72,5728,EastCoast
18,Humanities,1955,10222.87,2.21,5003,WestCoast
2,Humanities,2004,10287.08,2.84,3999,WestCoast
19,Other,1998,5355.64,2.67,5183,WestCoast
26,STEM,1995,9782.39,2.25,5600,EastCoast
7,Professional,2005,11736.35,2.67,2927,WestCoast
13,Vocational,1951,13273.1,2.79,2022,Central
52,Vocational,1957,13215.82,2.14,2556,Central
7,Vocational,1999,13298.37,2.88,2395,EastCoast
1,Vocational,1955,13287.42,2.69,7733,EastCoast
1,Professional,1955,11790.35,2.27,3138,EastCoast
63,Vocational,1969,13313.24,3.13,3096,EastCoast
5,STEM,1963,9772.52,2.37,7449,EastCoast
2,Humanities,1982,10308.16,2.88,5922,Central
2,Buisness,1963,9729,2.71,2366,EastCoast
51,Vocational,1969,13324.41,3.13,54379,EastCoast
1,Humanities,1975,10286.41,2.97,4253,Central
71,STEM,1964,9774.26,2.18,1708,WestCoast
28,Vocational,1962,13235.13,2.36,8793,EastCoast
22,Vocational,1997,13254.81,2.58,5031,EastCoast
36,Buisness,1950,10279,2.79,5385,WestCoast
51,Other,1978,7592.24,2.8,5367,WestCoast
55,Buisness,1991,9724,2.76,21568,Central
6,STEM,1979,9753.27,2.36,2878,Central
2,Other,2003,5000.61,2.2,5002,WestCoast
2,Vocational,1989,13158.9,1.45,3757,WestCoast
26,STEM,1998,9808.27,1.87,5851,WestCoast
2,STEM,1967,9721.27,2.81,4433,EastCoast
20,Humanities,1962,10236.73,2.1,3374,WestCoast
45,Buisness,1988,10332,3.32,5111,WestCoast
10,Professional,1993,11697.64,3.09,4326,Central
28,Professional,2004,11709.85,2.79,7875,WestCoast
5,Vocational,1977,13177.3,1.78,19504,WestCoast
18,STEM,1952,9717.44,2.78,7752,Central
8,Vocational,1959,13222.38,2.29,3956,WestCoast
2,Professional,1987,11717.42,2.83,4935,WestCoast
13,Vocational,1955,13238.32,2.54,5750,WestCoast
6,Humanities,1983,10262.72,2.71,27430,Central
21,STEM,1960,9836.96,1.61,9971,WestCoast
8,Professional,2001,11765.59,2.33,4136,EastCoast
19,Vocational,1979,13263.11,2.68,6508,Central
24,STEM,1959,9746.44,2.45,3678,EastCoast
62,Vocational,1993,13333.19,3.48,5728,EastCoast
6,Vocational,1969,13202.15,1.98,24959,Central
5,Humanities,1986,10250.02,2.48,4608,WestCoast
5,Vocational,2003,13287.41,2.86,9387,EastCoast
14,Vocational,1985,13275.56,2.74,3452,WestCoast
2,Buisness,1955,9765,2.35,5375,WestCoast
0,Other,1988,5000.55,2.33,4058,Central
46,Vocational,1951,13143.27,1.57,7180,EastCoast
45,STEM,1994,9848.51,1.69,54172,Central
7,Buisness,1974,10255,2.55,2053,Central
19,Professional,1991,11814.65,1.87,14690,WestCoast
7,Professional,2000,11721.75,2.82,5823,WestCoast
1,Vocational,1997,13252.06,2.43,6254,WestCoast
