Piv,Zyrc,Xelco,Yulos,Pilms,WAC,ID,ZIQ
3,Esplen,1977,56,4154.727273,ET,6644,2.24
38,Ardent,1970,53,7171.30303,FC,9533,2.75
7,Quilante,1969,46,4810.454545,ET,22,2.99
15,Vibranto,1966,3,5580.903226,FC,4862,2.08
37,Vibranto,2017,23,2315.701299,EM,5677,2.48
17,Quilante,2014,71,6431.792453,EM,1153,1.78
47,Esplen,1972,64,19146.71429,FC,6907,2.07
9,Solario,1987,3,3568.537313,FB,2567,2.63
19,Brillante,1990,62,2749.512195,FB,8182,1.51
4,Esplen,2011,50,1472.571429,ET,7770,1.95
32,Solario,2000,48,4854.222222,EM,2745,2.43
12,Brillante,1999,60,2548.351351,EM,8574,2.9
8,Esplen,1992,6,5441.10101,FB,6999,2.2
1,Solario,2015,13,5185.333333,FB,3975,3.23
7,Esplen,1980,57,10314.85714,EM,6614,2.15
19,Ardent,1992,75,12904.33333,FC,9012,2.26
11,Ardent,1991,95,3133.333333,FB,9348,2.81
16,Vibranto,1965,28,6783.275862,FC,5129,2.76
7,Esplen,1969,48,4285.151515,EM,7266,2.44
17,Esplen,1976,77,1675.333333,EM,7575,2.53
3,Esplen,2006,25,4281.702703,FB,6837,2.02
8,Ardent,1995,19,2193,ET,9250,3.07
1,Esplen,2015,32,9188.454545,EM,6822,2.3
12,Vibranto,1999,32,5417.076923,FB,4952,2.81
4,Ardent,1987,51,6064.428571,FC,9928,2.09
19,Brillante,1995,10,4259.727273,ET,8544,2.24
36,Brillante,1998,28,3439.512195,FB,8382,2.26
34,Ardent,1985,2,8812.666667,EM,9424,2.48
10,Quilante,1989,37,2958.181818,FC,555,3.3
12,Solario,1995,5,1944,FB,2680,2.84
4,Vibranto,1971,7,54985,FB,5002,2
5,Solario,1971,26,1585.588235,ET,3168,2.03
11,Ardent,1974,12,1931,FB,9880,2.53
46,Vibranto,1970,96,5747.461538,ET,4065,3.29
11,Solario,2007,46,11054,ET,2210,1.87
17,Brillante,1989,45,5463.702703,EM,8737,1.89
3,Solario,1970,16,4741.102564,FB,2139,2.3
0,Quilante,2011,69,9579,FC,820,3.22
24,Esplen,2005,17,3598.578947,FC,7038,2.18
13,Solario,1999,10,1549.512195,FB,3782,2.3
13,Brillante,1985,16,5124.537313,FC,8567,2.59
69,Vibranto,2010,67,6249.142857,EM,4635,1.82
21,Quilante,1974,27,5779.903226,FC,562,2.49
17,Quilante,1974,42,3465.051282,FB,1878,2.85
53,Esplen,1978,45,23177,ET,7905,2.64
25,Solario,1980,75,25961,EM,3804,2.8
113,Esplen,2006,74,2177.567901,ET,7781,2.67
9,Solario,1969,39,2011.461538,ET,3665,2.38
75,Vibranto,2009,40,2207.913043,EM,4046,2.12
3,Quilante,1987,53,5851,FB,1732,2.24
52,Vibranto,1992,89,2465.588235,EM,4368,2.84
4,Vibranto,2016,98,3338.806452,FB,5031,1.7
45,Esplen,1985,86,4792.952381,FC,7942,2.81
17,Quilante,2009,44,3225.142857,FB,435,2.99
30,Solario,1984,36,7218.454545,FB,2622,2.13
3,Vibranto,2007,56,4021.428571,FB,5028,2.5
22,Esplen,2000,85,5592.301587,ET,6863,2.57
9,Solario,2019,91,37433.33333,FC,3903,2.5
10,Solario,2019,64,2314.268817,FB,2193,3.23
25,Vibranto,1993,41,1481.10101,FB,4599,2.5
2,Esplen,1965,90,3048.102564,EM,6039,2.59
1,Vibranto,2005,50,5530.792453,FB,4253,2.5
68,Vibranto,1987,60,3100.461538,FB,5265,2.96
3,Esplen,1997,82,7042.826087,FC,6123,2.59
16,Ardent,2018,40,5083.863014,EM,9073,2.59
55,Quilante,2000,48,3483.425287,FB,1887,2.8
42,Solario,2002,87,37965.33333,ET,3503,3.11
30,Quilante,1992,3,4662.181818,FB,855,1.99
18,Esplen,2018,52,4169.333333,FB,7730,3.38
19,Esplen,1988,88,4469.666667,FB,7360,2.46
2,Esplen,2008,68,3566,EM,7980,2.7
69,Vibranto,1983,57,4439.822785,EM,5679,3.13
37,Quilante,1982,90,5821.428571,ET,228,2.18
17,Brillante,1984,54,5582.826087,ET,8123,3.33
58,Quilante,2018,95,5479.275362,ET,769,2.17
33,Esplen,2004,68,6277.051282,FC,6978,2.47
0,Quilante,1967,98,1921.137931,FC,758,2.73
3,Esplen,2000,96,5854.956522,ET,6692,2.61
26,Solario,1969,48,4041.142857,EM,3835,2.7
97,Ardent,1986,91,8743.157895,EM,9319,2.98
11,Brillante,1981,87,11559.11111,FC,8509,1.92
3,Solario,1980,100,4102.222222,FC,2545,2.45
2,Solario,1990,37,8268,ET,3516,2.52
4,Ardent,1968,90,3575.47619,FC,9184,2.6
3,Quilante,2018,62,4880.666667,FB,1824,2.18
11,Quilante,2009,47,7369,FC,816,2.8
31,Esplen,1966,92,3698.137931,FB,6258,2
21,Vibranto,1978,62,35648.33333,ET,5203,2.21
1,Solario,2016,62,25275,FC,2704,2.28
2,Esplen,1984,45,5514.826087,FC,7723,2.09
14,Vibranto,2011,39,4867.02439,ET,4541,2.97
35,Ardent,1985,44,3938.30303,FC,9133,2.67
0,Esplen,1998,70,4155.301587,EM,6963,2.43
43,Solario,2015,37,1851.863014,EM,2673,3.05
40,Solario,2017,32,3460.425287,ET,3587,2.44
18,Brillante,1982,85,5818.111111,ET,8290,2.42
10,Vibranto,2017,73,5969.142857,ET,4235,2.38
6,Brillante,1994,82,16858,FB,8408,2.84
16,Esplen,1966,81,23986,ET,6205,2.63
3,Ardent,1984,63,5475.151515,ET,9266,3.38
8,Solario,2010,71,21474.66667,FB,2606,1.46
18,Ardent,2012,3,2599.666667,FC,9260,3.67
26,Vibranto,1998,88,5661.806452,FB,5131,3.54
11,Esplen,2001,89,5311,ET,7850,2.96
45,Vibranto,2010,92,4968.428571,FB,4728,2.26
27,Vibranto,2015,73,8878,FB,5220,2.81
11,Solario,1967,93,7775.555556,FB,2618,2.71
52,Esplen,2013,2,5533.222222,ET,7445,2.57
47,Esplen,2004,38,8223.153846,FC,6626,2.28
2,Solario,1979,92,1266.10101,ET,2899,2.66
15,Vibranto,1972,62,2624.111111,FB,4590,2.11
19,Brillante,2012,97,9488.904762,FB,8221,2.47
3,Brillante,1968,71,1495.450704,FB,8171,3.21
9,Quilante,2012,82,1959.408163,EM,998,3.34
10,Quilante,1981,53,4272.333333,FB,1830,3.08
3,Esplen,1992,2,6590.02439,FC,7041,2.41
5,Brillante,2011,13,2770.727273,FB,8944,1.72
64,Ardent,2019,38,5307.851852,ET,9754,2.52
52,Solario,1997,50,6178.153846,FB,3126,3.16
30,Quilante,2004,23,5405.137931,EM,1558,2.49
15,Brillante,1991,22,8223.857143,EM,8514,2.98
8,Solario,2007,74,3078.790698,FC,2986,2.9
6,Quilante,1970,85,3995.792453,EM,653,3.35
1,Ardent,1985,56,7627.176471,ET,9834,2.14
33,Esplen,2017,92,4075.659574,EM,6947,2.34
23,Solario,1987,60,6201.153846,ET,2226,2.56
3,Quilante,1978,3,4726.666667,EM,1924,2.8
13,Vibranto,1998,14,6645.352941,FB,5417,2.2
8,Vibranto,2000,47,11508.85714,FB,4014,2.89
12,Quilante,1973,27,6712.333333,ET,1648,2.04
35,Solario,1978,70,6856,ET,2820,1.71
36,Quilante,2009,75,4401.826087,ET,223,2.21
15,Solario,2001,7,5875.151515,FB,2766,2.47
31,Brillante,1965,25,4817,EM,8725,2.44
2,Esplen,2003,83,2528.792453,FB,6253,2.13
8,Quilante,1969,8,4763.727273,FC,1044,3.35
18,Quilante,1996,49,13696,ET,1110,1.97
7,Esplen,1989,48,4775.863014,FB,6073,3.01
5,Brillante,1992,55,1183.901099,FB,8491,1.47
39,Esplen,1966,67,6209.666667,FC,6524,2.75
14,Vibranto,2008,74,6205.181818,EM,5255,2.71
4,Esplen,1996,34,20150,FB,6805,3.17
12,Brillante,1990,9,18837.66667,EM,8406,2.49
3,Solario,1989,34,6878,FC,2132,3.55
1,Quilante,1967,81,1998.701299,ET,1877,2.37
49,Solario,1991,8,7059.333333,FB,2130,2.73
13,Esplen,1978,34,4418,ET,7032,1.58
42,Vibranto,1978,49,8500,FB,5225,1.54
17,Solario,1966,4,3475.659574,EM,3147,3.01
2,Vibranto,1965,48,4752.181818,FC,5055,2.9
12,Solario,1992,29,4918,ET,3240,2.79
10,Quilante,1996,87,2993.819277,FC,883,2.39
19,Quilante,1986,61,3575.816327,FC,349,2.61
18,Solario,1970,84,3326.176471,ET,3934,2.36
4,Quilante,2000,5,5205.727273,ET,344,2.58
17,Vibranto,2017,70,3571,EM,5432,2.79
2,Vibranto,1980,86,4401.915254,FB,5059,2.16
20,Ardent,2014,25,2932.333333,FC,9375,2.55
17,Quilante,2017,29,10571.90909,EM,511,3.09
21,Ardent,1991,77,5977.301587,FB,9563,3.11
5,Brillante,1980,52,4645.470588,EM,8485,2.5
3,Quilante,2011,4,2454.571429,FB,370,2.88
1,Brillante,1986,62,4847.666667,FC,8096,2.7
3,Quilante,1988,78,3100.151515,FB,966,2.14
55,Vibranto,1969,54,4249.816327,EM,5049,2.11
4,Quilante,1966,84,4527.913043,FB,1446,3.14
14,Solario,2010,85,5675.806452,FC,2431,1.86
19,Quilante,2011,14,3070.851852,FC,654,2.64
17,Solario,1987,76,7435.428571,FC,2728,2.42
1,Brillante,2013,40,2358.567901,ET,8581,2.03
25,Quilante,1980,37,1934.666667,FC,160,1.49
6,Brillante,1965,11,100313,EM,8501,2.3
33,Esplen,2004,87,4600.428571,FC,7728,3.18
14,Vibranto,1978,19,3726.512195,EM,5182,3.01
7,Ardent,2014,23,5106.30303,EM,9833,3.67
4,Vibranto,1967,50,11100.33333,EM,5412,2.06
75,Solario,2006,12,2313.595506,ET,3189,2.54
20,Esplen,1971,38,3589.385965,FC,7057,2.23
9,Solario,1986,33,5504.351351,FB,3474,3.05
2,Solario,1991,13,7289,EM,2340,2.9
0,Solario,1983,66,4589.792453,FC,3253,2.41
1,Esplen,1967,94,3033.102564,FC,7839,2.53
6,Esplen,2010,34,20156.66667,FB,6106,2.91
1,Vibranto,2011,16,4715.956522,FB,4092,2.42
6,Quilante,1980,86,4511.927835,FC,997,1.32
54,Ardent,2010,26,2043.076923,EM,9852,2.49
59,Vibranto,1977,64,2832.851852,EM,4354,1.84
45,Esplen,1998,77,2742.076923,ET,6352,2.14
0,Solario,1987,62,2148.927835,EM,3997,1.66
7,Quilante,2010,90,10718,ET,610,2.92
23,Vibranto,1968,76,5002.333333,ET,4875,2.82
7,Quilante,1985,53,6607.153846,ET,1226,1.67
24,Vibranto,1987,19,5292,FC,6000,2.7
10,Ardent,2016,12,103675,FC,9401,1.91
11,Solario,1971,61,18217.71429,ET,3107,1.61
13,Quilante,1981,85,7766.666667,FB,24,2.06
4,Vibranto,2007,77,2415.901099,EM,4591,3.14
4,Esplen,1992,24,5500.268817,EM,6593,2
26,Esplen,1990,94,4292.901099,ET,7691,2.14
1,Quilante,2009,87,4904.819277,ET,1183,3.03
41,Esplen,1988,28,1231.111111,FC,6990,2.68
0,Quilante,1999,45,2641.344262,ET,661,2.66
51,Brillante,2016,75,12073.90909,FB,8111,1.99
44,Quilante,1974,8,9193.857143,FC,1814,2.57
18,Vibranto,1976,89,5942.5,EM,5664,2.94
11,Vibranto,1999,67,3817.703704,FB,5027,2.07
6,Vibranto,1969,37,6149.777778,FB,5136,2.86
1,Esplen,1983,94,1451.822785,FC,7279,2.36
51,Solario,1967,95,2347,ET,3380,2.39
11,Ardent,2019,89,13969,FC,9908,2.23
1,Esplen,1975,9,2122.666667,ET,6460,2.25
6,Vibranto,1970,70,7033.904762,EM,5821,2.46
32,Quilante,2009,34,3088.137931,FB,1458,2.86
107,Esplen,1976,59,3498.666667,ET,6160,3.08
1,Brillante,2000,57,3632.425287,EM,8187,2.49
21,Quilante,2018,98,2725.666667,ET,60,2.2
13,Brillante,2009,68,18501.71429,EM,8607,2.9
90,Ardent,2008,39,5457.701299,ET,9077,3.38
43,Quilante,1990,53,4119.333333,FC,1575,2.5
16,Vibranto,1966,67,4325.581395,ET,4143,2.81
11,Vibranto,2001,52,1303.051282,FB,4778,1.79
23,Quilante,1981,1,16964,ET,208,2.23
11,Vibranto,1979,38,13918,FC,5808,2.19
28,Quilante,2009,33,7651,FB,1125,2.88
5,Esplen,1997,11,17033.66667,FB,6506,2.11
9,Esplen,1986,22,5954.727273,FC,7344,2.67
10,Vibranto,1985,48,18448.66667,FB,5706,2.04
65,Solario,2002,78,8406.826087,FB,3723,2.02
15,Brillante,1964,42,3483.02439,FB,8141,2.11
17,Quilante,1975,82,2850.111111,EM,390,2.1
11,Brillante,2013,1,3734.595506,EM,8889,2.6
6,Vibranto,2001,18,3503.142857,FB,5435,2.37
10,Solario,1988,80,5343.268817,EM,2993,2.11
8,Esplen,1982,68,4088.913043,FC,6946,2.24
11,Esplen,1966,78,1253.927835,EM,6597,2.43
1,Quilante,1974,71,9803.333333,ET,212,2.39
21,Esplen,1972,56,4177.631579,FB,7195,2.36
5,Solario,1996,92,2296.408163,FB,2298,3.2
16,Ardent,2008,57,1830.714286,FC,9056,2.59
1,Esplen,1965,87,9666.307692,FB,7513,2.81
3,Vibranto,2008,2,4433,FB,5040,2.69
6,Ardent,1984,62,17204,FC,9108,2
29,Brillante,1985,19,4713.784314,EM,8651,2.79
38,Esplen,1975,95,4768.806452,FB,6331,2.54
2,Esplen,1994,64,3946.268817,FC,6793,2.33
3,Esplen,2018,10,5592.02439,ET,7841,3.12
35,Vibranto,2013,16,1521.567901,ET,5581,1.91
36,Ardent,2012,100,6741.102564,EM,9539,2.52
28,Quilante,2008,58,4839.567901,FB,81,2.7
7,Vibranto,1974,41,6020.571429,FB,4170,2.36
10,Solario,2002,13,3814.913043,FC,2246,3.05
41,Esplen,1975,87,4050.275362,EM,7369,3.28
4,Quilante,1973,11,7628.702703,FC,1637,2.16
14,Solario,2005,47,5976.181818,FC,3555,2.11
5,Quilante,2012,29,4759.151515,ET,466,2.83
15,Solario,1986,45,4976.454545,ET,3222,2.7
17,Esplen,2015,69,29918,ET,7404,2.72
17,Quilante,1996,55,6099.02439,ET,1641,2.23
6,Vibranto,1968,25,4709.051282,FC,4878,3.31
16,Solario,1972,41,14143,FB,3408,2.57
14,Quilante,1997,87,3637.851852,FB,1154,3.11
57,Vibranto,1989,52,4261.450704,FB,5571,2.74
15,Esplen,1971,22,4487.111111,FC,7490,2.18
9,Vibranto,1966,51,1461.571429,EM,4470,3.29
52,Solario,1965,44,2796.666667,EM,3796,2.7
47,Esplen,2018,77,5203.344262,FC,6861,2.05
20,Esplen,2000,26,14286,ET,6008,2.4
77,Quilante,2015,12,2061,FC,1000,2.75
12,Brillante,1989,10,4720.02439,ET,8541,2.61
12,Quilante,1970,15,8252.857143,FB,1214,2.2
10,Vibranto,2013,35,5391.408163,ET,4998,2.4
0,Quilante,2017,87,4225.806452,EM,431,2.14
9,Brillante,2003,88,29707,ET,8604,2.54
13,Brillante,2018,3,6809.333333,FC,8448,2.57
7,Esplen,1985,1,52100,FC,7302,3.16
29,Ardent,1981,55,3061.408163,EM,9498,2.32
3,Vibranto,1988,90,13224,EM,5510,2.29
6,Quilante,1967,24,16814,FB,8,2.64
34,Quilante,1980,40,12227,FC,510,2.83
12,Solario,1998,18,7218.555556,EM,3718,2.69
44,Ardent,1992,60,7230.352941,ET,9117,2.15
0,Ardent,2017,23,1813.567901,FB,9281,1.97
3,Solario,1977,59,8211.454545,FB,2722,2.16
3,Ardent,1970,18,6814.076923,ET,9552,2.86
4,Vibranto,1968,56,9981,FB,5120,2.56
1,Vibranto,2008,83,8561.904762,FB,5021,3.06
0,Esplen,2016,45,2277.927835,ET,7597,3.47
1,Solario,1996,90,52196,FB,3502,2.37
7,Vibranto,2014,26,2939.822785,FB,4679,2.69
10,Ardent,1970,47,6692.702703,FB,9837,2.2
3,Esplen,2007,77,6737.30303,ET,7533,2.48
15,Quilante,2003,43,8794.157895,ET,1819,2.66
10,Esplen,1981,54,9709,FB,6016,3.02
29,Vibranto,1986,42,4569.819277,EM,5983,2.63
20,Quilante,1978,61,2297.301587,EM,63,3.15
55,Quilante,2000,35,5489.666667,FB,1960,2.71
2,Vibranto,1968,47,4730.956522,ET,4592,2.76
2,Ardent,1968,53,1843.5,FB,9464,2.45
24,Quilante,2007,2,3892.567901,FB,1381,2.6
7,Vibranto,2001,18,4093.333333,FC,5975,2.02
17,Brillante,2003,16,2828.588235,FB,8968,2.48
27,Vibranto,2010,80,3305.333333,EM,4548,1.78
4,Quilante,1974,65,2849.714286,FC,1656,2.23
22,Quilante,2011,50,1338.408163,EM,1898,2.29
24,Solario,1979,26,4965.428571,ET,3428,3.11
28,Esplen,2007,83,38296.33333,FB,7303,1.85
17,Vibranto,1980,13,9393.857143,ET,4514,2.55
5,Esplen,1996,24,6291.792453,EM,7053,3.45
6,Vibranto,1970,62,4912.385965,FC,4957,2.38
2,Ardent,2013,71,4741.588235,FB,9768,2.02
13,Vibranto,2001,4,100447,ET,4801,2.16
5,Vibranto,1970,74,6657.333333,FC,5148,2.85
40,Vibranto,1996,73,5252,FC,4525,3.23
20,Ardent,2007,51,2173.666667,EM,9696,2.11
19,Vibranto,1983,12,2929.901099,EM,4691,2.78
9,Ardent,2011,47,4008.176471,FC,9034,3.06
29,Vibranto,2006,73,51419,FC,5602,2.86
24,Ardent,1970,18,50303,ET,9802,2.76
12,Esplen,1988,99,5146.952381,FC,7642,3.06
4,Solario,2018,26,2801.344262,ET,2161,2.9
10,Solario,1995,40,2622.181818,FC,2255,3.21
0,Quilante,2003,55,3014.425287,FC,487,2.54
34,Esplen,1968,3,3333.829787,FC,7194,2.37
20,Brillante,1986,15,7237,EM,8320,2.53
6,Esplen,1978,22,14496.11111,ET,6909,2.28
5,Quilante,1990,95,2000.714286,FC,56,2.67
8,Vibranto,2012,82,2952.512195,EM,4682,2.78
28,Vibranto,1983,65,3712.275862,FB,5429,3.9
13,Esplen,1981,15,4316.863014,FC,6973,2.56
16,Vibranto,1981,86,10400,FC,4410,2
53,Quilante,1996,35,4979.702703,ET,1837,1.88
33,Vibranto,2004,37,1843.903226,FB,5062,1.9
57,Esplen,1988,99,3935.351351,ET,7674,2.91
27,Solario,2016,37,5873.819277,FB,3983,3.2
37,Brillante,2017,15,8025.826087,FB,8723,2.24
24,Brillante,1997,88,2367.385965,FC,8657,3
15,Esplen,1984,42,4577.666667,FC,6224,2.34
30,Solario,1981,17,25816,FC,3504,3.11
21,Vibranto,1992,97,2611.888889,FC,4072,2.18
16,Quilante,2000,32,3096.301587,EM,663,3.41
1,Esplen,1976,92,3980.363636,ET,7188,2.13
8,Ardent,2000,76,2626.659574,EM,9447,1.93
16,Ardent,1979,87,3404.363636,FC,9988,2.57
2,Quilante,2008,37,1958.408163,ET,898,2.14
35,Solario,2019,57,6772,FC,3932,2.73
4,Vibranto,1990,90,6221.450704,ET,4371,2.21
0,Solario,1972,12,5031,FC,2032,2.14
24,Esplen,1973,62,7853.176471,EM,6034,2.35
7,Quilante,2000,17,2207.588235,FB,1868,2.77
1,Quilante,1987,47,6220.784314,FB,1251,1.88
39,Brillante,1990,72,12398,EM,8210,2.14
6,Esplen,2006,69,6561.181818,FB,7855,2.17
7,Ardent,2011,95,3570.714286,EM,9956,2.32
9,Esplen,1971,8,4282.666667,FB,7896,2.5
22,Ardent,1984,11,4700.470588,EM,9285,2.57
20,Ardent,1997,71,5635.268817,FB,9793,3.57
20,Esplen,1976,81,2382.363636,FB,7388,2.62
15,Ardent,2008,20,3464.537313,FB,9167,2.78
54,Brillante,1975,30,20596.66667,FB,8506,2.21
4,Solario,2005,82,3264.408163,FC,3498,2.48
30,Quilante,1973,41,24881,ET,905,2.12
0,Quilante,1989,3,4717.913043,FC,746,2.03
1,Solario,1972,53,6042.02439,EM,3341,2.72
40,Quilante,2006,90,3531.784314,FB,1651,2.71
5,Quilante,1986,57,6195.789474,ET,576,2.35
38,Ardent,1999,75,1996.275362,EM,9169,1.98
4,Ardent,1988,31,102847,FC,9801,2.07
9,Quilante,2010,70,6149.142857,FC,135,3.33
15,Quilante,2005,59,1932.301587,EM,1163,2.02
36,Vibranto,1968,59,3137,ET,4600,2.4
6,Vibranto,1968,93,1801.789474,FB,4176,3.37
36,Solario,2018,73,6060.333333,ET,2975,3.11
10,Vibranto,1980,91,5979.702703,ET,5537,3.15
13,Esplen,1968,68,6657.02439,EM,7741,2.01
25,Vibranto,1965,72,6173.588235,EM,5968,2.3
15,Ardent,2015,19,5434.408163,EM,9398,2.83
5,Vibranto,1973,91,4233.777778,FB,5736,2.47
9,Ardent,2000,30,3233.727273,FB,9544,2.12
8,Quilante,1982,54,1257.268817,FB,1393,2.08
22,Ardent,1978,36,50425,FB,9502,2.35
57,Vibranto,1971,59,22201,ET,5405,2.59
20,Esplen,2009,31,3500.581395,FC,6443,1.66
11,Brillante,2007,81,6037.952381,EM,8942,2.06
16,Vibranto,1990,79,3945.567901,ET,5881,2.56
6,Solario,2009,60,8080.454545,ET,3022,1.88
45,Quilante,2018,94,3822.567901,ET,481,2.38
30,Esplen,1970,15,5288.425287,ET,7887,2.74
35,Solario,1994,70,4275.47619,ET,2784,2.21
1,Brillante,1982,2,6904.454545,FC,8122,2.02
1,Solario,1971,78,2951.385965,FC,2457,2.24
27,Brillante,2007,49,1513.571429,FC,8970,2.41
9,Quilante,2005,27,50647,FC,2,3.73
14,Brillante,1986,3,2096.076923,FB,8152,2.18
10,Vibranto,1983,3,5465.727273,FB,4644,2.75
31,Solario,1965,82,3985.903226,ET,2562,1.96
3,Solario,2001,57,6579.301587,ET,3363,2.93
25,Solario,1984,71,5575,ET,2750,2.58
20,Vibranto,1975,68,4193.702703,FC,4637,2.79
24,Quilante,2017,38,4205.333333,FC,1530,3.46
35,Quilante,1981,1,3317.792453,EM,1553,2.15
12,Quilante,2007,59,4221.913043,FC,1246,3.35
21,Esplen,2014,53,4720.333333,FB,6030,1.53
15,Brillante,1979,21,3007.333333,FB,8648,2.26
8,Quilante,2000,30,5030,ET,1700,2.39
21,Brillante,1977,39,3740.659574,FC,8647,2.66
4,Vibranto,1975,19,6413.784314,FB,4951,2.9
35,Quilante,2012,94,1313.10101,ET,1499,2.53
38,Quilante,2015,19,3827.051282,FB,78,3.32
31,Esplen,2019,40,7938.275862,FB,7029,1.81
11,Vibranto,1999,45,4363.727273,ET,4744,2.76
36,Ardent,1987,58,5383.956522,ET,9092,2.21
1,Vibranto,2013,39,2726.567901,FB,5381,1.62
3,Vibranto,2017,84,3336.363636,FC,4088,2.67
12,Esplen,2001,18,5239.137931,FB,7658,2.94
11,Vibranto,1981,29,38191.33333,EM,4903,2.55
2,Quilante,2010,54,2973.784314,FC,751,3
56,Quilante,2017,17,6571.30303,FB,1533,3.04
4,Quilante,2008,86,2226.863014,FB,873,2.37
26,Vibranto,2011,44,2897.363636,FB,5288,2.38
39,Vibranto,1988,83,3174.425287,ET,5187,1.53
36,Esplen,1995,94,3778.952381,ET,6642,2.31
14,Quilante,1976,1,3498.578947,FB,1838,2.01
2,Quilante,1984,80,1074.829787,ET,294,2.32
57,Quilante,1996,44,6344.903226,ET,262,1.57
0,Solario,2009,12,3199.851852,ET,3354,2.26
34,Quilante,2006,28,25920,FB,304,2.87
10,Brillante,1989,74,1926.701299,FC,8877,2.52
2,Brillante,1996,74,2829.927835,FC,8297,2
21,Ardent,1999,8,20041,FB,9105,2.8
26,Quilante,2002,10,1317.425287,EM,1587,2.92
4,Vibranto,1991,42,13503.11111,FB,5709,1.63
38,Quilante,2004,3,4032.666667,EM,1396,2.27
