LinkedIN,Major,DOB,Tuition,College_location,ID,GPA
2,Buisness,1979,4247,WestCoast,106,2.89
4,STEM,1984,5149,EastCoast,107,2.95
21,Humanities,1999,8031,Central,108,2.98
6,Buisness,1969,4401,WestCoast,109,2.45
48,Humanities,1988,3422,WestCoast,110,2.83
37,Vocational,1954,8003,EastCoast,111,2.13
15,STEM,1952,6404,WestCoast,112,2.78
5,Vocational,1996,1616,Central,113,2.63
110,Vocational,1963,3468,Central,114,2.09
79,Professional,2001,7815,Central,115,2.61
6,STEM,1998,21502,Central,116,2.83
13,Other,1975,3500,EastCoast,117,3.52
7,Buisness,1993,2840,EastCoast,118,2.09
34,Professional,1990,2438,WestCoast,119,2.01
38,Other,1990,4366,Central,120,2.62
9,Humanities,1956,2151,Central,121,2.57
3,Vocational,1993,4942,WestCoast,122,2.56
9,Buisness,2001,8961,Central,123,2.55
60,Professional,1949,10118,EastCoast,124,2
44,Professional,1965,2157,WestCoast,125,2.15
16,Other,1988,5742,EastCoast,126,1.8
19,Professional,1999,15479,Central,127,2.31
4,Vocational,1992,4100,Central,128,2.75
18,Professional,1994,5399,EastCoast,129,2.34
69,Professional,1971,54914,Central,130,2.51
20,Humanities,1968,5154,WestCoast,131,2.85
17,STEM,1959,2567,Central,132,2.51
3,Professional,1990,5514,EastCoast,133,2.02
41,STEM,1961,11503,Central,134,2.22
22,Professional,1979,4414,EastCoast,135,1.93
11,Humanities,2001,12322,Central,136,2.1
12,Other,1957,3324,EastCoast,137,2.83
55,STEM,1980,2040,EastCoast,138,2.75
30,Professional,1966,4406,EastCoast,139,2.61
18,Professional,1966,7441,WestCoast,140,2.61
14,Professional,2003,6399,EastCoast,141,2.83
15,STEM,1963,5196,EastCoast,142,2.72
11,Professional,1980,5963,Central,143,2.14
50,Buisness,1961,2360,EastCoast,144,1.24
5,Professional,1987,2851,EastCoast,145,2.1
6,Professional,2000,3703,EastCoast,146,3.35
5,STEM,1957,3307,EastCoast,147,2.74
37,Humanities,1984,5416,WestCoast,148,1.77
7,STEM,1988,4216,WestCoast,149,2.92
1,Buisness,1968,1478,EastCoast,150,2.81
38,STEM,1975,4897,WestCoast,151,2.17
2,Vocational,2001,53031,Central,152,2.71
76,Vocational,1952,101576,EastCoast,153,2.21
17,Vocational,2001,5575,WestCoast,154,2.68
1,Other,1958,4438,EastCoast,155,2
9,Professional,1974,8161,EastCoast,156,2.61
3,Other,1995,4721,EastCoast,157,2.31
1,Professional,1950,6700,Central,158,2.24
2,Other,1987,4949,EastCoast,159,2.25
8,Humanities,1994,17121,WestCoast,160,1.46
6,Vocational,2000,2260,WestCoast,161,3.18
8,Professional,1972,7543,Central,162,2.23
2,STEM,1984,6187,EastCoast,163,2.24
30,Other,1950,4134,WestCoast,164,1.78
41,Buisness,1998,2093,EastCoast,165,3.17
17,Other,1955,6663,Central,166,2.72
22,Buisness,1996,4510,EastCoast,167,2.89
36,STEM,1949,3345,EastCoast,168,2.73
6,Vocational,1953,2903,Central,169,2.25
36,Vocational,1991,9943,Central,170,3.4
2,Other,1994,5676,Central,171,2.12
31,Vocational,1976,6190,WestCoast,172,2.89
5,Other,1990,10201,WestCoast,173,2.64
23,Humanities,1977,7425,Central,174,2.33
7,Vocational,1958,2042,Central,175,1.76
10,Vocational,1962,2132,Central,176,2.16
9,Other,1983,3177,EastCoast,177,2.2
40,Humanities,2001,6079,EastCoast,178,2.44
23,Professional,1979,1271,WestCoast,179,2.5
15,Professional,2002,6663,EastCoast,180,3.3
18,Professional,1991,14603,EastCoast,181,2.16
4,STEM,2002,4951,Central,182,2.11
24,Other,1983,4495,EastCoast,183,2.67
84,Other,1959,15828,Central,184,2.53
1,Other,2000,3367,WestCoast,185,1.99
35,Vocational,1949,5588,Central,186,2.97
8,Vocational,1971,5413,Central,187,2.19
3,Vocational,1968,6010,WestCoast,188,2.4
24,Buisness,1998,18464,Central,189,1.92
7,Other,1984,4704,EastCoast,190,2.46
23,Professional,1968,5224,Central,191,2.36
15,Professional,1956,3248,WestCoast,192,2.85
16,STEM,1962,7097,Central,193,2.54
19,Buisness,1974,2657,Central,194,1.62
6,Vocational,1955,6578,Central,195,2.87
4,STEM,1968,5788,WestCoast,196,2.4
4,Humanities,1966,6558,EastCoast,197,2.76
5,STEM,1957,5184,WestCoast,198,3.29
20,Other,1997,5863,EastCoast,199,3.7
12,Humanities,1992,3224,EastCoast,200,1.97
54,Humanities,1966,1725,EastCoast,201,3.05
13,Professional,1985,4915,Central,202,2.79
20,STEM,1951,5431,EastCoast,203,2.84
8,Buisness,1968,1540,EastCoast,204,2.3
55,Professional,1950,4097,EastCoast,205,1.62
1,Professional,1989,15536,WestCoast,206,2.24
59,Vocational,1968,3266,EastCoast,207,2.36
10,STEM,1977,5965,EastCoast,208,2
7,Humanities,1963,4950,WestCoast,209,2.26
16,Professional,1981,19940,Central,210,1.93
58,Other,2003,5374,EastCoast,211,2.35
12,Buisness,1974,18669,EastCoast,212,2.49
4,Vocational,2002,6006,EastCoast,213,2.69
13,STEM,1953,6232,Central,214,2.94
0,Professional,1988,6768,Central,215,1.91
8,Professional,1952,4510,Central,216,2.33
58,Professional,1956,2815,Central,217,2.34
1,Humanities,1991,2050,Central,218,3.02
11,Vocational,1969,5417,EastCoast,219,2.45
29,Vocational,1951,4889,EastCoast,220,2.35
21,Professional,1969,3309,WestCoast,221,2.63
10,STEM,1978,4412,Central,222,2.02
3,Professional,1980,6381,Central,223,2.36
45,Vocational,1975,2570,WestCoast,224,2.85
30,STEM,1972,7762,Central,225,2.68
2,Humanities,1995,4678,EastCoast,226,2.91
6,STEM,2001,8675,EastCoast,227,3.1
26,STEM,1998,18120,EastCoast,228,2.52
13,STEM,1990,6142,Central,229,2.95
26,Vocational,1981,4435,Central,230,2.86
3,Professional,1963,8993,EastCoast,231,2.41
5,Buisness,1987,3456,WestCoast,232,2.49
12,Professional,1965,102589,WestCoast,233,2.73
6,Professional,1989,8764,WestCoast,234,2.52
10,Buisness,1967,1870,EastCoast,235,2.2
38,Buisness,1961,6569,WestCoast,236,3.32
2,Buisness,1971,3450,EastCoast,237,2.21
5,Vocational,1955,2972,WestCoast,238,2.22
1,STEM,1965,6974,EastCoast,239,2.76
8,Vocational,1962,2808,Central,240,2.13
4,STEM,1998,3026,WestCoast,241,2.07
6,Other,1952,3911,EastCoast,242,2.31
8,Vocational,1999,6545,EastCoast,243,2.41
17,Professional,1953,18078,WestCoast,244,3.5
27,STEM,1951,3403,WestCoast,245,2.47
26,Vocational,1960,1918,EastCoast,246,2.87
8,Vocational,1951,5502,WestCoast,247,3.74
2,Buisness,2002,4587,EastCoast,248,1.74
63,Humanities,1962,4347,EastCoast,249,2.62
1,Humanities,1995,6322,WestCoast,250,1.83
68,Vocational,1952,4982,Central,251,2.61
16,Humanities,1971,2414,WestCoast,252,2.3
4,Humanities,1964,5149,EastCoast,253,2.53
101,Professional,1978,5881,EastCoast,254,2.4
52,Vocational,2002,4750,Central,255,2.95
29,Buisness,1965,2192,EastCoast,256,3.03
20,Professional,1984,15136,Central,257,2.4
25,Humanities,1970,1742,WestCoast,258,2.47
35,Humanities,1978,4611,Central,259,2.21
49,STEM,1991,1978,EastCoast,260,2.66
13,Buisness,1987,5325,Central,261,2.17
34,Vocational,1995,7099,EastCoast,262,3.06
78,Professional,1992,3499,Central,263,2.26
16,Professional,1963,3418,WestCoast,264,2.31
1,Vocational,1988,21269,Central,265,2.73
5,Professional,1978,2899,Central,266,3.15
7,Humanities,1991,3929,WestCoast,267,2.08
24,Other,1954,54582,WestCoast,268,2.76
43,Professional,1951,1489,WestCoast,269,2.05
12,STEM,1982,5092,Central,270,2.26
10,Humanities,1980,5870,Central,271,2.1
17,STEM,1959,4811,WestCoast,272,2.1
20,Vocational,1970,18941,Central,273,2.73
31,STEM,1976,5507,Central,274,2.32
2,Vocational,1987,4074,Central,275,2.34
0,STEM,1977,14414,Central,276,1.72
2,STEM,1966,5810,WestCoast,277,2.41
0,STEM,1950,2028,Central,278,2.99
6,Buisness,1999,5766,WestCoast,279,2.56
37,Other,1994,100986,Central,280,1.65
39,STEM,1995,7311,Central,281,2.62
9,Professional,1967,2008,WestCoast,282,3
8,Vocational,1981,8163,WestCoast,283,2.62
44,Vocational,1961,13020,WestCoast,284,2.43
9,Professional,1981,38269,EastCoast,285,3.34
48,Vocational,1987,5903,WestCoast,286,2.67
58,Vocational,1949,3763,WestCoast,287,2.06
7,Buisness,1957,7107,EastCoast,288,2.77
35,Humanities,1981,5137,Central,289,1.9
0,Buisness,1950,7884,Central,290,2.14
20,Other,1993,15224,Central,291,2.52
2,Humanities,1965,6127,EastCoast,292,2.39
2,Buisness,1986,2906,EastCoast,293,2.59
63,Humanities,1958,14906,EastCoast,294,2.52
2,Buisness,1978,4597,Central,295,2.84
6,Vocational,1991,2741,Central,296,2.11
25,Professional,1990,5385,Central,297,3.04
4,Humanities,1995,5744,Central,298,1.31
5,Professional,2003,1756,EastCoast,299,2.07
18,Humanities,1985,5750,Central,300,2.23
11,Humanities,1984,5183,EastCoast,301,1.69
118,Vocational,1976,4128,EastCoast,302,3.01
15,Buisness,1975,8553,WestCoast,303,2.98
2,Other,1970,2553,EastCoast,304,2.47
19,Buisness,2003,8542,EastCoast,305,1.81
13,Humanities,1996,2939,WestCoast,306,1.49
29,Professional,1951,7210,WestCoast,307,2.06
4,Buisness,1962,7045,EastCoast,308,2.44
11,Vocational,1983,5804,Central,309,2.76
3,Vocational,1999,3423,EastCoast,310,2.7
12,Humanities,1958,18621,EastCoast,311,2.53
1,Professional,1989,18802,EastCoast,312,2.38
81,Buisness,1995,7318,Central,313,2.2
6,STEM,1967,4858,WestCoast,314,1.91
34,Vocational,1981,5330,WestCoast,315,1.61
22,Humanities,1975,2796,WestCoast,316,1.46
18,Buisness,1987,7151,WestCoast,317,3.11
24,STEM,1973,2443,Central,318,2.82
11,Professional,1972,3882,EastCoast,319,2.22
25,STEM,1963,6533,WestCoast,320,2.48
54,Humanities,1949,5457,Central,321,2.66
26,Humanities,1993,6783,Central,322,2.61
16,Humanities,1964,4788,EastCoast,323,2.86
7,Professional,1968,28425,Central,324,2.85
25,Vocational,1950,25217,EastCoast,325,2.78
33,Vocational,1965,5733,WestCoast,326,2.87
8,Professional,1966,5761,Central,327,2.34
3,STEM,1973,5990,Central,328,1.22
56,STEM,1958,13767,EastCoast,329,2.2
23,STEM,1979,4241,Central,330,2.59
22,Other,1949,104872,WestCoast,331,1.72
24,Professional,1965,2238,WestCoast,332,2.93
18,Humanities,1962,5540,WestCoast,333,2.57
10,Professional,1978,4094,Central,334,3.42
11,Other,1964,3303,Central,335,2.14
4,Vocational,1959,3002,EastCoast,336,2.85
37,Buisness,1957,8839,WestCoast,337,2.19
17,Humanities,2003,4864,WestCoast,338,2.45
40,Humanities,1987,102809,Central,339,2.88
2,STEM,1994,5239,WestCoast,340,2.7
19,Vocational,1949,5266,Central,341,2.59
24,Humanities,1964,4851,EastCoast,342,1.3
2,Professional,1966,25267,WestCoast,343,1.87
41,STEM,2001,4268,Central,344,2.26
3,Vocational,1957,4158,EastCoast,345,1.83
6,Professional,1957,2859,Central,346,1.38
26,STEM,1970,2723,Central,347,3.38
29,Humanities,1988,2060,EastCoast,348,2.56
13,Buisness,1980,12775,WestCoast,349,2.25
83,Professional,1976,9301,Central,350,3.33
9,Vocational,2003,7646,Central,351,3.41
42,Humanities,2002,5988,EastCoast,352,2.15
24,Humanities,1982,6300,EastCoast,353,3.83
5,Professional,1992,2957,EastCoast,354,2.35
2,Humanities,1998,1336,Central,355,2.61
1,Humanities,1969,7137,EastCoast,356,2.85
24,Buisness,1980,3289,WestCoast,357,1.62
23,Professional,1986,2182,Central,358,2.49
44,STEM,1955,6647,WestCoast,359,1.73
31,Buisness,1982,6795,Central,360,2.35
11,Professional,1979,5211,Central,361,2.87
96,Professional,1954,2798,Central,362,2.55
1,Vocational,1958,6576,Central,363,2.1
7,Professional,1963,4049,WestCoast,364,2.39
59,Professional,2002,5285,EastCoast,365,1.94
32,Vocational,2000,35874,EastCoast,366,2.78
43,Humanities,1983,4377,EastCoast,367,2.16
8,Vocational,1986,11001,Central,368,3.38
14,STEM,1960,6623,WestCoast,369,2.01
12,Humanities,1954,1278,EastCoast,370,2.23
39,Professional,1992,4634,Central,371,2.93
21,Professional,1974,6959,Central,372,2.62
13,STEM,2003,10085,EastCoast,373,2.93
12,STEM,1973,2040,Central,374,3.05
13,STEM,1980,5171,EastCoast,375,1.46
19,Other,1955,7036,WestCoast,376,2.35
17,Humanities,1952,3520,Central,377,2.74
23,Humanities,1992,13300,EastCoast,378,2.68
3,STEM,1949,3486,EastCoast,379,2.66
26,Vocational,1970,52166,WestCoast,380,2.64
2,Humanities,1950,4742,Central,381,1.63
2,Vocational,1965,9235,WestCoast,382,2.11
2,Humanities,1968,7444,EastCoast,383,1.58
103,Buisness,1951,11838,Central,384,1.59
5,Humanities,2000,5548,Central,385,2.04
10,Vocational,1957,2181,Central,386,1.83
12,Professional,1954,9108,EastCoast,387,3.51
31,Buisness,1970,2996,Central,388,1.93
4,Professional,1953,6083,Central,389,2.4
12,Vocational,1969,3720,WestCoast,390,3.22
27,Humanities,1979,5737,EastCoast,391,2.42
1,Humanities,1995,14711,Central,392,2.4
6,Humanities,1959,3592,EastCoast,393,2.42
3,STEM,1976,3667,WestCoast,394,2.24
7,Professional,1954,2050,WestCoast,395,2.81
1,Vocational,1972,4087,EastCoast,396,1.81
8,Other,1968,6994,EastCoast,397,2.58
2,Professional,1997,7839,Central,398,2.32
13,Other,1999,12051,EastCoast,399,2.83
2,Professional,1991,100291,EastCoast,400,3.26
2,Professional,1971,3128,EastCoast,401,1.46
2,Professional,1954,5860,WestCoast,402,2.92
4,STEM,1996,3713,EastCoast,403,3.49
75,Vocational,1993,4356,EastCoast,404,2.12
2,Vocational,1998,7177,WestCoast,405,2.73
2,Professional,1980,7947,WestCoast,406,2.43
24,Professional,1989,1998,Central,407,2.84
22,Buisness,1988,4252,WestCoast,408,2.96
68,Professional,1982,3682,WestCoast,409,2.66
13,Professional,1961,4732,Central,410,2.71
2,Vocational,1974,5407,Central,411,2.73
51,Buisness,1959,5498,EastCoast,412,1.9
25,Other,1955,3601,WestCoast,413,3.19
15,Other,1973,5772,Central,414,3.15
23,Humanities,2001,3824,WestCoast,415,2.16
29,Humanities,1960,5835,WestCoast,416,2.8
15,Buisness,1950,5088,WestCoast,417,1.86
7,Professional,1966,9714,WestCoast,418,2.11
18,STEM,1983,2013,Central,419,3.21
36,Vocational,1998,3411,WestCoast,420,2.39
30,Vocational,1976,7220,Central,421,2.58
19,STEM,1970,5638,Central,422,1.62
7,Humanities,1953,2598,WestCoast,423,2.78
15,STEM,1965,14159,WestCoast,424,2.76
13,Humanities,1992,37107,EastCoast,425,2.71
3,Other,2000,6465,WestCoast,426,2.75
9,Buisness,1985,7458,EastCoast,427,1.88
45,STEM,1963,5551,EastCoast,428,3.15
13,Humanities,1955,9125,Central,429,2.64
32,Humanities,1972,5634,EastCoast,430,2.44
11,Humanities,1961,2120,WestCoast,431,2.49
19,Humanities,1981,2093,WestCoast,432,2.12
13,Professional,1979,3817,Central,433,3.12
63,STEM,1964,5536,EastCoast,434,2.14
1,STEM,1964,4799,EastCoast,435,3.13
1,Professional,1999,7875,Central,436,2.6
8,STEM,1972,11117,EastCoast,437,2.44
19,Professional,1972,5122,Central,438,2.46
14,Buisness,1975,1857,WestCoast,439,1.04
15,Humanities,1958,9987,WestCoast,440,1.72
59,Buisness,1953,7720,EastCoast,441,3.87
9,STEM,1986,6790,Central,442,1.73
26,Humanities,1995,2033,EastCoast,443,3.11
5,Humanities,1952,2708,Central,444,3.43
1,Other,1954,4382,Central,445,2.37
10,Humanities,1977,3880,EastCoast,446,3.08
10,Professional,1965,1827,EastCoast,447,2.87
11,Vocational,1989,5675,WestCoast,448,2.82
5,Humanities,1950,7070,Central,449,2.3
8,STEM,1982,2740,WestCoast,450,2.55
0,Vocational,1987,2986,WestCoast,451,3.19
15,Other,1973,4544,WestCoast,452,1.81
6,STEM,1977,2921,EastCoast,453,1.81
25,STEM,1976,4074,EastCoast,454,2.21
23,Professional,1988,6320,EastCoast,455,2.22
27,Vocational,1979,5565,EastCoast,456,2.45
19,Vocational,1979,5799,Central,457,2.45
35,Humanities,1984,2898,Central,458,2.9
36,Professional,1978,4378,WestCoast,459,3.72
17,Professional,1999,1988,WestCoast,460,2.63
23,Humanities,1972,3997,Central,461,2.23
1,Other,1963,37066,Central,462,2.45
7,Buisness,1972,5337,Central,463,2.38
51,Professional,1972,9174,WestCoast,464,2.12
30,Vocational,1967,8843,WestCoast,465,2.19
10,Professional,1975,4567,WestCoast,466,3.01
2,Professional,1985,3080,EastCoast,467,3.28
8,Professional,1971,4886,Central,468,3.08
1,Vocational,1977,5628,Central,469,2.66
63,Other,1969,5402,EastCoast,470,3.07
25,Buisness,1960,5616,Central,471,2.63
5,Buisness,1996,7239,EastCoast,472,2.35
12,STEM,1954,13772,EastCoast,473,2.29
7,Vocational,1976,2288,EastCoast,474,3.57
34,Buisness,1991,5159,WestCoast,475,2.05
11,Professional,1954,1797,EastCoast,476,2.27
15,Other,1982,3028,Central,477,2
5,Humanities,1950,5997,Central,478,2.38
1,Humanities,1979,4711,EastCoast,479,2.94
11,Professional,1984,7341,EastCoast,480,2.38
5,Humanities,1971,4637,Central,481,2.77
3,Professional,1959,2102,EastCoast,482,2.4
0,Professional,1960,54960,EastCoast,483,2.56
9,Professional,1963,4357,Central,484,2.61
46,Buisness,1964,6468,WestCoast,485,2.44
11,Humanities,1991,7622,WestCoast,486,2.43
20,Other,1981,3011,WestCoast,487,3.57
6,Vocational,1954,5154,EastCoast,488,2.54
1,Professional,1956,13076,Central,489,2.36
50,STEM,1967,3570,EastCoast,490,2.32
22,Professional,1953,5234,WestCoast,491,2.04
16,STEM,1999,1140,WestCoast,492,2.15
16,STEM,1949,2691,Central,493,2.87
40,STEM,1983,1821,Central,494,2.68
47,Vocational,1956,2062,WestCoast,495,2.47
11,Other,1984,6682,WestCoast,496,2.41
9,Vocational,1978,4608,WestCoast,497,2.62
8,Professional,1976,7751,WestCoast,498,1.97
24,Humanities,1967,1640,EastCoast,499,2.33
13,Humanities,1983,4784,WestCoast,500,2.3
7,Vocational,1963,3126,EastCoast,501,2.46
18,Buisness,1984,5179,EastCoast,502,1.64
11,Buisness,1966,5035,WestCoast,503,2.69
64,STEM,1966,6784,Central,504,2.37
2,Humanities,1974,2754,WestCoast,505,3
10,Humanities,1965,6613,WestCoast,506,1.59
4,Humanities,1965,3702,WestCoast,507,3.24
10,Vocational,1997,3927,Central,508,2.4
6,Buisness,1996,22195,WestCoast,509,2.63
2,Vocational,1952,1754,WestCoast,510,2.76
2,Professional,1954,21324,EastCoast,511,2.35
15,Humanities,1976,1266,Central,512,2.79
3,Humanities,1995,12146,EastCoast,513,3.51
5,STEM,1994,5930,EastCoast,514,2.58
78,Professional,1993,38017,EastCoast,515,2.8
6,Buisness,1978,17068,Central,516,2.84
13,Humanities,1996,1705,Central,517,2.79
28,Humanities,1979,5316,WestCoast,518,2.7
40,Vocational,1991,100396,EastCoast,519,2.39
21,Professional,1989,5685,WestCoast,520,1.87
12,Humanities,1987,9230,WestCoast,521,2.84
24,Vocational,1970,5372,WestCoast,522,2.49
8,Humanities,1992,3182,Central,523,1.53
15,Professional,1998,4862,WestCoast,524,1.87
15,Humanities,1977,1679,WestCoast,525,3.66
23,Vocational,1950,5151,Central,526,2.05
35,Professional,1988,7887,WestCoast,527,3
18,Vocational,1960,5082,EastCoast,528,2.94
7,Humanities,1963,5827,Central,529,3.24
26,STEM,1964,3675,Central,530,2.33
25,Buisness,1996,5087,Central,531,2.26
72,Professional,1953,6469,EastCoast,532,1.85
7,Professional,1972,3168,WestCoast,533,2.46
25,Vocational,1996,11052,WestCoast,534,1.57
11,Humanities,2000,8673,EastCoast,535,1.54
28,Humanities,1976,53895,WestCoast,536,2.45
44,Humanities,1994,3207,WestCoast,537,1.86
51,Professional,1976,13596,WestCoast,538,2.43
20,Vocational,1984,4055,EastCoast,539,1.98
23,STEM,1999,34193,WestCoast,540,3.25
9,Buisness,1953,2852,Central,541,1.41
15,STEM,1980,1106,WestCoast,542,2.9
21,STEM,1967,7468,Central,543,2.47
25,STEM,1993,2805,EastCoast,544,2.51
0,Professional,1995,2180,WestCoast,545,3.24
54,Humanities,1998,3804,Central,546,2.68
28,Vocational,1980,1469,EastCoast,547,1.64
28,Vocational,1962,8756,WestCoast,548,2.57
0,STEM,1987,1869,EastCoast,549,2.54
14,STEM,1995,6412,EastCoast,550,2.5
166,Buisness,1976,4573,EastCoast,551,2.88
5,Humanities,1971,3442,Central,552,2.42
25,Other,1994,1910,EastCoast,553,2.56
10,Other,1981,5160,Central,554,2.32
4,Vocational,1966,8165,Central,555,2.44
5,STEM,1973,5304,WestCoast,556,3.06
16,Buisness,1960,4626,Central,557,3.01
11,Buisness,1996,4635,WestCoast,558,2.25
1,Vocational,1990,6073,EastCoast,559,3.11
12,Professional,1969,4348,Central,560,2.59
0,Professional,1949,4038,Central,561,2.28
3,Humanities,1987,2946,EastCoast,562,2.68
7,Professional,1951,1153,WestCoast,563,2.63
61,Other,1971,6089,EastCoast,564,2.4
26,Professional,1980,3647,Central,565,2.78
7,STEM,1959,5588,Central,566,3.06
21,Professional,1953,3897,WestCoast,567,2.46
18,Buisness,1991,9060,WestCoast,568,2.21
17,Professional,1962,5500,Central,569,2.45
15,Professional,1969,1672,EastCoast,570,2.49
5,STEM,1989,6296,WestCoast,571,2.3
38,STEM,1953,6096,Central,572,2.91
70,Other,1976,2918,WestCoast,573,2.3
7,Vocational,1994,6103,WestCoast,574,2.66
2,Humanities,1951,3779,WestCoast,575,2.98
18,Vocational,1949,19925,EastCoast,576,2.6
89,Vocational,1953,3411,EastCoast,577,2.69
14,Vocational,1999,1561,WestCoast,578,2.75
13,STEM,1955,5133,WestCoast,579,2.39
13,Other,1956,2644,Central,580,2.16
38,STEM,1985,5183,Central,581,3.43
51,Professional,1952,3209,WestCoast,582,2.69
3,Other,1966,4623,EastCoast,583,2.4
2,Professional,1988,8451,WestCoast,584,3.31
41,Professional,1992,7720,Central,585,3.38
1,Vocational,1951,5176,EastCoast,586,2.08
1,Vocational,1959,12294,EastCoast,587,2.76
1,Humanities,1975,17152,WestCoast,588,2.07
5,Buisness,1983,5377,Central,589,1.85
4,Buisness,1956,3066,EastCoast,590,2.88
44,STEM,1951,3863,EastCoast,591,1.95
19,Professional,1968,2103,EastCoast,592,2.32
16,Vocational,1978,4031,WestCoast,593,2.39
1,STEM,1963,1794,EastCoast,594,2.61
1,Professional,1969,8411,Central,595,2.89
35,STEM,1962,6282,EastCoast,596,3.39
