Grade,Score,Dozing ,Texting,Asking
F,35.59,Sometimes,Sometimes,Never
A,96.02,Sometimes,Always,Never
D,52.81,Sometimes,Sometimes,Always
F,12,Sometimes,Sometimes,Sometimes
A,96.06,Always,Always,Never
F,0.78,Sometimes,Never,Always
F,25.06,Never,Sometimes,Never
F,47.05,Sometimes,Always,Never
F,24.66,Always,Sometimes,Sometimes
C,74.61,Never,Sometimes,Always
A,86.44,Never,Never,Always
F,2.9,Sometimes,Always,Never
F,24.43,Never,Sometimes,Always
A,95.43,Never,Never,Always
F,3.66,Sometimes,Never,Sometimes
B,89.81,Sometimes,Never,Sometimes
F,23.23,Sometimes,Always,Always
A,93.17,Never,Always,Never
D,58.46,Always,Sometimes,Never
F,47.29,Always,Never,Never
A,98.84,Sometimes,Never,Never
C,78.82,Never,Never,Sometimes
B,89.16,Sometimes,Always,Sometimes
D,57.44,Sometimes,Never,Never
A,90.76,Always,Always,Always
C,60.55,Always,Sometimes,Never
A,94.09,Sometimes,Never,Never
D,50.79,Sometimes,Never,Sometimes
F,43.86,Always,Sometimes,Always
F,11.66,Sometimes,Never,Never
A,97.36,Always,Always,Never
A,92.81,Never,Never,Sometimes
F,18.98,Never,Never,Always
F,37.21,Always,Sometimes,Sometimes
C,61.14,Always,Always,Sometimes
A,90.94,Never,Always,Always
F,22.61,Sometimes,Never,Never
C,62.32,Never,Never,Sometimes
D,55.77,Always,Always,Always
C,72.94,Sometimes,Sometimes,Sometimes
F,2.18,Always,Never,Never
F,48.86,Always,Sometimes,Never
C,78.51,Never,Never,Sometimes
C,60.77,Never,Sometimes,Never
C,66.21,Always,Always,Always
C,69.09,Always,Sometimes,Always
C,73.71,Sometimes,Always,Always
C,65.66,Sometimes,Never,Never
C,63.69,Never,Never,Sometimes
F,5.14,Always,Never,Sometimes
F,27.16,Sometimes,Sometimes,Never
D,59.23,Always,Sometimes,Sometimes
C,79.11,Never,Always,Sometimes
C,79.27,Always,Always,Never
F,46.48,Always,Always,Never
F,11.5,Always,Always,Sometimes
F,1.28,Always,Never,Always
B,82.27,Always,Always,Sometimes
C,79.62,Never,Sometimes,Never
F,31.62,Sometimes,Always,Sometimes
A,85.59,Never,Always,Always
C,60.34,Never,Always,Sometimes
A,90.27,Always,Always,Always
F,10.57,Never,Sometimes,Never
D,58.59,Never,Sometimes,Always
F,9.31,Never,Sometimes,Sometimes
F,5.49,Always,Always,Never
F,12.81,Always,Sometimes,Never
F,0.61,Always,Sometimes,Always
F,5.42,Sometimes,Sometimes,Never
F,14.28,Sometimes,Sometimes,Never
A,97.21,Sometimes,Sometimes,Never
A,91.21,Always,Sometimes,Sometimes
A,90.76,Never,Sometimes,Sometimes
A,97.87,Sometimes,Sometimes,Never
F,31.01,Never,Never,Always
F,21.34,Always,Always,Sometimes
D,61.85,Sometimes,Always,Always
F,27.58,Always,Sometimes,Always
F,47.68,Never,Always,Sometimes
F,47.9,Sometimes,Always,Sometimes
F,18.51,Never,Always,Sometimes
F,44.32,Sometimes,Never,Sometimes
F,24.93,Sometimes,Never,Sometimes
F,8.61,Sometimes,Always,Always
C,66.15,Never,Sometimes,Never
A,96.38,Never,Never,Always
F,29.22,Sometimes,Always,Never
B,80.37,Never,Never,Never
F,3.48,Sometimes,Never,Never
D,53.31,Never,Sometimes,Sometimes
F,18.51,Always,Never,Sometimes
F,0.44,Always,Sometimes,Sometimes
F,0.03,Always,Sometimes,Sometimes
B,80.98,Sometimes,Never,Sometimes
F,4.45,Always,Sometimes,Always
B,83.1,Never,Sometimes,Sometimes
F,2.99,Always,Sometimes,Never
F,27.88,Sometimes,Never,Sometimes
F,2.67,Sometimes,Always,Always
C,67.64,Always,Always,Sometimes
D,53.18,Always,Never,Always
D,53.91,Always,Never,Never
F,11.75,Never,Never,Always
F,42.81,Always,Always,Never
C,75.39,Sometimes,Always,Never
C,64.61,Always,Sometimes,Sometimes
F,7.62,Always,Sometimes,Sometimes
F,39.54,Sometimes,Never,Sometimes
D,55.73,Always,Always,Sometimes
B,86.02,Always,Sometimes,Never
F,28.32,Never,Sometimes,Sometimes
F,15.79,Never,Sometimes,Always
A,95.09,Never,Sometimes,Never
C,65.18,Sometimes,Never,Always
F,9.82,Always,Sometimes,Always
A,88.1,Sometimes,Sometimes,Always
F,39.52,Always,Always,Always
C,71.18,Always,Sometimes,Always
C,75.33,Sometimes,Always,Never
C,68.24,Sometimes,Never,Sometimes
C,66.27,Never,Never,Never
D,53.37,Always,Never,Sometimes
F,26.38,Sometimes,Never,Sometimes
F,21.58,Never,Never,Always
A,95.05,Never,Sometimes,Never
F,2.4,Sometimes,Never,Always
D,57.23,Sometimes,Always,Never
A,95.81,Never,Never,Always
F,41.21,Never,Never,Always
F,38.46,Always,Never,Never
B,82.84,Sometimes,Sometimes,Always
F,28.8,Always,Sometimes,Sometimes
C,74.17,Never,Always,Sometimes
A,95.25,Always,Always,Always
F,42.38,Sometimes,Never,Never
B,81.23,Never,Sometimes,Always
A,92.8,Sometimes,Always,Never
C,76.87,Sometimes,Always,Never
A,92.05,Never,Always,Never
F,46.3,Sometimes,Always,Sometimes
F,3.92,Never,Sometimes,Never
B,87.51,Never,Never,Never
C,70.94,Always,Sometimes,Sometimes
F,23.4,Sometimes,Always,Always
F,42.33,Sometimes,Always,Always
F,20.88,Never,Sometimes,Always
A,92.31,Sometimes,Never,Always
A,97.75,Never,Always,Never
F,9.95,Sometimes,Never,Never
A,99.66,Sometimes,Sometimes,Always
B,89.11,Never,Sometimes,Sometimes
C,74.81,Sometimes,Always,Never
F,25.88,Always,Never,Never
C,70.82,Always,Never,Always
F,43.96,Always,Never,Never
F,27.38,Always,Never,Always
F,13.59,Always,Never,Never
F,5.41,Never,Always,Always
C,63.63,Always,Sometimes,Sometimes
C,63.97,Never,Never,Never
A,93.75,Always,Sometimes,Never
D,50.17,Sometimes,Always,Never
D,56.15,Sometimes,Always,Never
A,94.35,Never,Always,Sometimes
D,56.02,Never,Always,Sometimes
F,2.3,Sometimes,Sometimes,Always
A,96.28,Never,Never,Sometimes
F,40.91,Never,Always,Never
C,72.4,Always,Sometimes,Always
F,45.49,Always,Always,Never
A,99.86,Sometimes,Sometimes,Sometimes
F,34.28,Always,Sometimes,Always
F,3.54,Never,Always,Sometimes
F,28.69,Never,Never,Sometimes
B,86.15,Sometimes,Always,Sometimes
D,51.45,Sometimes,Sometimes,Never
A,94.26,Sometimes,Always,Always
F,15.63,Never,Always,Always
F,39.02,Sometimes,Sometimes,Sometimes
C,76.53,Never,Always,Sometimes
F,10.49,Always,Always,Sometimes
F,4.04,Always,Sometimes,Sometimes
B,86.35,Always,Sometimes,Sometimes
A,96.07,Never,Sometimes,Never
D,62.61,Never,Sometimes,Always
F,21.88,Always,Sometimes,Sometimes
A,97.11,Never,Always,Never
F,44.23,Never,Always,Always
A,95.72,Always,Sometimes,Never
C,79.34,Always,Sometimes,Sometimes
F,39.07,Sometimes,Always,Never
F,10.45,Sometimes,Always,Sometimes
F,21.33,Always,Always,Sometimes
A,99.5,Always,Never,Always
A,96.26,Sometimes,Always,Always
C,71.95,Never,Never,Never
D,56.62,Never,Always,Sometimes
B,83.51,Never,Never,Never
F,46.63,Never,Never,Sometimes
F,26.47,Never,Never,Always
C,63.59,Always,Sometimes,Sometimes
C,71.72,Never,Never,Always
F,35.6,Never,Always,Always
F,17.83,Never,Sometimes,Always
F,21.82,Never,Sometimes,Sometimes
F,19.26,Always,Never,Never
D,55.97,Never,Always,Sometimes
A,95.83,Never,Never,Sometimes
D,59.43,Always,Never,Never
C,68.58,Never,Sometimes,Never
C,68.62,Always,Never,Sometimes
D,52.02,Never,Always,Sometimes
F,11.51,Never,Always,Sometimes
F,14.45,Never,Never,Sometimes
D,62.83,Sometimes,Sometimes,Sometimes
F,27.87,Always,Always,Sometimes
C,61.75,Never,Never,Never
D,55.71,Always,Sometimes,Sometimes
F,34.39,Always,Sometimes,Sometimes
F,3.47,Always,Sometimes,Sometimes
F,48.15,Always,Always,Sometimes
F,19.05,Sometimes,Never,Always
C,73.72,Sometimes,Sometimes,Always
F,29.45,Sometimes,Never,Sometimes
F,3.72,Sometimes,Always,Always
F,2.64,Never,Sometimes,Never
F,22.39,Always,Sometimes,Always
C,71.2,Never,Sometimes,Always
F,32.67,Always,Sometimes,Sometimes
A,88.2,Always,Sometimes,Always
A,95.71,Sometimes,Always,Never
C,70.74,Always,Always,Never
F,15.42,Sometimes,Sometimes,Never
F,33.2,Always,Sometimes,Sometimes
D,52.6,Never,Always,Sometimes
F,23.11,Never,Sometimes,Sometimes
F,13.5,Never,Sometimes,Sometimes
C,75.36,Never,Always,Never
D,56.66,Never,Sometimes,Sometimes
F,13.15,Always,Sometimes,Sometimes
D,56.58,Never,Never,Never
F,26.45,Always,Never,Never
F,31.06,Always,Sometimes,Sometimes
B,82.16,Sometimes,Sometimes,Always
C,77.3,Sometimes,Always,Always
B,88.6,Sometimes,Sometimes,Never
D,61.79,Always,Always,Always
F,15.15,Sometimes,Always,Sometimes
C,74.3,Always,Never,Never
C,71.18,Sometimes,Never,Never
F,24.78,Always,Never,Sometimes
C,65.84,Never,Never,Never
F,23.5,Never,Always,Always
F,44.51,Always,Never,Sometimes
F,9.71,Always,Sometimes,Never
D,51.95,Never,Sometimes,Never
F,42,Always,Never,Always
B,81.31,Sometimes,Never,Always
B,86.88,Always,Sometimes,Never
A,89.24,Always,Never,Always
F,49.35,Never,Never,Sometimes
B,87.14,Never,Never,Never
F,49.57,Always,Sometimes,Always
C,75.5,Sometimes,Sometimes,Always
F,20.31,Never,Sometimes,Always
F,32.86,Never,Never,Never
C,70.2,Never,Sometimes,Never
D,53.37,Always,Always,Always
F,34.84,Sometimes,Sometimes,Always
B,81.03,Sometimes,Sometimes,Never
C,71.52,Never,Sometimes,Always
F,47.72,Never,Never,Sometimes
F,4.17,Sometimes,Sometimes,Always
F,23.4,Sometimes,Never,Sometimes
F,27.2,Sometimes,Sometimes,Sometimes
A,99.66,Always,Always,Never
F,9.27,Always,Never,Sometimes
C,66.46,Never,Always,Sometimes
C,65.02,Always,Always,Always
F,5.08,Sometimes,Never,Always
F,35.24,Sometimes,Never,Sometimes
C,67.41,Never,Never,Never
A,94.16,Always,Sometimes,Sometimes
F,4.47,Always,Never,Never
C,69.85,Always,Always,Never
F,10.92,Sometimes,Sometimes,Always
F,48.06,Sometimes,Sometimes,Sometimes
F,29.81,Sometimes,Sometimes,Always
F,12.15,Always,Sometimes,Always
F,12.86,Sometimes,Never,Always
F,14.16,Sometimes,Always,Never
C,64.61,Always,Never,Never
A,90.39,Always,Sometimes,Never
F,15.7,Never,Always,Always
F,29.63,Sometimes,Sometimes,Never
F,48.47,Always,Always,Never
D,50.65,Always,Never,Never
F,33.65,Always,Sometimes,Sometimes
D,59.61,Never,Sometimes,Sometimes
F,8.22,Always,Sometimes,Never
F,15.22,Never,Never,Sometimes
F,2.05,Always,Sometimes,Sometimes
F,45.73,Never,Always,Never
C,70.09,Sometimes,Always,Sometimes
F,6.35,Never,Never,Always
C,75.95,Never,Always,Never
F,13.62,Always,Sometimes,Always
F,1.41,Always,Sometimes,Sometimes
D,64.99,Always,Sometimes,Always
F,25.43,Never,Sometimes,Always
F,41.16,Never,Always,Never
F,25.32,Sometimes,Sometimes,Never
F,46.51,Always,Never,Always
F,26.66,Never,Sometimes,Never
F,35.09,Always,Always,Never
F,43.09,Always,Sometimes,Always
F,23.94,Always,Always,Sometimes
A,93.63,Sometimes,Always,Never
F,13.15,Always,Sometimes,Never
D,53.53,Sometimes,Always,Sometimes
F,12.94,Never,Never,Never
F,7.2,Always,Sometimes,Sometimes
F,24.05,Sometimes,Sometimes,Never
F,24.45,Sometimes,Never,Sometimes
F,20.93,Always,Never,Never
F,12.17,Never,Always,Always
A,90.46,Never,Sometimes,Sometimes
C,78.93,Never,Always,Never
F,43.72,Never,Never,Always
C,77.91,Never,Sometimes,Sometimes
F,9.17,Sometimes,Never,Sometimes
C,70.87,Always,Always,Always
F,31.62,Sometimes,Sometimes,Always
F,24.06,Never,Sometimes,Never
F,39.85,Always,Always,Never
B,83.35,Always,Never,Sometimes
F,23.01,Sometimes,Always,Sometimes
F,36.25,Sometimes,Sometimes,Sometimes
B,89.21,Never,Never,Sometimes
F,37.57,Sometimes,Never,Sometimes
B,88.66,Never,Never,Sometimes
F,49.14,Sometimes,Sometimes,Never
F,40.88,Sometimes,Always,Never
F,47.62,Always,Never,Sometimes
B,87.4,Always,Never,Never
D,52.72,Never,Sometimes,Always
D,57.4,Never,Always,Always
F,5.92,Always,Sometimes,Sometimes
F,49.92,Sometimes,Sometimes,Sometimes
F,26.8,Never,Never,Never
F,18.81,Sometimes,Sometimes,Sometimes
F,40.74,Always,Never,Always
C,62.75,Always,Always,Sometimes
F,46.68,Sometimes,Sometimes,Sometimes
F,6.78,Never,Sometimes,Sometimes
C,64.2,Always,Sometimes,Never
C,69.59,Always,Sometimes,Sometimes
F,6.18,Sometimes,Always,Never
F,32.33,Never,Always,Never
F,36.85,Sometimes,Never,Always
A,92.52,Never,Sometimes,Never
C,67.05,Always,Always,Always
F,3.7,Sometimes,Never,Sometimes
F,9.15,Sometimes,Always,Sometimes
C,77.12,Never,Never,Never
C,78.77,Sometimes,Always,Always
D,58.6,Never,Sometimes,Sometimes
F,47.96,Sometimes,Sometimes,Sometimes
C,70.03,Always,Sometimes,Never
C,78.52,Always,Always,Never
B,88.67,Sometimes,Sometimes,Sometimes
F,15.38,Always,Never,Always
B,82.1,Never,Never,Sometimes
F,25.71,Always,Never,Always
D,59.14,Sometimes,Always,Never
C,71.79,Sometimes,Never,Always
F,15.89,Sometimes,Always,Never
F,24.14,Never,Sometimes,Sometimes
A,98.16,Sometimes,Always,Sometimes
C,69.81,Sometimes,Sometimes,Sometimes
C,74.47,Never,Sometimes,Sometimes
F,5.56,Always,Always,Never
F,11.77,Sometimes,Never,Sometimes
C,65.44,Sometimes,Sometimes,Sometimes
D,55.45,Sometimes,Never,Sometimes
D,52.27,Never,Never,Never
C,64.22,Always,Sometimes,Never
F,25.4,Sometimes,Sometimes,Sometimes
D,57.64,Always,Sometimes,Sometimes
C,77.66,Always,Never,Never
C,75.01,Never,Always,Always
F,38.42,Always,Never,Always
C,78.26,Sometimes,Sometimes,Always
F,34.61,Sometimes,Sometimes,Always
F,2.5,Always,Sometimes,Always
F,24.94,Never,Sometimes,Never
D,56.94,Sometimes,Sometimes,Always
F,37.9,Sometimes,Never,Never
D,56.22,Always,Never,Sometimes
F,42.26,Sometimes,Sometimes,Always
F,19.64,Always,Always,Never
F,35.07,Always,Always,Sometimes
F,15.06,Sometimes,Never,Always
C,63.2,Sometimes,Never,Never
D,57.23,Never,Never,Sometimes
D,58.47,Sometimes,Sometimes,Always
C,61.61,Sometimes,Always,Sometimes
F,11.8,Sometimes,Sometimes,Never
C,66.86,Always,Sometimes,Never
C,66.84,Sometimes,Sometimes,Sometimes
C,76.47,Always,Always,Never
F,47.84,Never,Never,Always
F,28.85,Never,Never,Sometimes
D,54.31,Always,Always,Sometimes
F,0.03,Sometimes,Sometimes,Never
F,12.13,Always,Sometimes,Never
D,61.64,Sometimes,Never,Always
B,80.92,Never,Never,Always
F,17.03,Always,Always,Always
F,7.29,Never,Never,Never
F,3.04,Sometimes,Never,Never
D,52.66,Never,Never,Sometimes
A,96.13,Sometimes,Never,Sometimes
A,99.87,Never,Never,Always
D,54.74,Sometimes,Sometimes,Never
F,31.19,Never,Always,Never
D,55.13,Never,Sometimes,Never
F,19.7,Always,Always,Never
C,70.67,Never,Never,Sometimes
F,33.32,Always,Sometimes,Never
B,86.16,Always,Sometimes,Never
F,9.12,Never,Sometimes,Always
A,92.17,Always,Sometimes,Never
C,77.05,Never,Always,Always
A,92.73,Sometimes,Never,Never
C,75.97,Always,Always,Sometimes
C,77.74,Never,Always,Always
F,40.08,Always,Always,Always
F,45.41,Always,Sometimes,Always
B,81.22,Never,Sometimes,Sometimes
F,6.56,Never,Sometimes,Sometimes
C,71.91,Never,Sometimes,Never
F,1.94,Never,Never,Always
F,12.16,Never,Always,Always
B,87.05,Always,Never,Never
A,98.69,Sometimes,Always,Always
D,52.12,Sometimes,Sometimes,Never
F,26.98,Sometimes,Always,Sometimes
B,83.92,Sometimes,Always,Never
D,52.54,Never,Sometimes,Sometimes
F,26.97,Always,Never,Sometimes
C,67.72,Always,Never,Never
B,89.25,Never,Never,Sometimes
F,47.73,Never,Always,Never
F,18.16,Never,Sometimes,Sometimes
D,51.47,Never,Sometimes,Always
F,1.96,Never,Never,Always
D,58.38,Always,Sometimes,Sometimes
F,1.13,Never,Never,Sometimes
C,75.64,Sometimes,Never,Never
F,15.35,Never,Never,Never
C,79.64,Sometimes,Sometimes,Always
A,99.84,Always,Sometimes,Always
F,14.51,Sometimes,Never,Sometimes
B,80.69,Sometimes,Always,Never
B,87.25,Never,Sometimes,Sometimes
C,64.81,Never,Sometimes,Sometimes
F,16.5,Never,Sometimes,Never
F,8.55,Always,Always,Never
F,28.91,Never,Never,Sometimes
B,84.76,Always,Sometimes,Sometimes
D,53,Never,Sometimes,Sometimes
F,33.21,Sometimes,Always,Always
C,71.2,Always,Never,Sometimes
D,58.03,Always,Sometimes,Never
F,22.36,Sometimes,Always,Sometimes
F,5.32,Always,Sometimes,Sometimes
F,41.15,Sometimes,Never,Never
F,47,Always,Never,Sometimes
A,91.44,Never,Never,Sometimes
C,64.49,Never,Always,Never
F,33.62,Sometimes,Never,Sometimes
A,94.3,Always,Always,Always
A,94.6,Always,Always,Sometimes
F,34.36,Always,Never,Always
C,65.44,Never,Never,Always
B,80.06,Always,Sometimes,Never
D,54.25,Always,Never,Never
F,33.28,Never,Always,Always
A,99.28,Never,Never,Always
F,49.1,Never,Always,Never
C,63.32,Always,Always,Sometimes
F,42.11,Sometimes,Never,Never
B,86.09,Always,Sometimes,Never
C,65.44,Never,Always,Sometimes
B,81.77,Sometimes,Sometimes,Always
F,32.17,Always,Sometimes,Always
F,0.52,Always,Always,Sometimes
A,90.35,Sometimes,Never,Sometimes
F,33.01,Sometimes,Sometimes,Never
D,52.03,Always,Always,Sometimes
A,94.92,Never,Always,Always
F,8.61,Never,Sometimes,Sometimes
F,6.16,Always,Sometimes,Never
F,25.04,Always,Sometimes,Never
C,62.46,Always,Always,Never
C,70.71,Never,Always,Never
A,90.93,Never,Never,Never
C,79.14,Never,Never,Always
F,29.25,Always,Sometimes,Sometimes
F,30.69,Sometimes,Never,Never
A,97.65,Never,Sometimes,Sometimes
F,30.86,Sometimes,Always,Sometimes
C,62.78,Always,Sometimes,Never
A,99.25,Sometimes,Never,Always
D,50.53,Always,Always,Never
F,37.48,Always,Always,Never
A,92.07,Always,Never,Sometimes
B,84.61,Never,Always,Never
F,29.42,Never,Never,Always
C,68.16,Always,Never,Always
C,62.83,Never,Never,Never
D,50.19,Never,Sometimes,Sometimes
C,75.05,Never,Always,Always
A,98.77,Never,Always,Sometimes
A,98.93,Sometimes,Never,Sometimes
F,28.41,Sometimes,Always,Always
D,52.98,Sometimes,Never,Never
F,18.7,Always,Always,Always
F,40.52,Always,Always,Always
F,41.59,Sometimes,Sometimes,Always
D,55.21,Sometimes,Always,Always
C,69.53,Always,Always,Sometimes
F,7.43,Sometimes,Sometimes,Sometimes
C,73.62,Never,Sometimes,Always
D,56.66,Never,Never,Always
D,60.12,Always,Always,Always
A,94.34,Never,Sometimes,Sometimes
C,79.97,Always,Sometimes,Always
C,79.51,Never,Never,Never
F,15.25,Never,Sometimes,Never
D,52.72,Always,Sometimes,Sometimes
C,72.94,Never,Never,Sometimes
F,12.08,Never,Never,Always
F,14.64,Never,Always,Always
F,45.84,Always,Never,Always
C,71.41,Always,Never,Always
F,29.4,Sometimes,Never,Always
D,54.37,Sometimes,Always,Sometimes
D,62.79,Always,Always,Always
B,81.67,Sometimes,Always,Always
F,31.1,Sometimes,Always,Always
D,55.97,Never,Always,Sometimes
C,79.13,Sometimes,Sometimes,Never
B,86.48,Sometimes,Never,Sometimes
F,30.23,Sometimes,Sometimes,Sometimes
F,34.31,Always,Always,Never
F,19.29,Sometimes,Always,Always
C,72.71,Never,Always,Always
A,96.69,Never,Always,Always
C,60.24,Sometimes,Sometimes,Sometimes
A,90.37,Sometimes,Always,Always
D,51.5,Sometimes,Never,Never
F,41.95,Sometimes,Never,Never
F,47.94,Never,Always,Sometimes
F,29.12,Sometimes,Never,Always
F,25.6,Always,Always,Always
F,29.01,Never,Sometimes,Sometimes
B,86.95,Always,Always,Sometimes
C,64.13,Sometimes,Sometimes,Sometimes
F,15.72,Sometimes,Always,Never
F,5.21,Sometimes,Sometimes,Sometimes
D,52.2,Sometimes,Sometimes,Sometimes
A,98.49,Always,Never,Always
C,74.93,Sometimes,Always,Sometimes
A,94.6,Sometimes,Sometimes,Always
F,43.02,Always,Never,Never
F,7.15,Sometimes,Never,Never
D,50.84,Sometimes,Never,Always
F,34.32,Always,Never,Never
F,3.96,Always,Never,Always
F,36.59,Never,Sometimes,Always
F,25.28,Sometimes,Always,Sometimes
B,83.26,Never,Never,Sometimes
A,94.59,Never,Sometimes,Always
A,99.91,Never,Sometimes,Sometimes
F,14.63,Sometimes,Sometimes,Always
F,6.29,Sometimes,Sometimes,Sometimes
F,37.78,Never,Never,Sometimes
F,42.62,Sometimes,Always,Always
F,49.81,Sometimes,Always,Always
C,63.91,Sometimes,Sometimes,Never
F,22.1,Always,Never,Never
F,42.43,Always,Sometimes,Always
F,43.87,Never,Always,Never
A,93.69,Never,Never,Sometimes
D,58.33,Never,Always,Never
F,35.51,Never,Always,Sometimes
C,70.16,Always,Never,Sometimes
F,15.15,Always,Sometimes,Sometimes
B,82.02,Always,Never,Never
F,19.76,Always,Never,Sometimes
B,87.3,Always,Never,Never
F,26.93,Sometimes,Sometimes,Never
F,47.49,Never,Sometimes,Always
B,84.2,Sometimes,Never,Sometimes
C,69.32,Sometimes,Sometimes,Sometimes
F,17.9,Sometimes,Sometimes,Never
C,70.9,Never,Always,Never
F,32.94,Always,Always,Sometimes
F,26.09,Never,Never,Sometimes
F,29.69,Sometimes,Never,Always
D,59.25,Never,Never,Always
B,81.98,Sometimes,Never,Never
F,30.11,Never,Sometimes,Never
A,91.01,Sometimes,Always,Sometimes
D,53.22,Sometimes,Always,Always
B,86.18,Sometimes,Always,Sometimes
F,20.57,Sometimes,Always,Sometimes
B,80.82,Always,Never,Always
D,63.44,Sometimes,Sometimes,Always
F,37.54,Always,Sometimes,Never
D,54.78,Always,Never,Always
F,30.37,Always,Always,Always
B,85.5,Never,Never,Never
D,56.62,Sometimes,Never,Always
C,62.15,Never,Never,Sometimes
F,28.22,Never,Never,Sometimes
D,57.8,Sometimes,Sometimes,Sometimes
A,95.2,Never,Always,Always
F,20.74,Never,Never,Always
F,19.61,Always,Always,Never
A,90.6,Always,Never,Always
D,62.77,Never,Always,Always
D,54.41,Always,Sometimes,Never
F,32.89,Never,Always,Sometimes
F,44.23,Never,Always,Always
D,59.79,Sometimes,Always,Sometimes
F,24.52,Never,Always,Always
A,99.05,Sometimes,Always,Always
F,46.22,Always,Sometimes,Sometimes
D,58.35,Never,Always,Always
F,24.5,Sometimes,Never,Sometimes
C,74.97,Always,Sometimes,Never
F,37.09,Sometimes,Sometimes,Always
B,84.57,Always,Sometimes,Never
D,52.71,Never,Always,Always
F,30.74,Never,Sometimes,Always
A,95.23,Never,Never,Always
C,72.56,Never,Sometimes,Never
F,21.84,Always,Never,Always
F,30.22,Sometimes,Always,Always
F,19.62,Sometimes,Never,Never
C,66.23,Sometimes,Sometimes,Always
F,21.63,Never,Sometimes,Always
A,94.05,Always,Sometimes,Always
F,49.64,Always,Never,Always
C,78.22,Sometimes,Never,Never
C,76.82,Always,Never,Always
F,23.36,Sometimes,Never,Never
F,23.54,Always,Never,Never
F,31.14,Always,Never,Sometimes
F,0.4,Never,Always,Never
B,80.51,Always,Sometimes,Never
F,9.15,Never,Always,Always
F,20.07,Never,Sometimes,Sometimes
F,26.16,Never,Sometimes,Never
C,61.96,Always,Never,Never
F,12.55,Always,Sometimes,Always
C,61.37,Sometimes,Never,Sometimes
F,3,Always,Always,Always
F,36.41,Never,Never,Sometimes
F,4.93,Always,Never,Never
F,43.74,Sometimes,Never,Sometimes
C,66.36,Sometimes,Never,Always
B,88.58,Never,Sometimes,Sometimes
C,76.43,Sometimes,Always,Always
A,98.02,Sometimes,Always,Sometimes
F,41.85,Always,Sometimes,Never
F,48.71,Sometimes,Sometimes,Always
D,59.99,Always,Never,Never
B,80.02,Sometimes,Always,Always
C,71.05,Always,Always,Never
F,17.67,Always,Never,Always
F,28.68,Never,Always,Never
F,45.94,Sometimes,Always,Sometimes
C,67.44,Always,Sometimes,Never
B,80.93,Sometimes,Sometimes,Sometimes
C,69.7,Never,Always,Never
B,84.05,Always,Never,Never
F,25.01,Sometimes,Always,Never
F,25.69,Never,Sometimes,Always
F,44.06,Sometimes,Never,Always
F,1.53,Never,Always,Sometimes
F,25.27,Always,Never,Never
A,97.27,Sometimes,Always,Sometimes
F,26.59,Never,Sometimes,Never
B,84.15,Always,Always,Sometimes
F,44.75,Always,Never,Sometimes
C,69,Sometimes,Always,Always
D,59.55,Always,Never,Always
C,67.93,Sometimes,Never,Never
F,42.61,Never,Sometimes,Always
C,73.6,Always,Never,Never
B,80.55,Never,Never,Never
F,7.34,Sometimes,Never,Never
F,13.24,Always,Never,Always
